Name,PTS,FGM,FGA,PM3,PA3,AST,Game_day,Team
Clint Capela,18,7,10,0,0,0,2022-04-10,ATL
Timothe Luwawu-Cabarrot,0,0,1,0,1,0,2022-04-10,ATL
Kevin Knox II,1,0,2,0,2,0,2022-04-10,ATL
Trae Young,28,10,20,4,7,11,2022-04-10,ATL
De'Andre Hunter,22,7,13,4,4,0,2022-04-10,ATL
Skylar Mays,0,0,0,0,0,0,2022-04-10,ATL
Sharife Cooper,0,0,0,0,0,0,2022-04-10,ATL
Jalen Johnson,0,0,0,0,0,0,2022-04-10,ATL
Danilo Gallinari,26,9,14,6,8,2,2022-04-10,ATL
Bogdan Bogdanovic,14,5,14,4,9,7,2022-04-10,ATL
Delon Wright,2,0,1,0,1,3,2022-04-10,ATL
Kevin Huerter,11,4,8,3,6,5,2022-04-10,ATL
Onyeka Okongwu,8,3,4,0,0,1,2022-04-10,ATL
Al Horford,13,6,8,1,1,2,2022-04-10,BOS
Marcus Smart,4,2,7,0,4,6,2022-04-10,BOS
Jaylen Brown,18,8,16,2,7,4,2022-04-10,BOS
Jayson Tatum,31,11,14,6,8,3,2022-04-10,BOS
Derrick White,8,3,5,1,3,3,2022-04-10,BOS
Daniel Theis,11,5,8,0,1,3,2022-04-10,BOS
Malik Fitts,7,3,4,1,1,2,2022-04-10,BOS
Brodric Thomas,3,1,2,1,1,3,2022-04-10,BOS
Luke Kornet,10,5,7,0,1,2,2022-04-10,BOS
Grant Williams,9,2,7,1,4,1,2022-04-10,BOS
Payton Pritchard,12,4,8,2,5,4,2022-04-10,BOS
Sam Hauser,5,2,4,1,3,1,2022-04-10,BOS
Aaron Nesmith,5,1,4,1,4,0,2022-04-10,BOS
Matt Ryan,3,1,5,1,5,0,2022-04-10,BOS
Kevin Love,32,10,16,8,11,2,2022-04-10,CLE
Rajon Rondo,6,2,5,2,4,13,2022-04-10,CLE
Caris LeVert,6,2,7,0,5,6,2022-04-10,CLE
Lauri Markkanen,23,8,11,4,7,0,2022-04-10,CLE
Darius Garland,11,4,7,3,5,8,2022-04-10,CLE
Isaac Okoro,4,2,4,0,0,2,2022-04-10,CLE
Evan Mobley,18,8,13,0,0,1,2022-04-10,CLE
RJ Nembhard Jr.,0,0,1,0,0,0,2022-04-10,CLE
Cedi Osman,15,6,10,2,4,2,2022-04-10,CLE
Brandon Goodwin,0,0,2,0,0,1,2022-04-10,CLE
Moses Brown,8,4,5,0,0,0,2022-04-10,CLE
Dylan Windler,2,1,3,0,2,2,2022-04-10,CLE
Lamar Stevens,8,4,10,0,0,2,2022-04-10,CLE
Trey Murphy III,15,6,13,2,6,1,2022-04-10,NOP
Jose Alvarado,12,6,12,0,2,0,2022-04-10,NOP
Naji Marshall,19,8,15,0,4,6,2022-04-10,NOP
Jaxson Hayes,5,1,6,1,2,0,2022-04-10,NOP
Willy Hernangomez,8,3,11,0,0,2,2022-04-10,NOP
CJ McCollum,0,0,2,0,2,1,2022-04-10,NOP
Garrett Temple,6,2,8,2,5,0,2022-04-10,NOP
Tony Snell,8,3,7,2,6,2,2022-04-10,NOP
Larry Nance Jr.,7,3,7,1,2,0,2022-04-10,NOP
Jared Harper,10,4,9,2,6,9,2022-04-10,NOP
Gary Clark,17,6,9,4,5,3,2022-04-10,NOP
Tristan Thompson,10,4,6,0,0,0,2022-04-10,CHI
Derrick Jones Jr.,12,3,5,2,2,2,2022-04-10,CHI
Troy Brown Jr.,17,7,13,2,6,4,2022-04-10,CHI
Tyler Cook,3,1,2,0,0,0,2022-04-10,CHI
Tony Bradley,11,5,8,0,0,1,2022-04-10,CHI
Javonte Green,8,4,8,0,2,2,2022-04-10,CHI
Patrick Williams,35,10,21,3,4,4,2022-04-10,CHI
Ayo Dosunmu,26,9,18,3,6,6,2022-04-10,CHI
Malcolm Hill,2,1,2,0,1,3,2022-04-10,CHI
Josh Green,7,3,5,1,3,2,2022-04-10,DAL
Theo Pinson,16,5,5,4,4,2,2022-04-10,DAL
Marquese Chriss,6,2,7,0,0,0,2022-04-10,DAL
Spencer Dinwiddie,8,3,7,2,4,5,2022-04-10,DAL
Davis Bertans,8,3,4,2,3,0,2022-04-10,DAL
Reggie Bullock,4,1,6,1,3,2,2022-04-10,DAL
Trey Burke,3,1,3,1,1,4,2022-04-10,DAL
Dwight Powell,12,5,6,0,0,2,2022-04-10,DAL
Boban Marjanovic,4,2,4,0,1,1,2022-04-10,DAL
Dorian Finney-Smith,16,6,7,4,5,1,2022-04-10,DAL
Jalen Brunson,18,7,13,3,7,5,2022-04-10,DAL
Luka Doncic,26,8,18,2,5,9,2022-04-10,DAL
Moses Wright,2,0,0,0,0,1,2022-04-10,DAL
Jeff Green,16,7,8,0,1,2,2022-04-10,DEN
DeMarcus Cousins,17,5,7,2,3,5,2022-04-10,DEN
Austin Rivers,7,3,7,1,4,1,2022-04-10,DEN
JaMychal Green,11,5,7,0,1,3,2022-04-10,DEN
Facundo Campazzo,3,1,4,1,3,4,2022-04-10,DEN
Bones Hyland,17,6,15,2,9,6,2022-04-10,DEN
Bryn Forbes,24,6,14,5,11,1,2022-04-10,DEN
Vlatko Cancar,2,1,2,0,0,4,2022-04-10,DEN
Davon Reed,14,6,10,2,3,4,2022-04-10,DEN
Zeke Nnaji,5,1,9,0,4,2,2022-04-10,DEN
Markus Howard,25,8,17,2,8,1,2022-04-10,DEN
Draymond Green,7,2,2,1,1,6,2022-04-10,GSW
Kevon Looney,4,2,3,0,0,3,2022-04-10,GSW
Jordan Poole,22,7,16,4,9,5,2022-04-10,GSW
Quinndary Weatherspoon,0,0,0,0,0,1,2022-04-10,GSW
Moses Moody,5,2,3,1,1,2,2022-04-10,GSW
Nemanja Bjelica,4,2,3,0,1,7,2022-04-10,GSW
Klay Thompson,41,16,29,7,14,2,2022-04-10,GSW
Gary Payton II,8,4,4,0,0,0,2022-04-10,GSW
Juan Toscano-Anderson,8,3,4,2,2,4,2022-04-10,GSW
Jonathan Kuminga,18,7,10,3,4,2,2022-04-10,GSW
Damion Lee,11,4,7,1,1,1,2022-04-10,GSW
Jae'Sean Tate,5,2,4,1,1,2,2022-04-10,HOU
Usman Garuba,0,0,2,0,2,1,2022-04-10,HOU
Josh Christopher,6,2,6,0,3,3,2022-04-10,HOU
Alperen Sengun,9,4,12,1,6,8,2022-04-10,HOU
David Nwaba,2,1,2,0,1,1,2022-04-10,HOU
Kenyon Martin Jr.,11,4,6,2,4,0,2022-04-10,HOU
Jalen Green,41,14,26,4,11,3,2022-04-10,HOU
Garrison Mathews,14,4,7,3,6,0,2022-04-10,HOU
Kevin Porter Jr.,26,10,24,6,12,6,2022-04-10,HOU
Amir Coffey,35,13,22,7,10,5,2022-04-10,LAC
Isaiah Hartenstein,12,4,7,1,2,6,2022-04-10,LAC
Rodney Hood,5,1,1,1,1,2,2022-04-10,LAC
Terance Mann,10,4,7,1,2,3,2022-04-10,LAC
Luke Kennard,20,7,17,4,10,4,2022-04-10,LAC
Ivica Zubac,12,6,10,0,0,2,2022-04-10,LAC
Robert Covington,9,3,7,3,5,0,2022-04-10,LAC
Xavier Moon,17,8,11,1,3,7,2022-04-10,LAC
Brandon Boston Jr.,18,8,15,0,2,5,2022-04-10,LAC
Mac McClung,6,2,5,1,3,1,2022-04-10,LAL
Austin Reaves,31,7,17,3,5,10,2022-04-10,LAL
Mason Jones,9,1,3,0,1,3,2022-04-10,LAL
D.J. Augustin,2,0,4,0,4,2,2022-04-10,LAL
Wayne Ellington,18,6,10,4,8,0,2022-04-10,LAL
Malik Monk,41,14,25,7,14,1,2022-04-10,LAL
Talen Horton-Tucker,10,3,8,0,3,3,2022-04-10,LAL
Stanley Johnson,15,5,9,1,4,3,2022-04-10,LAL
Wenyen Gabriel,14,6,13,0,1,3,2022-04-10,LAL
Javonte Smart,20,8,14,4,8,1,2022-04-10,MIA
Haywood Highsmith,16,7,17,2,8,2,2022-04-10,MIA
Gabe Vincent,6,2,4,2,3,2,2022-04-10,MIA
Mychal Mulder,11,3,9,3,7,2,2022-04-10,MIA
Udonis Haslem,2,1,5,0,1,1,2022-04-10,MIA
Omer Yurtseven,7,3,14,0,3,1,2022-04-10,MIA
Duncan Robinson,9,3,9,3,9,4,2022-04-10,MIA
Victor Oladipo,40,13,22,5,11,7,2022-04-10,MIA
Sandro Mamukelashvili,28,10,18,2,5,4,2022-04-10,MIL
Rayjon Tucker,15,5,7,3,3,4,2022-04-10,MIL
Jordan Nwora,24,7,23,3,8,4,2022-04-10,MIL
Jrue Holiday,0,0,0,0,0,0,2022-04-10,MIL
Jevon Carter,3,1,11,1,5,5,2022-04-10,MIL
Thanasis Antetokounmpo,27,9,14,1,3,2,2022-04-10,MIL
Lindell Wigginton,18,7,15,2,6,8,2022-04-10,MIL
Nathan Knight,17,7,12,1,3,3,2022-04-10,MIN
Leandro Bolmaro,11,4,9,1,1,4,2022-04-10,MIN
Jaylen Nowell,15,6,12,3,5,2,2022-04-10,MIN
Patrick Beverley,5,1,3,0,1,4,2022-04-10,MIN
Malik Beasley,8,3,9,2,6,1,2022-04-10,MIN
Josh Okogie,13,5,7,0,1,2,2022-04-10,MIN
Jarred Vanderbilt,0,0,2,0,1,1,2022-04-10,MIN
Jordan McLaughlin,2,1,1,0,0,4,2022-04-10,MIN
Naz Reid,14,6,10,2,4,0,2022-04-10,MIN
Anthony Edwards,8,3,8,0,4,1,2022-04-10,MIN
Jaden McDaniels,8,3,7,1,4,1,2022-04-10,MIN
Jake Layman,10,3,3,1,1,0,2022-04-10,MIN
Greg Monroe,9,4,8,0,0,5,2022-04-10,MIN
McKinley Wright IV,0,0,0,0,0,2,2022-04-10,MIN
Kevin Durant,20,5,17,0,6,16,2022-04-10,BKN
Andre Drummond,20,9,9,0,0,0,2022-04-10,BKN
Cam Thomas,6,2,3,1,2,0,2022-04-10,BKN
Patty Mills,8,3,6,2,5,2,2022-04-10,BKN
Kyrie Irving,35,15,20,4,6,5,2022-04-10,BKN
Bruce Brown,21,8,13,1,2,3,2022-04-10,BKN
Nic Claxton,14,6,6,0,0,4,2022-04-10,BKN
Kessler Edwards,10,4,7,0,1,0,2022-04-10,BKN
Immanuel Quickley,34,12,26,4,11,12,2022-04-10,NYK
Jericho Sims,6,3,4,0,0,1,2022-04-10,NYK
Feron Hunt,0,0,2,0,0,1,2022-04-10,NYK
Taj Gibson,2,1,4,0,1,0,2022-04-10,NYK
Alec Burks,10,4,7,2,4,8,2022-04-10,NYK
Evan Fournier,6,2,11,2,9,5,2022-04-10,NYK
Ryan Arcidiacono,5,2,5,1,4,2,2022-04-10,NYK
Obi Toppin,42,16,28,6,14,3,2022-04-10,NYK
Devin Cannady,15,4,10,4,9,2,2022-04-10,ORL
Admiral Schofield,8,3,6,2,5,0,2022-04-10,ORL
Ignas Brazdeikis,15,6,10,1,5,3,2022-04-10,ORL
R.J. Hampton,21,8,16,4,7,5,2022-04-10,ORL
Mo Bamba,21,7,11,5,9,1,2022-04-10,ORL
Markelle Fultz,10,5,12,0,3,15,2022-04-10,ORL
Robin Lopez,4,1,2,0,1,2,2022-04-10,ORL
Moritz Wagner,14,5,11,2,7,5,2022-04-10,ORL
Chuma Okeke,17,6,13,5,12,0,2022-04-10,ORL
Lance Stephenson,10,3,8,0,1,5,2022-04-10,IND
Tyrese Haliburton,17,7,14,2,5,10,2022-04-10,IND
Oshae Brissett,28,10,20,5,10,3,2022-04-10,IND
Gabe York,1,0,2,0,2,2,2022-04-10,IND
Buddy Hield,21,8,23,5,14,6,2022-04-10,IND
T.J. McConnell,14,5,15,3,7,5,2022-04-10,IND
Isaiah Jackson,7,3,4,0,0,0,2022-04-10,IND
Duane Washington Jr.,18,7,11,4,6,0,2022-04-10,IND
Terry Taylor,10,4,7,0,1,1,2022-04-10,IND
Isaiah Joe,8,2,9,2,7,2,2022-04-10,PHI
Shake Milton,30,11,18,1,3,4,2022-04-10,PHI
Matisse Thybulle,7,3,4,1,2,1,2022-04-10,PHI
Furkan Korkmaz,9,2,10,1,7,4,2022-04-10,PHI
Danny Green,0,0,2,0,2,2,2022-04-10,PHI
Tobias Harris,6,3,10,0,0,6,2022-04-10,PHI
Tyrese Maxey,25,9,15,0,4,3,2022-04-10,PHI
DeAndre Jordan,8,4,6,0,0,1,2022-04-10,PHI
Paul Reed,25,12,14,0,0,2,2022-04-10,PHI
JaVale McGee,11,5,9,0,0,1,2022-04-10,PHX
Elfrid Payton,2,1,2,0,0,2,2022-04-10,PHX
Mikal Bridges,0,0,2,0,1,2,2022-04-10,PHX
Bismack Biyombo,14,5,7,0,0,1,2022-04-10,PHX
Cameron Johnson,12,4,9,1,5,2,2022-04-10,PHX
Landry Shamet,27,11,20,5,12,5,2022-04-10,PHX
Gabriel Lundberg,10,4,13,2,5,5,2022-04-10,PHX
Ish Wainright,15,6,14,3,8,0,2022-04-10,PHX
Aaron Holiday,10,3,17,1,8,5,2022-04-10,PHX
Torrey Craig,8,3,10,2,8,4,2022-04-10,PHX
Greg Brown III,3,1,8,1,5,1,2022-04-10,POR
Brandon Williams,10,4,16,1,4,4,2022-04-10,POR
Elijah Hughes,4,1,6,0,3,0,2022-04-10,POR
Didi Louzada,5,2,5,1,2,1,2022-04-10,POR
CJ Elleby,12,5,6,2,3,1,2022-04-10,POR
Keon Johnson,8,3,13,0,5,6,2022-04-10,POR
Keljin Blevins,5,2,8,1,6,1,2022-04-10,POR
Reggie Perry,20,9,17,1,4,5,2022-04-10,POR
Ben McLemore,13,4,4,2,2,2,2022-04-10,POR
Neemias Queta,6,3,4,0,0,0,2022-04-10,SAC
Chimezie Metu,7,2,5,1,2,2,2022-04-10,SAC
Donte DiVincenzo,19,5,11,4,7,3,2022-04-10,SAC
Josh Jackson,12,3,8,0,3,0,2022-04-10,SAC
Jeremy Lamb,5,2,3,1,1,0,2022-04-10,SAC
Davion Mitchell,18,5,14,2,4,15,2022-04-10,SAC
Damian Jones,19,8,9,1,2,3,2022-04-10,SAC
Trey Lyles,9,4,10,0,1,1,2022-04-10,SAC
Justin Holiday,19,7,10,5,6,1,2022-04-10,SAC
Harrison Barnes,2,1,2,0,0,1,2022-04-10,SAC
Zach Collins,8,3,3,0,0,4,2022-04-10,SAS
Keita Bates-Diop,8,3,6,0,0,1,2022-04-10,SAS
Jock Landale,2,1,1,0,0,0,2022-04-10,SAS
Devontae Cacok,0,0,0,0,0,0,2022-04-10,SAS
Tre Jones,12,5,9,2,4,6,2022-04-10,SAS
Joshua Primo,4,2,2,0,0,1,2022-04-10,SAS
Joe Wieskamp,0,0,0,0,0,0,2022-04-10,SAS
Josh Richardson,18,6,12,4,7,1,2022-04-10,SAS
Dejounte Murray,17,5,15,1,6,7,2022-04-10,SAS
Jakob Poeltl,12,6,11,0,0,0,2022-04-10,SAS
Keldon Johnson,24,8,19,1,6,3,2022-04-10,SAS
Devin Vassell,15,4,11,3,8,3,2022-04-10,SAS
Zavier Simpson,17,7,15,1,3,7,2022-04-10,OKC
Georgios Kalaitzakis,17,6,15,3,6,3,2022-04-10,OKC
Vit Krejci,16,7,17,2,8,2,2022-04-10,OKC
Isaiah Roby,16,7,15,2,5,1,2022-04-10,OKC
Melvin Frazier Jr.,8,4,16,0,6,1,2022-04-10,OKC
Jaylen Hoard,14,6,20,1,6,3,2022-04-10,OKC
Khem Birch,4,2,3,0,0,2,2022-04-10,TOR
OG Anunoby,8,3,9,0,5,3,2022-04-10,TOR
Svi Mykhailiuk,6,2,6,2,5,0,2022-04-10,TOR
Gary Trent Jr.,17,8,17,1,4,2,2022-04-10,TOR
Yuta Watanabe,4,1,4,0,3,2,2022-04-10,TOR
Scottie Barnes,7,3,5,1,2,5,2022-04-10,TOR
Thaddeus Young,5,2,3,1,1,4,2022-04-10,TOR
Chris Boucher,21,6,14,3,7,3,2022-04-10,TOR
Armoni Brooks,3,1,4,1,4,0,2022-04-10,TOR
Precious Achiuwa,9,4,13,1,5,2,2022-04-10,TOR
Malachi Flynn,10,4,14,2,6,4,2022-04-10,TOR
Danuel House Jr.,7,2,7,0,3,1,2022-04-10,UTA
Jordan Clarkson,9,4,13,1,8,4,2022-04-10,UTA
Rudy Gobert,18,4,6,0,0,1,2022-04-10,UTA
Hassan Whiteside,7,2,2,0,0,3,2022-04-10,UTA
Royce O'Neale,5,1,6,1,5,1,2022-04-10,UTA
Juancho Hernangomez,22,8,14,4,7,2,2022-04-10,UTA
Nickeil Alexander-Walker,3,1,3,1,3,2,2022-04-10,UTA
Eric Paschall,7,3,5,0,0,0,2022-04-10,UTA
Jared Butler,11,3,6,1,4,1,2022-04-10,UTA
Xavier Sneed,0,0,0,0,0,1,2022-04-10,UTA
Rudy Gay,8,3,7,0,3,2,2022-04-10,UTA
Mike Conley,14,6,13,1,3,5,2022-04-10,UTA
Santi Aldama,20,7,16,2,5,4,2022-04-10,MEM
Yves Pons,6,2,7,2,6,1,2022-04-10,MEM
De'Anthony Melton,14,4,13,3,9,5,2022-04-10,MEM
Kyle Anderson,16,6,11,1,3,3,2022-04-10,MEM
Ziaire Williams,18,6,18,4,11,1,2022-04-10,MEM
Xavier Tillman,5,2,10,0,3,2,2022-04-10,MEM
John Konchar,17,7,11,1,4,10,2022-04-10,MEM
Jarrett Culver,14,5,16,2,6,1,2022-04-10,MEM
Anthony Gill,9,3,10,1,2,2,2022-04-10,WAS
Deni Avdija,12,5,12,1,5,4,2022-04-10,WAS
Daniel Gafford,13,4,9,0,0,1,2022-04-10,WAS
Rui Hachimura,21,9,19,1,4,2,2022-04-10,WAS
Raul Neto,9,3,6,0,0,2,2022-04-10,WAS
Ish Smith,8,4,9,0,0,2,2022-04-10,WAS
Jordan Schakel,0,0,1,0,0,0,2022-04-10,WAS
Tomas Satoransky,5,2,3,1,1,9,2022-04-10,WAS
Vernon Carey Jr.,11,4,7,0,0,0,2022-04-10,WAS
Cassius Winston,0,0,3,0,1,1,2022-04-10,WAS
Isaiah Todd,0,0,3,0,2,1,2022-04-10,WAS
Corey Kispert,20,8,12,4,8,1,2022-04-10,WAS
Isaiah Livers,14,5,5,2,2,1,2022-04-10,DET
Braxton Key,12,5,7,1,2,3,2022-04-10,DET
Isaiah Stewart,10,4,4,2,2,2,2022-04-10,DET
Saddiq Bey,5,2,7,0,1,2,2022-04-10,DET
Killian Hayes,8,3,7,1,3,1,2022-04-10,DET
Frank Jackson,10,4,9,0,4,0,2022-04-10,DET
Jamorko Pickett,6,2,6,2,5,0,2022-04-10,DET
Luka Garza,20,8,18,2,7,4,2022-04-10,DET
Saben Lee,11,1,4,0,0,8,2022-04-10,DET
Carsen Edwards,5,2,9,1,5,4,2022-04-10,DET
Rodney McGruder,5,2,7,0,3,1,2022-04-10,DET
Jalen McDaniels,14,6,8,2,2,2,2022-04-10,CHA
Cody Martin,5,1,3,0,1,3,2022-04-10,CHA
Kelly Oubre Jr.,6,2,5,2,5,1,2022-04-10,CHA
Montrezl Harrell,8,4,6,0,0,4,2022-04-10,CHA
Isaiah Thomas,14,5,8,2,4,1,2022-04-10,CHA
Arnoldas Kulboka,0,0,1,0,1,0,2022-04-10,CHA
P.J. Washington,9,4,4,0,0,1,2022-04-10,CHA
Miles Bridges,9,3,12,1,4,5,2022-04-10,CHA
Terry Rozier,25,10,18,5,9,6,2022-04-10,CHA
Mason Plumlee,8,4,6,0,0,2,2022-04-10,CHA
LaMelo Ball,24,8,16,6,7,9,2022-04-10,CHA
Kai Jones,0,0,0,0,0,0,2022-04-10,CHA
James Bouknight,2,1,2,0,0,0,2022-04-10,CHA
JT Thor,0,0,0,0,0,0,2022-04-10,CHA
Garrett Temple,3,1,3,1,3,1,2022-04-09,NOP
Jonas Valanciunas,8,3,3,0,0,0,2022-04-09,NOP
CJ McCollum,16,6,17,2,6,4,2022-04-09,NOP
Willy Hernangomez,15,5,11,0,1,4,2022-04-09,NOP
Devonte' Graham,9,3,6,1,4,4,2022-04-09,NOP
Gary Clark,0,0,1,0,1,0,2022-04-09,NOP
Jaxson Hayes,13,5,12,0,4,1,2022-04-09,NOP
Naji Marshall,5,1,3,0,0,1,2022-04-09,NOP
Herbert Jones,4,2,4,0,1,0,2022-04-09,NOP
Jared Harper,12,5,6,1,1,2,2022-04-09,NOP
Tony Snell,7,3,6,0,2,1,2022-04-09,NOP
Larry Nance Jr.,2,1,5,0,2,0,2022-04-09,NOP
Trey Murphy III,8,1,6,1,3,0,2022-04-09,NOP
Jose Alvarado,12,5,8,0,2,5,2022-04-09,NOP
Draymond Green,12,6,10,0,1,8,2022-04-09,GSW
Kevon Looney,6,3,6,0,0,0,2022-04-09,GSW
Gary Payton II,6,3,5,0,2,0,2022-04-09,GSW
Damion Lee,4,1,6,0,2,1,2022-04-09,GSW
Jordan Poole,18,3,19,1,11,8,2022-04-09,GSW
Andre Iguodala,3,1,3,0,2,1,2022-04-09,GSW
Nemanja Bjelica,12,3,6,2,3,2,2022-04-09,GSW
Otto Porter Jr.,6,2,5,1,2,1,2022-04-09,GSW
Jonathan Kuminga,18,6,8,2,2,2,2022-04-09,GSW
Andrew Wiggins,15,5,13,2,7,0,2022-04-09,GSW
Terance Mann,5,2,7,1,3,2,2022-04-09,LAC
Isaiah Hartenstein,10,3,4,2,2,3,2022-04-09,LAC
Luke Kennard,10,4,8,2,4,1,2022-04-09,LAC
Norman Powell,20,6,11,4,6,2,2022-04-09,LAC
Robert Covington,8,2,5,1,4,1,2022-04-09,LAC
Amir Coffey,0,0,0,0,0,1,2022-04-09,LAC
Ivica Zubac,15,7,11,0,0,2,2022-04-09,LAC
Rodney Hood,3,1,1,1,1,0,2022-04-09,LAC
Reggie Jackson,7,3,9,1,4,1,2022-04-09,LAC
Marcus Morris Sr.,11,4,13,2,8,1,2022-04-09,LAC
Paul George,23,8,14,6,9,12,2022-04-09,LAC
Nicolas Batum,5,2,3,1,2,3,2022-04-09,LAC
Oshae Brissett,20,6,10,3,5,1,2022-04-09,IND
Duane Washington Jr.,15,6,10,2,4,2,2022-04-09,IND
Lance Stephenson,9,3,5,1,1,5,2022-04-09,IND
Tyrese Haliburton,19,7,10,0,1,9,2022-04-09,IND
Isaiah Jackson,16,6,12,1,1,0,2022-04-09,IND
Terry Taylor,10,4,10,0,2,2,2022-04-09,IND
Gabe York,7,2,5,1,4,2,2022-04-09,IND
Buddy Hield,12,3,8,2,5,1,2022-04-09,IND
T.J. McConnell,12,4,8,0,0,6,2022-04-09,IND
James Harden,22,7,16,2,9,14,2022-04-09,PHI
Danny Green,15,5,11,4,10,3,2022-04-09,PHI
Tobias Harris,18,8,13,1,3,0,2022-04-09,PHI
Joel Embiid,41,14,17,2,2,4,2022-04-09,PHI
Furkan Korkmaz,0,0,1,0,0,0,2022-04-09,PHI
Tyrese Maxey,18,7,15,2,6,5,2022-04-09,PHI
Isaiah Joe,5,2,3,1,2,0,2022-04-09,PHI
Shake Milton,4,2,8,0,1,8,2022-04-09,PHI
Matisse Thybulle,2,1,2,0,1,2,2022-04-09,PHI
Paul Reed,8,4,4,0,0,1,2022-04-09,PHI
Harrison Barnes,3,1,4,1,3,0,2022-04-09,SAC
Justin Holiday,6,2,6,2,5,4,2022-04-09,SAC
Trey Lyles,15,6,10,1,3,0,2022-04-09,SAC
Damian Jones,12,4,7,0,1,2,2022-04-09,SAC
Davion Mitchell,22,10,18,0,3,7,2022-04-09,SAC
Jeremy Lamb,6,2,8,1,6,4,2022-04-09,SAC
Josh Jackson,7,3,11,0,2,2,2022-04-09,SAC
Donte DiVincenzo,8,3,7,1,3,3,2022-04-09,SAC
Chimezie Metu,9,4,8,1,2,0,2022-04-09,SAC
Neemias Queta,10,3,7,0,0,2,2022-04-09,SAC
Joe Wieskamp,4,1,3,1,3,2,2022-04-09,SAS
Tre Jones,15,5,14,1,3,7,2022-04-09,SAS
Lonnie Walker IV,24,8,15,2,7,2,2022-04-09,SAS
Keita Bates-Diop,9,4,7,0,2,0,2022-04-09,SAS
Zach Collins,7,2,5,0,1,2,2022-04-09,SAS
Joshua Primo,14,5,13,3,6,3,2022-04-09,SAS
Devontae Cacok,4,2,4,0,0,1,2022-04-09,SAS
Romeo Langford,1,0,1,0,0,0,2022-04-09,SAS
Jock Landale,6,1,10,1,6,2,2022-04-09,SAS
Josh Richardson,10,4,8,2,3,0,2022-04-09,SAS
Brandon Clarke,20,10,10,0,0,3,2022-04-09,MEM
Ja Morant,21,7,14,2,3,9,2022-04-09,MEM
De'Anthony Melton,12,5,10,2,6,3,2022-04-09,MEM
Kyle Anderson,7,3,5,1,2,4,2022-04-09,MEM
Ziaire Williams,19,7,12,4,7,2,2022-04-09,MEM
Xavier Tillman,3,1,3,1,3,1,2022-04-09,MEM
Yves Pons,0,0,3,0,1,0,2022-04-09,MEM
Desmond Bane,18,6,7,4,4,1,2022-04-09,MEM
John Konchar,2,1,2,0,1,1,2022-04-09,MEM
Jaren Jackson Jr.,12,2,4,1,3,0,2022-04-09,MEM
Steven Adams,4,2,3,0,0,4,2022-04-09,MEM
Tyus Jones,0,0,1,0,0,8,2022-04-09,MEM
Dillon Brooks,23,9,16,3,5,5,2022-04-09,MEM
Trae Young,35,12,23,3,11,8,2022-04-08,ATL
Onyeka Okongwu,6,3,4,0,0,2,2022-04-08,ATL
De'Andre Hunter,2,1,7,0,2,0,2022-04-08,ATL
Timothe Luwawu-Cabarrot,0,0,2,0,2,1,2022-04-08,ATL
Delon Wright,2,1,3,0,1,1,2022-04-08,ATL
Danilo Gallinari,7,3,9,1,6,0,2022-04-08,ATL
Clint Capela,17,8,11,0,0,0,2022-04-08,ATL
Bogdan Bogdanovic,25,8,18,3,8,2,2022-04-08,ATL
Kevin Huerter,15,6,11,1,4,3,2022-04-08,ATL
Evan Mobley,17,6,11,0,1,3,2022-04-08,CLE
Lamar Stevens,2,1,5,0,3,0,2022-04-08,CLE
Dylan Windler,0,0,0,0,0,1,2022-04-08,CLE
Moses Brown,2,1,1,0,0,0,2022-04-08,CLE
Darius Garland,31,12,24,3,6,3,2022-04-08,CLE
Brandon Goodwin,0,0,0,0,0,0,2022-04-08,CLE
Lauri Markkanen,17,7,14,2,5,0,2022-04-08,CLE
Ed Davis,0,0,0,0,0,0,2022-04-08,CLE
Isaac Okoro,3,1,2,0,1,1,2022-04-08,CLE
Caris LeVert,16,5,10,0,1,4,2022-04-08,CLE
Cedi Osman,9,3,6,1,4,2,2022-04-08,CLE
Kevin Love,10,4,9,2,6,0,2022-04-08,CLE
Rajon Rondo,0,0,0,0,0,5,2022-04-08,CLE
DeMar DeRozan,17,7,13,0,1,1,2022-04-08,CHI
Tristan Thompson,7,3,5,0,0,0,2022-04-08,CHI
Nikola Vucevic,6,2,6,0,1,3,2022-04-08,CHI
Zach LaVine,23,9,15,2,4,7,2022-04-08,CHI
Javonte Green,4,2,4,0,1,0,2022-04-08,CHI
Coby White,19,6,14,6,9,4,2022-04-08,CHI
Troy Brown Jr.,6,2,5,2,4,4,2022-04-08,CHI
Derrick Jones Jr.,4,2,3,0,0,0,2022-04-08,CHI
Patrick Williams,15,4,7,2,2,3,2022-04-08,CHI
Ayo Dosunmu,16,7,10,1,2,3,2022-04-08,CHI
Reggie Bullock,5,2,7,1,6,0,2022-04-08,DAL
Spencer Dinwiddie,14,4,5,3,4,2,2022-04-08,DAL
Dwight Powell,18,7,7,0,0,2,2022-04-08,DAL
Dorian Finney-Smith,15,5,7,5,7,1,2022-04-08,DAL
Davis Bertans,6,2,5,2,4,6,2022-04-08,DAL
Trey Burke,4,2,6,0,1,1,2022-04-08,DAL
Boban Marjanovic,8,3,5,0,0,0,2022-04-08,DAL
Theo Pinson,2,0,2,0,1,2,2022-04-08,DAL
Josh Green,1,0,1,0,1,2,2022-04-08,DAL
Luka Doncic,39,12,21,7,14,7,2022-04-08,DAL
