Player_ID,Team_ID,Game_ID,Matchup,Game_day,Result,MINS,PTS,FGM,FGA,FGP,PM3,PA3,P3P,FTM,FTA,FTP,OREB,DREB,REB,AST,TOV,STL,BLK,PF,ID,Name
1629636,1610612739,0022100849,CLE @ PHI,2022-02-12,L,35,27,11,23,47.8,3,6,50.0,2,2,100.0,0,4,4,1,6,0,0,1,1629636,Darius Garland
1629003,1610612755,0022100849,PHI vs. CLE,2022-02-12,W,20,6,3,5,60.0,0,1,0.0,0,0,,0,3,3,5,3,0,0,1,1629003,Shake Milton
1627788,1610612755,0022100849,PHI vs. CLE,2022-02-12,W,17,9,4,8,50.0,1,2,50.0,0,0,,1,1,2,0,0,0,1,0,1627788,Furkan Korkmaz
1627777,1610612755,0022100849,PHI vs. CLE,2022-02-12,W,28,3,1,5,20.0,1,4,25.0,0,0,,1,3,4,2,0,0,0,5,1627777,Georges Niang
1627747,1610612739,0022100849,CLE @ PHI,2022-02-12,L,32,11,5,16,31.3,1,3,33.3,0,0,,1,2,3,6,3,2,0,1,1627747,Caris LeVert
1626224,1610612739,0022100849,CLE @ PHI,2022-02-12,L,25,12,3,9,33.3,2,6,33.3,4,5,80.0,0,3,3,4,1,0,0,1,1626224,Cedi Osman
202699,1610612755,0022100849,PHI vs. CLE,2022-02-12,W,33,11,5,10,50.0,1,2,50.0,0,1,0.0,0,5,5,1,3,0,1,4,202699,Tobias Harris
1630205,1610612739,0022100849,CLE @ PHI,2022-02-12,L,3,2,1,1,100.0,0,0,,0,0,,0,1,1,0,0,0,0,0,1630205,Lamar Stevens
1630198,1610612755,0022100849,PHI vs. CLE,2022-02-12,W,3,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1630198,Isaiah Joe
1630178,1610612755,0022100849,PHI vs. CLE,2022-02-12,W,33,16,6,12,50.0,1,3,33.3,3,5,60.0,0,2,2,2,1,1,0,0,1630178,Tyrese Maxey
1630171,1610612739,0022100849,CLE @ PHI,2022-02-12,L,32,5,1,1,100.0,0,0,,3,4,75.0,1,1,2,1,1,0,0,3,1630171,Isaac Okoro
203500,1610612763,0022100846,MEM @ CHA,2022-02-12,W,16,15,6,8,75.0,0,0,,3,7,42.9,8,3,11,4,0,0,3,6,203500,Steven Adams
1626162,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,20,8,4,9,44.4,0,2,0.0,0,0,,3,1,4,1,1,1,0,4,1626162,Kelly Oubre Jr.
1626179,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,41,35,11,27,40.7,6,17,35.3,7,9,77.8,4,6,10,9,2,0,1,3,1626179,Terry Rozier
1628970,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,31,8,2,13,15.4,0,5,0.0,4,4,100.0,1,4,5,4,2,1,1,3,1628970,Miles Bridges
1628991,1610612763,0022100846,MEM @ CHA,2022-02-12,W,31,18,5,17,29.4,4,12,33.3,4,6,66.7,4,6,10,1,0,1,2,6,1628991,Jaren Jackson Jr.
1629001,1610612763,0022100846,MEM @ CHA,2022-02-12,W,16,9,2,6,33.3,1,2,50.0,4,4,100.0,1,6,7,2,2,3,0,1,1629001,De'Anthony Melton
1629023,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,23,4,1,4,25.0,1,4,25.0,1,2,50.0,1,1,2,0,2,1,3,1,1629023,P.J. Washington
1629630,1610612763,0022100846,MEM @ CHA,2022-02-12,W,34,26,12,21,57.1,0,3,0.0,2,6,33.3,1,5,6,6,3,0,0,1,1629630,Ja Morant
1630533,1610612763,0022100846,MEM @ CHA,2022-02-12,W,23,4,2,4,50.0,0,1,0.0,0,3,0.0,0,0,0,0,1,1,0,2,1630533,Ziaire Williams
203486,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,30,4,2,2,100.0,0,0,,0,1,0.0,4,8,12,6,3,1,0,6,203486,Mason Plumlee
1630550,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,12,2,1,2,50.0,0,0,,0,0,,0,2,2,2,0,1,1,2,1630550,JT Thor
1630547,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,20,12,3,11,27.3,2,5,40.0,4,4,100.0,2,3,5,2,2,1,0,2,1630547,James Bouknight
1630217,1610612763,0022100846,MEM @ CHA,2022-02-12,W,32,25,7,13,53.8,4,7,57.1,7,7,100.0,0,4,4,5,7,4,1,3,1630217,Desmond Bane
1630163,1610612766,0022100846,CHA vs. MEM,2022-02-12,L,33,25,8,21,38.1,5,12,41.7,4,4,100.0,1,3,4,2,4,1,0,5,1630163,LaMelo Ball
