Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Paul Pierce,SF,7.9,18.1,43.9,2.3,5.9,38.9,6.8,8.6,79.6,5.7,12.2,46.3,1.38,0.5,47,46.0,37.0,25.0,0.8,5.1,5.9,4.1,1.0,0.3,3.2,2.6,1.3,21.73,BOS
Al Jefferson,C,6.6,12.8,51.4,0.0,0.0,0.0,2.9,4.3,68.1,6.6,12.8,51.4,1.255,0.51,69,60.0,33.6,16.0,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,0.6,19.9,BOS
Wally Szczerbiak,SG,5.0,12.1,41.5,1.4,3.3,41.5,3.5,3.9,89.7,3.7,8.8,41.5,1.235,0.47,32,19.0,28.1,15.0,0.5,2.6,3.1,1.7,0.6,0.1,1.7,2.0,1.0,14.9,BOS
Delonte West,SG,4.4,10.4,42.7,0.9,2.6,36.5,2.4,2.9,85.3,3.5,7.8,44.7,1.179,0.47,69,47.0,32.2,12.2,0.5,2.6,3.0,4.4,1.1,0.5,2.0,2.2,2.2,14.07,BOS
Ryan Gomes,SF,4.6,9.9,46.8,0.2,0.6,38.1,2.6,3.2,81.1,4.4,9.3,47.3,1.219,0.48,73,60.0,31.2,12.1,1.7,3.9,5.6,1.6,0.7,0.2,1.4,2.3,1.1,13.74,BOS
Tony Allen,SG,4.0,7.8,51.4,0.2,1.0,24.2,3.2,4.1,78.4,3.8,6.8,55.3,1.463,0.53,33,18.0,24.4,11.5,1.1,2.7,3.8,1.7,1.5,0.4,2.3,2.6,0.7,17.06,BOS
Gerald Green,G,3.8,9.1,41.9,1.2,3.2,36.8,1.6,2.0,80.5,2.7,5.9,44.7,1.141,0.48,81,26.0,22.0,10.4,0.8,1.7,2.6,1.0,0.5,0.3,1.5,2.4,0.7,12.1,BOS
Rajon Rondo,PG,2.4,5.8,41.8,0.1,0.4,20.7,1.5,2.4,64.7,2.3,5.4,43.2,1.113,0.42,78,25.0,23.5,6.4,0.9,2.8,3.7,3.8,1.6,0.1,1.8,2.3,2.2,13.16,BOS
Allan Ray,G,2.1,5.5,38.6,1.0,2.5,41.4,0.9,1.2,76.4,1.1,3.0,36.4,1.12,0.48,47,5.0,15.1,6.2,0.4,1.1,1.5,0.9,0.4,0.1,0.9,1.8,1.0,9.98,BOS
Sebastian Telfair,PG,2.3,6.1,37.1,0.5,1.6,28.9,1.2,1.4,81.8,1.8,4.4,40.2,1.011,0.41,78,30.0,20.2,6.1,0.2,1.2,1.4,2.8,0.6,0.1,1.3,2.1,2.2,8.61,BOS
Kevinn Pinkney,PF,2.0,4.5,44.4,0.2,0.3,50.0,1.0,1.5,66.7,1.8,4.2,44.0,1.148,0.46,6,0.0,16.7,5.2,1.2,1.3,2.5,0.8,0.5,0.5,0.7,2.0,1.3,11.75,BOS
Kendrick Perkins,C,1.8,3.7,49.1,0.0,0.0,0.0,0.8,1.4,60.0,1.8,3.7,49.6,1.204,0.49,72,53.0,21.9,4.5,1.6,3.6,5.2,1.3,0.3,1.3,1.6,3.0,0.8,9.49,BOS
