,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
0,1,Michael Jordan,CHI,34,19,15,4,42.3,31.1,11.9,26.2,45.6,0.7,3.5,19.4,6.5,7.8,83.1,2.2,5.7,7.9,4.8,2.6,1.6,0.9,2.4,52.6,4,0,7.2,893,1610612741
1,2,Anfernee Hardaway,ORL,25,5,2,3,44.4,31.0,10.4,22.2,46.8,2.2,6.0,36.7,8.0,10.8,74.1,1.4,4.6,6.0,3.4,1.8,2.4,1.4,2.8,52.9,1,0,-5.4,358,1610612753
2,3,Glen Rice,CHH,30,3,0,3,45.5,27.7,9.3,19.0,49.1,2.0,5.3,37.5,7.0,7.7,91.3,0.3,3.3,3.7,3.7,1.3,1.3,0.3,3.7,41.2,0,0,-3.3,779,1610612766
3,4,Shaquille O'Neal,LAL,25,9,4,5,36.2,26.9,9.9,19.2,51.4,0.0,0.0,0.0,7.1,11.7,61.0,4.2,6.3,10.6,3.2,2.4,0.6,1.9,4.1,49.3,7,0,3.7,406,1610612747
4,5,Karl Malone,UTA,33,20,13,7,40.8,26.0,9.4,21.5,43.5,0.1,0.1,50.0,7.2,10.0,72.0,3.0,8.4,11.4,2.9,2.7,1.4,0.8,3.0,47.5,16,0,5.1,252,1610612762
5,6,Rex Chapman,PHX,29,5,2,3,38.3,24.2,8.2,16.6,49.4,4.4,9.6,45.8,3.4,5.0,68.0,0.4,2.8,3.2,2.6,3.0,0.4,0.0,2.8,30.1,0,0,-7.0,364,1610612756
6,7,Gary Payton,SEA,28,12,6,6,45.6,23.8,8.8,21.3,41.2,2.1,6.3,33.3,4.2,5.1,82.0,1.7,3.8,5.4,8.7,2.9,2.2,0.3,2.2,47.8,5,0,4.3,56,1610612760
7,8,Grant Hill,DET,24,5,2,3,40.7,23.6,9.0,20.6,43.7,0.0,0.0,0.0,5.6,7.8,71.8,2.6,4.2,6.8,5.4,3.8,0.8,1.0,2.8,41.5,1,0,-3.0,255,1610612765
8,9,Hakeem Olajuwon,HOU,34,16,9,7,39.4,23.1,9.2,15.6,59.0,0.0,0.2,0.0,4.8,6.5,73.1,2.9,8.0,10.9,3.4,2.9,2.1,2.6,3.8,52.2,14,0,2.6,165,1610612745
9,10,Patrick Ewing,NYK,34,9,6,3,39.7,22.6,9.8,18.6,52.7,0.0,0.1,0.0,3.0,4.7,64.3,2.9,7.7,10.6,1.9,3.0,0.3,2.4,3.3,43.4,5,0,3.0,121,1610612752
10,11,Shawn Kemp,SEA,27,12,6,6,36.8,21.6,7.1,14.6,48.6,0.2,0.8,20.0,7.3,8.8,82.9,4.3,8.0,12.3,3.0,3.9,1.2,1.3,4.6,44.5,11,0,1.9,431,1610612760
11,12,Stephon Marbury,MIN,20,3,0,3,39.2,21.3,8.7,21.7,40.0,2.0,6.7,30.0,2.0,3.3,60.0,0.7,3.3,4.0,7.7,3.0,0.7,0.0,3.0,36.6,1,0,-13.7,950,1610612750
12,13,Rasheed Wallace,POR,22,4,1,3,37.3,19.8,8.3,14.0,58.9,0.5,1.3,40.0,2.8,5.0,55.0,2.0,4.0,6.0,1.5,1.5,0.5,0.5,4.3,30.7,0,0,-1.8,739,1610612757
13,14,Rod Strickland,WAS,30,3,0,3,41.5,19.7,7.3,17.3,42.3,0.3,0.7,50.0,4.7,6.3,73.7,1.7,4.3,6.0,8.3,3.7,1.0,0.0,2.7,38.7,1,0,-6.7,393,1610612764
14,15,Allan Houston,NYK,26,9,6,3,40.0,19.2,6.4,14.8,43.6,2.9,5.8,50.0,3.4,3.9,88.6,0.3,2.2,2.6,2.3,2.7,0.7,0.3,1.6,26.1,0,0,2.3,275,1610612752
15,16,Scottie Pippen,CHI,31,19,15,4,39.6,19.2,6.8,16.3,41.7,2.1,5.9,34.5,3.6,4.5,79.1,1.9,4.9,6.8,3.8,2.9,1.5,0.9,2.6,37.4,3,0,6.4,937,1610612741
