Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Paul Pierce,SF,6.8,15.8,43.0,1.4,4.1,33.3,6.1,7.2,84.2,5.4,11.7,46.3,1.33,0.47,14,14.0,39.7,21.0,0.3,5.5,5.8,3.1,1.1,0.4,2.4,3.1,1.3,16.1,BOS
Ray Allen,SG,5.9,14.7,40.3,2.5,7.1,35.0,3.9,4.1,94.8,3.4,7.6,45.3,1.2429999999999999,0.49,14,14.0,40.4,18.3,0.9,3.0,3.9,2.6,1.1,0.4,1.8,2.5,1.5,14.18,BOS
Rajon Rondo,PG,6.6,15.9,41.7,0.4,1.7,25.0,3.1,4.8,65.7,6.2,14.2,43.7,1.058,0.43,14,14.0,41.2,16.9,2.3,7.4,9.7,9.8,2.5,0.2,2.7,3.4,3.6,19.77,BOS
Glen Davis,PF,6.1,12.5,49.1,0.0,0.0,0.0,3.5,4.9,71.0,6.1,12.5,49.1,1.263,0.49,14,14.0,36.4,15.8,2.4,3.3,5.6,1.8,1.3,0.6,1.4,4.2,1.3,15.26,BOS
Kendrick Perkins,C,5.2,9.1,57.5,0.0,0.1,0.0,1.4,2.1,66.7,5.2,9.0,57.9,1.307,0.57,14,14.0,36.6,11.9,3.6,7.9,11.6,1.4,0.4,2.6,2.4,3.6,0.6,16.39,BOS
Eddie House,SG,2.9,5.5,51.9,1.3,2.6,48.6,0.7,0.8,90.9,1.6,2.9,55.0,1.403,0.64,14,0.0,16.6,7.7,0.1,1.3,1.4,0.9,0.8,0.0,0.4,1.9,2.2,17.12,BOS
Brian Scalabrine,PF,1.8,4.3,42.3,1.1,2.4,44.8,0.3,0.3,100.0,0.8,1.9,39.1,1.173,0.55,12,0.0,20.5,5.1,0.6,1.6,2.2,1.0,0.2,0.4,0.4,3.6,2.4,7.27,BOS
Leon Powe,PF,1.5,3.5,42.9,0.0,0.0,0.0,2.0,3.0,66.7,1.5,3.5,42.9,1.429,0.43,2,0.0,12.0,5.0,0.5,4.0,4.5,0.0,0.0,0.0,0.5,1.5,0.0,11.94,BOS
Stephon Marbury,PG,1.4,4.7,30.3,0.2,0.9,25.0,0.6,0.6,100.0,1.2,3.9,31.5,0.7879999999999999,0.33,14,0.0,11.9,3.7,0.1,0.8,0.9,1.8,0.1,0.0,0.7,1.1,2.5,4.57,BOS
Mikki Moore,C,0.5,1.0,50.0,0.0,0.0,0.0,0.5,0.6,83.3,0.5,1.0,50.0,1.5,0.5,10,0.0,6.6,1.5,0.6,0.9,1.5,0.4,0.2,0.5,0.1,1.1,4.0,15.62,BOS
Tony Allen,SG,0.4,0.8,50.0,0.0,0.0,0.0,0.1,0.1,100.0,0.4,0.8,50.0,1.125,0.5,10,0.0,6.0,0.9,0.1,0.8,0.9,0.3,0.2,0.0,0.1,0.4,3.0,7.89,BOS
Henry Walker,SF,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100.0,0.0,0.5,0.0,1.0,0.0,4,0.0,2.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,-2.52,BOS
Gabe Pruitt,PG,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4,0.0,2.8,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.5,0.0,1.0,-11.36,BOS
Al Harrington,PF,7.5,16.8,44.6,2.4,6.5,36.2,3.4,4.2,80.4,5.1,10.3,49.9,1.232,0.52,68,51.0,35.0,20.7,1.3,5.0,6.3,1.4,1.2,0.3,2.3,3.1,0.6,16.48,NY
Zach Randolph,F,7.5,17.2,43.4,0.6,2.2,29.2,5.0,6.1,82.1,6.8,15.0,45.5,1.196,0.45,11,11.0,35.3,20.5,3.6,8.8,12.5,1.4,1.2,0.3,2.1,2.5,0.7,19.86,NY
Jamal Crawford,G,6.6,15.4,43.2,3.2,7.0,45.5,3.2,4.2,76.1,3.5,8.4,41.3,1.278,0.54,11,11.0,35.6,19.6,0.2,1.4,1.5,4.4,0.8,0.0,2.4,1.2,1.8,15.76,NY
Nate Robinson,PG,6.1,13.9,43.7,1.7,5.2,32.5,3.4,4.0,84.1,4.4,8.7,50.4,1.237,0.5,74,11.0,29.9,17.2,1.3,2.6,3.9,4.1,1.3,0.1,1.9,2.8,2.2,18.95,NY
David Lee,PF,6.4,11.7,54.9,0.0,0.0,0.0,3.1,4.1,75.5,6.4,11.7,55.1,1.36,0.55,81,74.0,34.9,16.0,3.2,8.6,11.7,2.1,1.0,0.3,1.9,3.2,1.2,19.07,NY
Wilson Chandler,F,5.5,12.9,43.2,1.3,3.8,32.8,2.1,2.6,79.5,4.3,9.0,47.6,1.123,0.48,82,70.0,33.4,14.4,1.1,4.3,5.4,2.1,0.9,0.9,1.7,3.0,1.2,12.93,NY
Larry Hughes,SG,3.9,10.0,39.0,1.4,3.6,38.5,2.0,2.5,79.4,2.5,6.3,39.2,1.12,0.46,25,14.0,27.5,11.2,0.4,2.2,2.6,2.4,1.4,0.2,1.4,1.8,1.7,12.32,NY
Chris Duhon,PG,3.6,8.6,42.1,1.6,4.1,39.1,2.3,2.6,85.6,2.0,4.5,44.9,1.2919999999999998,0.51,79,78.0,36.8,11.1,0.6,2.5,3.1,7.2,0.9,0.1,2.8,1.6,2.6,12.27,NY
Quentin Richardson,SF,3.6,9.3,39.3,1.7,4.6,36.5,1.2,1.6,76.1,2.0,4.7,42.0,1.099,0.48,72,51.0,26.3,10.2,1.0,3.4,4.4,1.6,0.7,0.1,1.0,1.8,1.6,11.62,NY
Tim Thomas,PF,3.3,7.2,46.1,1.5,3.5,42.1,1.5,1.9,80.6,1.8,3.7,50.0,1.337,0.56,36,1.0,21.5,9.6,0.6,2.6,3.1,1.3,0.6,0.3,1.3,2.5,1.0,13.4,NY
Danilo Gallinari,PF,2.0,4.5,44.8,1.1,2.6,44.4,0.9,1.0,96.3,0.9,1.9,45.3,1.36,0.58,28,2.0,14.7,6.1,0.5,1.5,2.0,0.5,0.5,0.1,0.5,1.7,1.0,13.39,NY
Courtney Sims,C,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,1.0,0.5,1,0.0,11.0,6.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,19.91,NY
