,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
0,1,Kobe Bryant,LAL,24,12,6,6,44.2,32.1,11.4,26.4,43.2,2.1,5.2,40.3,7.2,8.7,82.7,1.3,3.8,5.1,5.2,3.5,1.2,0.1,2.9,46.2,0,0,1.7,977,1610612747
1,2,Tracy McGrady,ORL,24,7,3,4,44.1,31.7,10.6,23.6,44.8,2.3,6.7,34.0,8.3,10.7,77.3,1.4,5.3,6.7,4.7,3.7,2.0,0.9,2.3,51.7,1,0,-7.0,1503,1610612753
2,3,Allen Iverson,PHI,28,12,6,6,46.4,31.7,11.4,27.4,41.6,1.6,4.6,34.5,7.3,9.8,73.7,0.9,3.4,4.3,7.4,3.9,2.4,0.1,2.1,51.6,2,0,0.3,947,1610612755
3,4,Paul Pierce,BOS,25,10,4,6,44.5,27.1,7.7,19.3,39.9,1.6,4.5,35.6,10.1,11.7,86.3,1.1,7.9,9.0,6.7,4.4,2.1,0.8,3.8,52.3,6,1,-1.3,1718,1610612738
4,5,Kevin Garnett,MIN,27,6,2,4,44.1,27.0,11.8,23.0,51.4,0.5,1.5,33.3,2.8,4.7,60.7,1.8,13.8,15.7,5.2,3.0,1.7,1.7,3.8,60.6,6,0,-5.2,708,1610612750
5,5,Shaquille O'Neal,LAL,31,12,6,6,40.0,27.0,10.1,18.8,53.5,0.0,0.0,0.0,6.8,11.0,62.1,5.3,9.6,14.8,3.7,2.9,0.6,2.8,2.8,57.6,12,0,2.2,406,1610612747
6,7,Dirk Nowitzki,DAL,25,17,9,8,42.5,25.3,8.8,18.4,47.9,1.6,3.6,44.3,6.1,6.6,91.2,0.9,10.6,11.5,2.2,2.4,1.2,0.9,3.1,46.6,14,0,-0.3,1717,1610612742
7,8,Jamal Mashburn,NOH,30,4,1,3,40.4,24.8,8.5,19.8,43.0,1.5,3.8,40.0,6.3,8.8,71.4,0.0,3.5,3.5,5.3,2.5,1.0,0.3,1.0,38.1,0,0,-6.0,469,1610612740
8,9,Tim Duncan,SAS,27,24,16,8,42.6,24.7,9.1,17.2,52.9,0.0,0.3,0.0,6.5,9.7,67.7,4.0,11.4,15.4,5.3,3.2,0.6,3.3,3.3,59.7,22,2,7.7,1495,1610612759
9,10,Chris Webber,SAC,30,7,5,2,35.1,23.7,9.6,19.3,49.6,0.0,0.4,0.0,4.6,7.0,65.3,2.6,5.7,8.3,3.6,3.3,1.4,1.1,3.6,43.4,4,0,6.3,185,1610612758
10,11,Troy Hudson,MIN,27,6,2,4,36.8,23.5,7.3,17.7,41.5,2.8,6.5,43.6,6.0,6.3,94.7,0.2,1.8,2.0,5.5,2.7,1.3,0.0,0.8,35.5,1,0,-3.3,1607,1610612750
11,12,Peja Stojakovic,SAC,26,12,7,5,40.5,23.1,8.1,16.8,48.0,2.7,5.8,45.7,4.3,5.0,85.0,1.4,5.5,6.9,2.5,1.0,0.8,0.4,2.8,37.9,2,0,6.3,978,1610612758
12,13,Jermaine O'Neal,IND,24,6,2,4,45.4,22.8,7.2,15.3,46.7,0.0,0.5,0.0,8.5,10.8,78.5,4.0,13.5,17.5,0.7,3.0,0.5,3.0,3.7,52.3,5,0,-2.3,979,1610612754
13,14,Richard Hamilton,DET,25,17,8,9,38.7,22.5,7.9,17.8,44.2,0.5,1.6,33.3,6.2,6.9,90.6,1.1,2.8,3.9,2.6,3.4,0.8,0.1,3.0,30.3,0,0,1.5,1888,1610612765
14,15,Stephon Marbury,PHX,26,6,2,4,45.4,22.0,8.5,22.7,37.5,0.8,3.7,22.7,4.2,5.5,75.8,1.0,3.0,4.0,5.7,3.8,1.2,0.0,4.3,35.0,1,0,-6.2,950,1610612756
15,16,Baron Davis,NOH,24,5,2,3,38.8,20.4,7.4,16.6,44.6,2.4,7.0,34.3,3.2,4.4,72.7,0.8,2.8,3.6,8.4,3.0,1.4,0.4,4.0,39.7,1,0,3.4,1884,1610612740
16,17,Jason Kidd,NJN,30,20,14,6,42.6,20.1,6.9,17.1,40.2,1.7,5.2,32.7,4.7,5.7,82.5,1.8,5.9,7.7,8.2,4.0,1.8,0.2,2.3,43.6,9,1,4.0,467,1610612751
17,18,Karl Malone,UTA,39,5,1,4,38.2,19.6,6.8,16.8,40.5,0.0,0.2,0.0,6.0,8.2,73.2,1.4,5.4,6.8,4.0,4.0,1.6,0.4,3.0,35.8,1,0,-6.2,252,1610612762
18,19,Nick Van Exel,DAL,31,20,10,10,33.7,19.5,7.5,16.3,46.0,2.2,5.6,39.3,2.3,3.2,70.3,0.9,2.5,3.4,4.1,2.0,0.6,0.0,2.4,29.5,0,0,-1.5,89,1610612742
19,20,Bonzi Wells,POR,26,7,3,4,38.3,19.0,7.0,17.7,39.5,1.3,4.3,30.0,3.7,5.6,66.7,2.0,4.9,6.9,3.7,3.0,2.1,0.4,4.3,37.5,1,0,1.1,1719,1610612757
