,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
0,1,Tracy McGrady,ORL,22,4,1,3,44.3,33.8,12.8,30.8,41.5,0.5,2.5,20.0,7.8,9.5,81.6,1.5,5.0,6.5,8.3,2.0,1.8,1.3,2.8,60.9,1,0,-8.3,1503,1610612753
1,2,Allen Iverson,PHI,26,22,12,10,46.5,32.9,11.7,30.0,38.9,2.2,6.5,33.8,7.3,9.5,77.4,0.7,4.0,4.7,6.1,2.9,2.4,0.3,2.5,52.9,2,0,0.0,947,1610612755
2,3,Reggie Miller,IND,35,4,1,3,44.1,31.3,10.3,22.5,45.6,3.8,8.8,42.9,7.0,7.5,93.3,1.8,3.3,5.0,2.5,2.8,0.8,0.5,0.8,42.0,0,0,-2.3,397,1610612754
3,4,Shaquille O'Neal,LAL,29,16,15,1,42.2,30.4,11.9,21.5,55.5,0.0,0.0,0.0,6.6,12.5,52.5,5.7,9.8,15.4,3.2,3.6,0.4,2.4,3.4,58.6,16,0,11.6,406,1610612747
4,5,Kobe Bryant,LAL,22,16,15,1,43.3,29.4,10.5,22.4,46.9,0.7,2.1,32.4,7.8,9.4,82.1,1.8,5.4,7.3,6.1,3.2,1.6,0.8,3.3,51.0,5,0,13.3,977,1610612747
5,6,Karl Malone,UTA,37,5,2,3,40.0,27.6,9.8,24.2,40.5,0.2,0.4,50.0,7.8,9.8,79.6,1.8,7.0,8.8,3.4,3.8,1.0,0.8,2.6,44.9,2,0,-1.4,252,1610612762
6,7,Vince Carter,TOR,24,12,6,6,45.1,27.3,10.2,23.3,43.6,2.1,5.1,41.0,4.8,6.2,78.4,3.1,3.4,6.5,4.7,2.3,1.7,1.7,3.8,49.8,1,0,2.4,1713,1610612761
7,8,Ray Allen,MIL,25,18,10,8,42.7,25.1,8.8,18.4,47.7,3.2,6.6,47.9,4.4,4.8,91.9,1.1,3.1,4.1,6.0,2.4,1.3,0.6,2.4,42.3,2,0,3.6,951,1610612749
8,9,Jamal Mashburn,CHH,28,10,6,4,42.1,24.9,8.4,20.8,40.4,0.7,2.1,33.3,7.4,8.8,84.1,1.8,4.4,6.2,5.7,3.0,1.2,0.3,2.4,42.4,0,0,6.5,469,1610612766
9,10,Tim Duncan,SAS,25,13,7,6,40.4,24.4,9.2,18.9,48.8,0.1,0.1,100.0,5.8,9.2,63.9,4.2,10.3,14.5,3.8,3.8,1.1,2.7,3.3,54.9,11,0,4.2,1495,1610612759
10,11,Dirk Nowitzki,DAL,23,10,4,6,39.9,23.4,6.9,16.3,42.3,1.3,4.6,28.3,8.3,9.4,88.3,1.4,6.7,8.1,1.4,1.4,1.1,0.8,3.7,39.5,3,0,-2.6,1717,1610612742
11,12,Chris Webber,SAC,28,8,3,5,43.5,23.3,9.5,24.5,38.8,0.0,0.1,0.0,4.3,6.1,69.4,4.3,7.3,11.5,3.1,3.9,1.1,1.0,3.6,44.2,5,0,3.0,185,1610612758
12,13,Peja Stojakovic,SAC,24,8,3,5,38.5,21.6,6.5,16.0,40.6,1.1,3.3,34.6,7.5,7.8,96.8,2.1,4.3,6.4,0.4,2.3,0.6,0.4,2.1,30.6,1,0,3.9,978,1610612758
13,14,Kevin Garnett,MIN,25,4,1,3,41.0,21.0,6.8,14.5,46.6,0.0,0.8,0.0,7.5,9.0,83.3,2.5,9.5,12.0,4.3,1.5,1.0,1.5,3.3,47.8,3,0,-7.5,708,1610612750
14,15,Allan Houston,NYK,30,5,2,3,37.9,20.8,7.6,12.8,59.4,1.2,2.2,54.5,4.4,4.4,100.0,0.0,1.8,1.8,1.4,2.0,1.0,0.2,3.4,26.7,0,0,-4.4,275,1610612752
15,16,Michael Finley,DAL,28,10,4,6,43.4,19.7,7.2,20.0,36.0,1.7,4.7,36.2,3.6,4.4,81.8,1.3,4.0,5.3,4.4,2.4,1.2,0.2,2.3,34.5,2,0,-5.1,714,1610612742
16,17,Glenn Robinson,MIL,28,18,10,8,38.2,19.4,7.7,17.9,42.9,1.3,3.4,38.7,2.8,3.1,89.3,1.4,5.0,6.4,3.3,2.6,0.6,1.3,2.4,35.5,4,0,0.3,299,1610612749
17,18,Eddie Jones,MIA,29,3,0,3,36.0,19.0,7.3,14.7,50.0,2.3,5.3,43.8,2.0,2.3,85.7,0.7,5.3,6.0,2.3,2.3,1.0,0.3,3.0,31.4,0,0,-15.7,224,1610612748
18,19,Latrell Sprewell,NYK,30,5,2,3,42.4,18.4,7.0,17.2,40.7,0.6,2.8,21.4,3.8,5.0,76.0,0.6,2.4,3.0,3.4,4.0,1.0,0.2,3.4,26.7,0,0,-3.4,84,1610612752
19,20,Jalen Rose,IND,28,4,1,3,41.2,18.0,7.5,19.8,38.0,1.3,4.0,31.3,1.8,1.8,100.0,0.8,3.8,4.5,2.8,2.3,1.5,0.3,4.5,30.5,0,0,-7.3,147,1610612754
20,21,Baron Davis,CHH,22,10,6,4,39.8,17.8,5.9,12.3,48.0,2.0,5.0,40.0,4.0,5.6,71.4,0.9,3.5,4.4,5.8,2.2,2.8,0.5,3.3,39.5,0,0,5.5,1884,1610612766
21,22,Damon Stoudamire,POR,27,3,0,3,38.2,17.7,6.3,15.3,41.3,0.7,4.3,15.4,4.3,4.3,100.0,0.3,2.7,3.0,4.3,3.0,0.7,0.3,2.0,27.8,0,0,-11.7,757,1610612757
22,23,Sam Cassell,MIL,31,18,10,8,37.9,17.4,6.1,15.4,39.6,0.6,1.7,33.3,4.7,5.4,86.6,0.7,3.9,4.6,6.7,2.9,1.1,0.2,4.2,33.8,5,0,-0.1,208,1610612749
23,24,David Wesley,CHH,30,10,6,4,39.1,17.0,6.3,13.4,47.0,1.3,3.3,39.4,3.1,4.1,75.6,0.4,2.6,3.0,3.9,1.4,1.6,0.1,2.8,30.2,0,0,5.4,133,1610612766
24,24,Steven Smith,POR,32,3,0,3,40.7,17.0,5.3,11.3,47.1,1.3,3.7,36.4,5.0,5.3,93.8,1.7,2.7,4.3,2.3,3.3,0.7,0.3,1.0,25.4,0,0,-12.3,120,1610612757
25,26,Rasheed Wallace,POR,26,3,0,3,42.8,16.7,6.3,17.0,37.3,1.3,3.7,36.4,2.7,4.7,57.1,1.7,6.3,8.0,2.3,1.3,0.3,1.0,3.0,32.4,0,0,-12.0,739,1610612757
26,27,David Robinson,SAS,35,13,7,6,31.4,16.6,5.8,12.2,47.2,0.0,0.1,0.0,5.1,7.3,69.5,3.0,8.8,11.8,1.7,2.2,1.3,2.4,3.2,42.2,10,0,4.4,764,1610612759
27,28,Antonio Davis,TOR,32,12,6,6,40.4,16.4,6.4,12.8,50.0,0.0,0.0,0.0,3.6,4.4,81.1,3.4,7.7,11.1,1.9,1.8,0.8,1.8,2.9,38.8,9,0,2.9,213,1610612761
28,29,Terrell Brandon,MIN,31,4,1,3,38.1,15.3,6.8,15.5,43.5,1.0,2.3,44.4,0.8,0.8,100.0,0.5,3.8,4.3,6.3,2.0,1.0,0.5,2.5,32.2,0,0,-5.5,210,1610612750
