,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,San Antonio Spurs,17,15,2,0.882,48.0,88.4,31.6,70.1,45.1,4.1,11.8,35.0,21.1,28.5,74.2,9.8,30.4,40.2,21.3,14.9,7.3,5.8,4.3,21.8,0.2,7.2,1610612759
1,2,Indiana Pacers,13,9,4,0.6920000000000001,48.4,93.6,32.8,74.2,44.1,6.5,18.0,36.3,21.5,28.2,76.3,11.6,29.8,41.5,20.7,15.8,6.6,5.2,4.5,25.9,0.2,3.6,1610612754
2,3,New York Knicks,20,12,8,0.6,48.0,85.0,31.9,74.3,42.9,3.2,11.4,28.1,18.1,23.9,75.7,10.2,29.1,39.3,15.0,13.4,7.6,3.9,4.6,25.5,0.3,2.0,1610612752
3,4,Portland Trail Blazers,13,7,6,0.5379999999999999,48.0,86.2,29.4,69.4,42.4,3.8,11.1,34.0,23.6,31.4,75.2,9.8,28.9,38.8,18.2,14.1,7.7,4.2,5.5,23.9,0.3,-0.5,1610612757
4,5,Utah Jazz,11,5,6,0.455,48.9,89.2,32.4,75.0,43.2,2.9,9.6,30.2,21.5,28.3,76.2,11.2,31.5,42.6,22.0,15.5,7.7,4.7,4.1,27.1,0.5,1.8,1610612762
5,6,Detroit Pistons,5,2,3,0.4,48.0,79.2,32.2,75.0,42.9,3.4,9.4,36.2,11.4,14.4,79.2,11.2,24.0,35.2,17.8,11.8,7.2,1.8,4.6,22.6,0.2,-3.0,1610612765
6,6,Miami Heat,5,2,3,0.4,48.0,79.0,27.2,68.0,40.0,5.6,18.6,30.1,19.0,27.0,70.4,8.2,27.4,35.6,16.4,12.6,7.2,4.4,3.0,20.6,0.2,-4.0,1610612748
7,6,Sacramento Kings,5,2,3,0.4,50.0,90.6,32.4,79.6,40.7,6.2,22.2,27.9,19.6,26.4,74.2,12.8,28.6,41.4,18.2,17.8,10.6,4.4,4.0,23.8,0.4,-4.8,1610612758
8,9,Los Angeles Lakers,8,3,5,0.375,48.0,94.0,35.3,79.6,44.3,4.8,15.6,30.4,18.8,29.3,64.1,12.1,28.3,40.4,19.5,14.0,6.6,6.4,4.1,25.3,0.3,-2.9,1610612747
9,9,Philadelphia 76ers,8,3,5,0.375,48.0,89.3,34.6,82.1,42.2,2.5,10.5,23.8,17.5,24.5,71.4,16.9,27.5,44.4,19.0,13.3,10.4,5.1,4.9,25.5,0.0,0.5,1610612755
10,11,Atlanta Hawks,9,3,6,0.33299999999999996,48.0,79.7,28.6,74.6,38.3,4.8,15.3,31.2,17.8,23.1,76.9,12.0,26.9,38.9,13.9,14.3,8.1,4.0,2.9,19.4,0.4,-2.8,1610612737
11,12,Houston Rockets,4,1,3,0.25,48.0,97.0,33.8,81.3,41.5,7.8,21.3,36.5,21.8,28.5,76.3,13.3,32.5,45.8,20.5,13.3,7.5,4.5,8.5,26.0,0.0,-2.3,1610612745
12,12,Minnesota Timberwolves,4,1,3,0.25,48.0,80.5,32.0,80.8,39.6,2.5,8.0,31.3,14.0,18.3,76.7,14.3,29.3,43.5,18.8,14.5,6.5,6.0,5.8,24.0,0.3,-6.3,1610612750
13,12,Orlando Magic,4,1,3,0.25,48.0,86.3,27.8,73.8,37.6,6.8,21.8,31.0,24.0,32.3,74.4,14.5,25.0,39.5,19.8,19.0,9.0,3.8,6.8,23.5,0.0,-6.3,1610612753
14,15,Milwaukee Bucks,3,0,3,0.0,49.7,95.3,34.0,75.0,45.3,4.7,14.0,33.3,22.7,29.3,77.3,11.0,27.0,38.0,20.0,16.3,8.3,5.0,5.0,30.0,1.0,-10.3,1610612749
15,15,Phoenix Suns,3,0,3,0.0,48.0,92.3,34.7,80.7,43.0,7.0,18.7,37.5,16.0,21.7,73.8,10.3,22.7,33.0,22.3,14.0,10.3,2.3,5.7,29.0,0.0,-10.3,1610612756
