,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
83,84,Leandro Barbosa,PHX,26,70,39,31,24.4,14.2,5.2,10.8,48.2,1.3,3.4,37.5,2.4,2.8,88.1,0.5,2.1,2.6,2.3,1.3,1.2,0.1,1.6,23.2,0,0,0.2
84,85,Tayshaun Prince,DET,29,82,39,43,37.3,14.2,5.6,12.4,45.0,0.7,1.7,39.7,2.3,3.0,77.8,1.6,4.2,5.8,3.1,1.2,0.5,0.6,1.3,28.0,11,0,-0.9
85,86,Raymond Felton,CHA,25,82,35,47,37.6,14.2,5.4,13.2,40.8,0.7,2.5,28.5,2.7,3.3,80.5,0.7,3.1,3.8,6.7,2.8,1.5,0.4,2.3,31.8,7,0,0.0
86,87,Luol Deng,CHI,24,49,23,26,34.0,14.1,5.4,12.1,44.8,0.2,0.4,40.0,3.1,3.9,79.6,1.6,4.4,6.0,1.9,1.5,1.2,0.5,1.7,27.9,7,0,-0.7
87,88,Michael Beasley,MIA,20,81,43,38,24.8,13.9,5.6,11.8,47.2,0.4,1.0,40.7,2.3,3.0,77.2,1.4,4.1,5.4,1.0,1.5,0.5,0.5,2.3,23.3,8,0,0.1
88,89,Marvin Williams,ATL,23,61,33,28,34.3,13.9,4.7,10.2,45.8,0.9,2.5,35.5,3.6,4.5,80.6,1.8,4.5,6.3,1.3,1.1,0.9,0.6,2.1,26.9,6,0,0.1
89,90,Elton Brand,PHI,30,29,13,16,31.7,13.8,5.6,12.6,44.7,0.0,0.0,0.0,2.5,3.7,67.6,2.7,6.1,8.8,1.3,2.3,0.6,1.6,2.7,30.3,10,0,0.0
90,91,Cuttino Mobley,LAC,33,11,2,9,33.1,13.7,5.7,13.3,43.2,1.1,3.2,34.3,1.2,1.6,72.2,0.8,1.8,2.6,1.1,1.6,1.4,0.2,1.9,21.5,0,0,-6.1
91,92,Ronnie Brewer,UTA,24,81,48,33,32.2,13.7,5.2,10.2,50.8,0.3,1.0,25.9,3.0,4.3,70.2,1.2,2.5,3.7,2.2,1.4,1.7,0.4,1.6,26.3,0,0,1.0
92,93,Marquis Daniels,IND,28,54,22,32,31.5,13.6,5.8,12.8,45.1,0.3,1.7,20.0,1.7,2.4,72.1,1.5,3.1,4.6,2.1,1.7,1.1,0.5,2.2,25.4,4,0,-0.4
93,94,Paul Millsap,UTA,24,76,44,32,30.1,13.5,5.3,9.9,53.4,0.0,0.1,0.0,3.0,4.3,69.9,3.3,5.3,8.6,1.8,1.7,1.0,1.0,3.8,30.8,29,0,3.5
94,95,Rodney Stuckey,DET,23,79,36,43,31.9,13.4,5.1,11.6,43.9,0.3,1.0,29.5,2.9,3.7,80.3,0.9,2.6,3.5,4.9,2.2,1.0,0.1,2.7,26.1,5,0,-0.9
95,96,Ryan Gomes,MIN,26,82,24,58,31.9,13.3,5.1,11.9,43.1,1.3,3.5,37.2,1.8,2.2,80.7,1.3,3.5,4.8,1.6,1.6,0.8,0.3,2.2,23.1,2,0,-4.3
96,97,Peja Stojakovic,NOH,32,61,35,26,34.2,13.3,4.7,11.8,39.9,2.4,6.3,37.8,1.5,1.7,89.4,0.7,3.6,4.3,1.2,0.8,0.9,0.0,1.7,22.2,1,0,3.4
97,98,Jermaine O'Neal,MIA,30,68,28,40,29.8,13.3,5.4,11.3,47.4,0.0,0.0,0.0,2.6,3.3,78.8,1.9,4.5,6.4,1.8,2.1,0.4,2.0,3.1,28.8,8,0,-1.7
98,99,Boris Diaw,CHA,27,81,41,40,34.0,13.2,5.5,10.9,50.7,0.9,2.2,41.4,1.2,1.8,68.7,1.5,3.9,5.3,4.1,2.7,0.8,0.7,2.5,27.4,8,0,0.9
99,100,Emeka Okafor,CHA,26,82,35,47,32.8,13.2,5.3,9.4,56.1,0.0,0.0,0.0,2.7,4.5,59.3,3.4,6.7,10.1,0.6,1.8,0.6,1.7,3.0,31.3,39,0,0.3
100,101,Jarrett Jack,IND,25,82,36,46,33.1,13.1,4.7,10.4,45.3,1.0,2.7,35.3,2.7,3.2,85.2,0.5,2.8,3.4,4.1,2.2,1.1,0.2,2.2,24.9,0,0,-0.4
101,102,Brook Lopez,NJN,21,82,34,48,30.5,13.0,5.5,10.3,53.1,0.0,0.0,0.0,2.1,2.6,79.3,2.7,5.4,8.1,1.0,1.8,0.5,1.8,3.1,29.7,18,0,-1.3
