,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
85,86,Drew Gooden,SAS,27,4,1,3,17.7,7.3,2.8,8.3,33.3,0.0,0.5,0.0,1.8,1.8,100.0,1.3,2.5,3.8,0.3,0.8,0.3,0.3,3.3,12.9,0,0,-0.5
86,87,Dahntay Jones,DEN,28,16,10,6,17.5,7.0,2.4,4.9,48.1,0.2,0.8,25.0,2.1,2.7,76.7,1.0,1.4,2.4,0.6,0.8,0.8,0.3,2.6,13.4,0,0,2.3
87,88,Anderson Varejao,CLE,26,14,10,4,30.0,6.9,2.9,5.9,50.0,0.0,0.0,0.0,1.1,1.6,68.2,2.9,3.5,6.4,0.6,1.1,1.3,1.1,3.5,21.7,0,0,8.2
88,88,Linas Kleiza,DEN,24,14,8,6,15.0,6.9,2.2,4.7,47.0,1.2,2.9,42.5,1.3,1.7,75.0,0.6,2.6,3.2,0.5,0.1,0.4,0.1,1.2,12.7,0,0,4.5
89,90,Zaza Pachulia,ATL,25,11,4,7,23.7,6.9,2.0,4.8,41.5,0.0,0.0,0.0,2.9,3.8,76.2,2.5,4.4,6.9,0.3,1.3,0.5,0.3,3.6,16.5,2,0,-1.5
90,91,Al Horford,ATL,23,9,4,5,28.0,6.9,2.8,6.6,42.4,0.0,0.1,0.0,1.3,2.0,66.7,1.3,4.4,5.8,2.0,0.4,0.7,0.7,2.9,20.4,1,0,-5.6
91,92,Roger Mason Jr.,SAS,28,5,1,4,21.7,6.6,2.4,6.4,37.5,1.4,3.8,36.8,0.4,0.6,66.7,0.0,1.6,1.6,1.8,0.8,0.2,0.0,2.0,11.0,0,0,-8.4
92,93,Rasheed Wallace,DET,34,4,0,4,30.5,6.5,2.8,7.5,36.7,1.0,2.0,50.0,0.0,0.0,0.0,0.5,5.8,6.3,0.8,0.8,0.5,0.3,3.0,16.6,0,0,-14.5
93,94,Chris Andersen,DEN,30,15,10,5,21.8,6.5,2.3,3.6,63.0,0.0,0.1,0.0,1.9,2.9,65.9,1.9,4.4,6.3,0.6,0.5,0.3,2.1,2.8,21.8,0,0,4.9
94,95,Andrew Bynum,LAL,21,23,16,7,17.4,6.3,2.5,5.5,45.7,0.0,0.0,0.0,1.2,1.9,65.1,1.4,2.3,3.7,0.4,0.8,0.3,0.9,3.3,14.4,0,0,1.1
95,96,Arron Afflalo,DET,23,4,0,4,16.6,6.3,2.5,5.3,47.6,0.5,2.5,20.0,0.8,1.3,60.0,0.3,0.5,0.8,0.3,0.8,0.0,0.5,2.3,8.3,0,0,0.5
96,97,Maurice Evans,ATL,30,11,4,7,24.1,6.2,2.5,5.9,43.1,0.7,2.5,28.6,0.4,0.5,66.7,0.7,0.7,1.5,0.9,0.4,0.5,0.3,2.6,11.4,0,0,-6.7
97,98,Fabricio Oberto,SAS,34,2,1,1,10.8,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.4,0,0,3.5
98,98,JJ Redick,ORL,25,16,7,9,20.4,6.0,1.9,5.2,37.3,1.3,3.3,40.4,0.8,0.9,92.9,0.1,1.1,1.2,1.9,0.4,0.5,0.1,1.6,11.6,0,0,1.5
99,100,Antoine Wright,DAL,25,10,5,5,16.7,5.9,2.1,4.3,48.8,0.8,2.1,38.1,0.9,1.1,81.8,0.5,0.8,1.3,1.0,0.4,0.3,0.2,3.0,10.1,0,0,-2.7
100,101,Samuel Dalembert,PHI,29,6,2,4,22.2,5.8,2.7,4.2,64.0,0.0,0.0,0.0,0.5,0.7,75.0,1.7,6.2,7.8,0.5,1.0,0.3,1.5,4.0,20.5,0,0,-7.2
101,102,George Hill,SAS,23,4,1,3,19.0,5.8,1.8,5.3,33.3,0.8,2.0,37.5,1.5,1.8,85.7,0.8,1.3,2.0,0.5,0.5,0.5,0.3,1.5,10.7,0,0,-0.5
