ID,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
GS,Golden State Warriors,5,0,1.0,-,3-0,2-0,2-0,5-0,118.0,106.6,11.4,W5,5-0
NY,New York Knicks,4,0,1.0,0.5,3-0,1-0,0-0,4-0,116.3,104.0,12.3,W4,4-0
CHI,Chicago Bulls,4,0,1.0,0.5,3-0,1-0,2-0,2-0,118.0,96.5,21.5,W4,4-0
DAL,Dallas Mavericks,4,0,1.0,0.5,2-0,2-0,0-0,2-0,118.5,94.3,24.2,W4,4-0
SAC,Sacramento Kings,4,0,1.0,0.5,2-0,2-0,3-0,4-0,113.3,102.3,11.0,W4,4-0
MIA,Miami Heat,5,1,0.833,0.5,3-0,2-1,2-1,3-1,110.7,106.7,4.0,W1,5-1
MIN,Minnesota Timberwolves,3,1,0.75,1.5,1-0,2-1,1-0,3-0,115.0,108.3,6.7,L1,3-1
BKN,Brooklyn Nets,3,1,0.75,1.5,2-0,1-1,0-1,1-1,113.3,107.0,6.3,W1,3-1
PHX,Phoenix Suns,3,1,0.75,1.5,2-0,1-1,2-1,3-1,116.3,97.5,18.8,W3,3-1
TOR,Toronto Raptors,3,2,0.6,2,2-0,1-2,1-2,2-2,113.4,109.0,4.4,W2,3-2
SA,San Antonio Spurs,3,2,0.6,2,2-1,1-1,1-0,2-0,109.6,101.4,8.2,W2,3-2
MEM,Memphis Grizzlies,3,3,0.5,2.5,2-1,1-2,0-0,0-0,106.8,97.5,9.3,L2,3-3
DET,Detroit Pistons,2,2,0.5,2.5,2-0,0-2,0-0,1-1,104.8,112.0,-7.2,W1,2-2
ATL,Atlanta Hawks,2,2,0.5,2.5,1-1,1-1,1-1,1-2,103.3,100.8,2.5,W2,2-2
PHI,Philadelphia 76ers,2,2,0.5,2.5,2-0,0-2,2-1,2-2,113.8,113.0,0.8,L1,2-2
UTA,HUtah Jazz,2,2,0.5,2.5,2-0,0-2,0-0,1-2,109.3,109.5,-0.2,W2,2-2
BOS,Boston Celtics,2,2,0.5,2.5,2-0,0-2,1-0,2-2,103.3,108.0,-4.7,L2,2-2
IND,Indiana Pacers,2,2,0.5,2.5,1-1,1-1,1-1,1-2,104.0,110.5,-6.5,L1,2-2
CLE,Cleveland Cavaliers,2,3,0.4,3,0-2,2-1,1-3,2-3,101.0,106.4,-5.4,W1,2-3
OKC,Oklahoma City Thunder,1,3,0.25,3.5,1-2,0-1,1-1,1-1,105.5,113.8,-8.3,L1,1-3
LAC,LA Clippers,1,3,0.25,3.5,1-2,0-1,0-1,1-3,103.8,116.3,-12.5,L3,1-3
HOU,Houston Rockets,1,3,0.25,3.5,1-1,0-2,0-1,0-1,105.3,116.3,-11.0,L3,1-3
NO,New Orleans Pelicans,1,3,0.25,3.5,1-0,0-3,0-0,0-2,99.8,112.8,-13.0,L2,1-3
ORL,Orlando Magic,1,3,0.25,3.5,1-1,0-2,0-0,1-1,96.5,101.3,-4.8,W1,1-3
CHA,Charlotte Hornets,1,3,0.25,3.5,0-2,1-1,0-1,0-1,93.3,114.0,-20.7,L3,1-3
DEN,Denver Nuggets,1,4,0.2,4,0-1,1-3,1-2,1-4,108.4,110.0,-1.6,W1,1-4
MIL,Milwaukee Bucks,1,4,0.2,4,1-1,0-3,0-0,0-1,109.0,110.8,-1.8,L2,1-4
POR,Portland Trail Blazers,0,4,0.0,4.5,0-2,0-2,0-0,0-4,92.8,116.5,-23.7,L4,0-4
WSH,Washington Wizards,0,4,0.0,4.5,0-2,0-2,0-0,0-3,109.8,117.5,-7.7,L4,0-4
LAL,Los Angeles Lakers,0,6,0.0,5.5,0-3,0-3,0-5,0-5,103.5,118.5,-15.0,L6,0-6
