Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
LALLos Angeles Lakers,4,0,1.0,-,2-0,2-0,4-0,4-0,111.0,101.8,9.2,W4,4-0
UTAHUtah Jazz,3,0,1.0,-,2-0,1-0,0-0,3-0,118.3,100.7,17.6,W3,3-0
BKNBrooklyn Nets,2,0,1.0,0.5,1-0,1-0,1-0,2-0,116.0,101.5,14.5,W2,2-0
PHIPhiladelphia 76ers,2,0,1.0,0.5,1-0,1-0,1-0,2-0,110.5,103.0,7.5,W2,2-0
NONew Orleans Pelicans,2,0,1.0,0.5,1-0,1-0,0-0,0-0,120.5,102.5,18.0,W2,2-0
CHIChicago Bulls,3,1,0.75,0.5,1-1,2-0,0-0,0-0,109.3,105.5,3.8,W3,3-1
NYNew York Knicks,3,1,0.75,0.5,2-0,1-1,0-0,3-1,100.0,89.8,10.2,W2,3-1
HOUHouston Rockets,3,1,0.75,0.5,2-0,1-1,2-0,2-0,114.0,103.0,11.0,W2,3-1
MEMMemphis Grizzlies,3,1,0.75,1,1-1,2-0,0-0,2-0,118.5,108.0,10.5,L1,3-1
GSGolden State Warriors,2,1,0.667,1,1-0,1-1,1-1,2-1,111.0,109.3,1.7,W1,2-1
DALDallas Mavericks,2,1,0.667,1,0-1,2-0,0-0,0-1,122.3,114.3,8.0,L1,2-1
DENDenver Nuggets,2,1,0.667,1,2-0,0-1,2-0,2-1,120.0,99.3,20.7,W2,2-1
TORToronto Raptors,2,1,0.667,1,0-1,2-0,0-0,2-1,109.3,108.7,0.6,L1,2-1
CLECleveland Cavaliers,2,2,0.5,1.5,2-0,0-2,2-0,2-2,99.8,107.3,-7.5,L2,2-2
SACSacramento Kings,2,2,0.5,1.5,1-1,1-1,1-1,2-2,111.5,114.8,-3.3,L1,2-2
ATLAtlanta Hawks,2,2,0.5,2,1-1,1-1,1-1,1-1,112.8,116.8,-4.0,W1,2-2
DETDetroit Pistons,2,2,0.5,2,1-1,1-1,0-0,2-2,94.0,91.5,2.5,L1,2-2
ORLOrlando Magic,2,2,0.5,2,1-1,1-1,2-2,2-2,114.5,117.0,-2.5,W1,2-2
MIAMiami Heat,1,1,0.5,1.5,0-1,1-0,0-0,1-0,104.5,109.5,-5.0,W1,1-1
OKCOklahoma City Thunder,1,2,0.33299999999999996,2,0-2,1-0,0-0,1-0,109.0,112.3,-3.3,L2,1-2
MINMinnesota Timberwolves,1,2,0.33299999999999996,2,0-2,1-0,0-0,1-2,112.7,119.0,-6.3,W1,1-2
WSHWashington Wizards,1,2,0.33299999999999996,2.5,1-1,0-1,0-0,1-2,99.7,104.0,-4.3,W1,1-2
PORPortland Trail Blazers,1,3,0.25,2.5,1-1,0-2,0-2,1-3,106.0,119.5,-13.5,L3,1-3
CHACharlotte Hornets,1,3,0.25,3,0-2,1-1,1-1,1-3,112.3,114.5,-2.2,L1,1-3
BOSBoston Celtics,0,2,0.0,2.5,0-1,0-1,0-2,0-2,94.0,110.5,-16.5,L2,0-2
INDIndiana Pacers,0,3,0.0,3,0-1,0-2,0-2,0-3,105.7,112.0,-6.3,L3,0-3
LACLA Clippers,0,3,0.0,3,0-1,0-2,0-2,0-3,97.3,114.3,-17.0,L3,0-3
MILMilwaukee Bucks,0,3,0.0,3,0-2,0-1,0-0,0-0,109.0,122.3,-13.3,L3,0-3
SASan Antonio Spurs,0,3,0.0,3,0-1,0-2,0-2,0-3,104.0,120.3,-16.3,L3,0-3
PHXPhoenix Suns,0,4,0.0,4,0-2,0-2,0-2,0-4,104.3,114.0,-9.7,L4,0-4
