,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,* --MILMilwaukee Bucks,60,22,0.732,-,33-8,27-14,14-2,40-12,118.1,109.3,8.8,L1,7-3
1,y --TORToronto Raptors,58,24,0.7070000000000001,2,32-9,26-15,12-4,36-16,114.4,108.4,6.0,W2,7-3
2,z --GSGolden State Warriors,57,25,0.695,3,30-11,27-14,13-3,35-17,117.7,111.2,6.5,L1,8-2
3,y --DENDenver Nuggets,54,28,0.659,6,34-7,20-21,12-4,34-18,110.7,106.7,4.0,W1,5-5
4,y --HOUHouston Rockets,53,29,0.6459999999999999,7,31-10,22-19,10-6,32-20,113.9,109.1,4.8,L1,8-2
5,x --PORPortland Trail Blazers,53,29,0.6459999999999999,7,32-9,21-20,6-10,29-23,114.7,110.5,4.2,W3,8-2
6,x --PHIPhiladelphia 76ers,51,31,0.622,9,31-10,20-21,8-8,31-21,115.2,112.5,2.7,W1,4-6
7,x --UTAHUtah Jazz,50,32,0.61,10,29-12,21-20,8-8,30-22,111.7,106.5,5.2,L1,8-2
8,x --BOSBoston Celtics,49,33,0.598,11,28-13,21-20,10-6,35-17,112.4,108.0,4.4,W1,6-4
9,x --OKCOklahoma City Thunder,49,33,0.598,11,27-14,22-19,9-7,28-24,114.5,111.1,3.4,W5,7-3
10,x --INDIndiana Pacers,48,34,0.585,12,29-12,19-22,11-5,33-19,108.0,104.7,3.3,W1,4-6
11,x --SASan Antonio Spurs,48,34,0.585,12,32-9,16-25,10-6,30-22,111.7,110.0,1.7,W3,6-4
12,x --LACLA Clippers,48,34,0.585,12,26-15,22-19,11-5,28-24,115.1,114.3,0.8,W1,6-4
13,y --ORLOrlando Magic,42,40,0.512,18,25-16,17-24,10-6,30-22,107.3,106.6,0.7,W4,8-2
14,x --BKNBrooklyn Nets,42,40,0.512,18,23-18,19-22,8-8,29-23,112.2,112.3,-0.1,W3,6-4
15,x --DETDetroit Pistons,41,41,0.5,19,26-15,15-26,8-8,27-25,107.0,107.3,-0.3,W2,4-6
16,e --SACSacramento Kings,39,43,0.47600000000000003,21,24-17,15-26,4-12,21-31,114.2,115.3,-1.1,L3,3-7
17,e --CHACharlotte Hornets,39,43,0.47600000000000003,21,25-16,14-27,10-6,29-23,110.7,111.8,-1.1,L1,6-4
18,e --MIAMiami Heat,39,43,0.47600000000000003,21,19-22,20-21,7-9,23-29,105.7,105.9,-0.2,L1,4-6
19,e --LALLos Angeles Lakers,37,45,0.451,23,22-19,15-26,9-7,25-27,111.8,113.5,-1.7,L1,6-4
20,e --MINMinnesota Timberwolves,36,46,0.439,24,25-16,11-30,5-11,22-30,112.5,114.0,-1.5,L3,4-6
21,e --MEMMemphis Grizzlies,33,49,0.402,27,21-20,12-29,8-8,24-28,103.5,106.1,-2.6,W1,4-6
22,e --NONew Orleans Pelicans,33,49,0.402,27,19-22,14-27,8-8,23-29,115.4,116.8,-1.4,L1,3-7
23,e --DALDallas Mavericks,33,49,0.402,27,24-17,9-32,4-12,18-34,108.9,110.1,-1.2,L1,5-5
24,e --WSHWashington Wizards,32,50,0.39,28,22-19,10-31,7-9,19-33,114.0,116.9,-2.9,L4,2-8
25,e --ATLAtlanta Hawks,29,53,0.354,31,17-24,12-29,6-10,16-36,113.3,119.4,-6.1,L3,5-5
26,e --CHIChicago Bulls,22,60,0.268,38,9-32,13-28,3-13,16-36,104.9,113.4,-8.5,L3,2-8
27,e --CLECleveland Cavaliers,19,63,0.23199999999999998,41,13-28,6-35,4-12,15-37,104.5,114.1,-9.6,L10,0-10
28,e --PHXPhoenix Suns,19,63,0.23199999999999998,41,12-29,7-34,3-13,11-41,107.5,116.8,-9.3,L2,2-8
29,e --NYNew York Knicks,17,65,0.207,43,9-32,8-33,2-14,11-41,104.6,113.8,-9.2,L1,3-7
