,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
0,z --GSGolden State Warriors,67,15,0.8170000000000001,-,36-5,31-10,14-2,42-10,115.9,104.3,11.6,W1,9-1
1,y --SASan Antonio Spurs,61,21,0.7440000000000001,6,31-10,30-11,11-5,36-16,105.3,98.1,7.2,L3,5-5
2,x --HOUHouston Rockets,55,27,0.6709999999999999,12,30-11,25-16,10-6,36-16,115.3,109.6,5.7,W1,5-5
3,z --BOSBoston Celtics,53,29,0.6459999999999999,14,30-11,23-18,11-5,36-16,108.0,105.4,2.6,W3,7-3
4,y --CLECleveland Cavaliers,51,31,0.622,16,31-10,20-21,8-8,35-17,110.3,107.2,3.1,L4,4-6
5,y --UTAHUtah Jazz,51,31,0.622,16,29-12,22-19,8-8,31-21,100.7,96.8,3.9,W2,7-3
6,x --TORToronto Raptors,51,31,0.622,16,28-13,23-18,14-2,34-18,106.9,102.6,4.3,W4,8-2
7,x --LACLA Clippers,51,31,0.622,16,29-12,22-19,10-6,31-21,108.7,104.4,4.3,W7,8-2
8,y --WSHWashington Wizards,49,33,0.598,18,30-11,19-22,8-8,32-20,109.2,107.4,1.8,L1,5-5
9,x --OKCOklahoma City Thunder,47,35,0.573,20,28-13,19-22,10-6,29-23,106.6,105.8,0.8,L1,6-4
10,x --ATLAtlanta Hawks,43,39,0.524,24,23-18,20-21,6-10,30-22,103.2,104.0,-0.8,L1,6-4
11,x --MEMMemphis Grizzlies,43,39,0.524,24,24-17,19-22,8-8,28-24,100.5,100.0,0.5,L2,3-7
12,x --MILMilwaukee Bucks,42,40,0.512,25,23-18,19-22,10-6,27-25,103.6,103.8,-0.2,L1,5-5
13,x --INDIndiana Pacers,42,40,0.512,25,29-12,13-28,8-8,26-26,105.1,105.3,-0.2,W5,6-4
14,x --CHIChicago Bulls,41,41,0.5,26,25-16,16-25,9-7,28-24,102.9,102.4,0.5,W2,7-3
15,x --PORPortland Trail Blazers,41,41,0.5,26,25-16,16-25,11-5,28-24,107.9,108.5,-0.6,L1,7-3
16,e --MIAMiami Heat,41,41,0.5,26,23-18,18-23,9-7,27-25,103.2,102.1,1.1,W3,6-4
17,e --DENDenver Nuggets,40,42,0.488,27,22-19,18-23,6-10,24-28,111.7,111.2,0.5,W2,5-5
18,e --DETDetroit Pistons,37,45,0.451,30,24-17,13-28,5-11,21-31,101.3,102.5,-1.2,L2,3-7
19,e --CHACharlotte Hornets,36,46,0.439,31,22-19,14-27,10-6,22-30,104.9,104.7,0.2,L5,4-6
20,e --NONew Orleans Pelicans,34,48,0.415,33,21-20,13-28,6-10,20-32,104.3,106.4,-2.1,W1,4-6
21,e --DALDallas Mavericks,33,49,0.402,34,21-20,12-29,5-11,19-33,97.9,100.8,-2.9,W1,2-8
22,e --SACSacramento Kings,32,50,0.39,35,17-24,15-26,7-9,21-31,102.8,106.7,-3.9,L1,5-5
23,e --NYNew York Knicks,31,51,0.37799999999999995,36,19-22,12-29,5-11,22-30,104.3,108.0,-3.7,W1,4-6
24,e --MINMinnesota Timberwolves,31,51,0.37799999999999995,36,20-21,11-30,5-11,18-34,105.6,106.7,-1.1,L6,3-7
25,e --ORLOrlando Magic,29,53,0.354,38,16-25,13-28,7-9,20-32,101.1,107.6,-6.5,W1,3-7
26,e --PHIPhiladelphia 76ers,28,54,0.341,39,17-24,11-30,7-9,19-33,102.4,108.1,-5.7,L8,1-9
27,e --LALLos Angeles Lakers,26,56,0.317,41,17-24,9-32,6-10,16-36,104.6,111.5,-6.9,L1,5-5
28,e --PHXPhoenix Suns,24,58,0.293,43,15-26,9-32,3-13,11-41,107.7,113.3,-5.6,L1,2-8
29,e --BKNBrooklyn Nets,20,62,0.244,47,13-28,7-34,3-13,11-41,105.8,112.5,-6.7,L2,5-5
