,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,San Antonio Spurs,14,10,4,0.7140000000000001,48.0,102.0,37.9,78.9,48.1,9.4,22.6,41.6,16.7,22.9,73.1,8.6,32.0,40.6,22.9,14.3,6.5,4.6,7.0,20.4,20.9,5.9,1610612759
1,2,Miami Heat,23,16,7,0.696,48.4,97.3,35.0,76.0,46.0,6.8,19.7,34.7,20.6,27.7,74.4,10.2,30.3,40.4,17.5,13.0,7.3,5.0,3.8,20.6,23.9,7.1,1610612748
2,3,Oklahoma City Thunder,20,13,7,0.65,48.0,101.3,37.2,80.0,46.5,6.8,19.2,35.5,20.1,24.5,82.0,9.3,30.5,39.8,18.0,11.6,8.7,6.9,4.1,22.4,20.9,4.0,1610612760
3,4,Boston Celtics,20,11,9,0.55,48.8,89.5,33.8,77.2,43.8,4.7,16.3,28.5,17.3,21.6,79.9,8.0,31.9,39.9,19.8,13.0,8.2,4.9,4.4,21.7,19.8,1.0,1610612738
4,5,Indiana Pacers,11,6,5,0.545,48.5,90.9,33.7,79.5,42.4,5.7,17.9,32.0,17.7,23.0,77.1,12.4,31.6,44.0,16.3,15.1,6.9,5.5,5.5,22.0,20.4,1.4,1610612754
5,6,Philadelphia 76ers,13,7,6,0.5379999999999999,48.0,85.7,32.1,78.1,41.1,4.0,13.2,30.4,17.5,24.4,71.9,10.8,31.0,41.8,18.2,11.5,7.6,5.3,6.0,18.7,21.0,-1.2,1610612755
6,7,Denver Nuggets,7,3,4,0.429,48.0,96.7,38.4,89.3,43.0,5.3,19.0,27.8,14.6,20.3,71.8,15.4,32.3,47.7,20.9,11.1,7.0,6.9,9.4,21.0,18.7,0.4,1610612743
7,7,Memphis Grizzlies,7,3,4,0.429,48.7,91.4,32.6,76.3,42.7,3.4,11.9,28.9,22.9,30.7,74.4,13.4,29.3,42.7,16.3,15.4,7.1,4.9,6.1,23.3,25.6,0.7,1610612763
8,9,Los Angeles Lakers,12,5,7,0.41700000000000004,48.0,94.0,35.2,83.2,42.3,5.3,17.3,30.4,18.4,23.7,77.8,14.2,30.7,44.8,18.8,12.5,5.8,7.8,7.4,19.7,21.7,-4.2,1610612747
9,10,Los Angeles Clippers,11,4,7,0.364,48.5,90.9,34.5,75.3,45.8,6.2,16.4,37.8,15.8,23.7,66.7,8.7,28.1,36.8,17.3,14.7,9.5,6.5,5.0,24.1,21.5,-4.6,1610612746
10,11,Atlanta Hawks,6,2,4,0.33299999999999996,48.8,82.2,31.8,79.3,40.1,5.8,18.8,31.0,12.7,16.2,78.4,10.0,32.5,42.5,17.5,15.3,5.5,3.3,6.2,19.8,18.8,-4.7,1610612737
11,11,Chicago Bulls,6,2,4,0.33299999999999996,48.0,84.3,34.0,80.7,42.1,4.3,12.7,34.2,12.0,18.5,64.9,11.5,35.3,46.8,22.5,14.3,5.2,6.7,6.3,20.5,18.8,-1.7,1610612741
12,13,New York Knicks,5,1,4,0.2,48.0,82.8,30.6,73.4,41.7,5.0,18.2,27.5,16.6,21.8,76.1,12.4,28.0,40.4,12.6,18.4,6.0,2.2,3.8,24.2,19.8,-14.0,1610612752
13,13,Orlando Magic,5,1,4,0.2,49.0,83.8,31.0,77.8,39.8,8.4,24.6,34.1,13.4,19.0,70.5,9.8,28.6,38.4,17.2,14.0,6.0,4.4,6.2,19.0,19.0,-10.8,1610612753
14,15,Dallas Mavericks,4,0,4,0.0,48.0,93.3,31.5,78.0,40.4,8.0,21.5,37.2,22.3,26.8,83.2,10.5,30.0,40.5,15.5,14.5,8.0,3.5,7.3,20.8,24.3,-6.5,1610612742
15,15,Utah Jazz,4,0,4,0.0,48.0,86.3,32.8,85.8,38.2,2.3,11.3,20.0,18.5,26.3,70.5,16.0,32.5,48.5,16.8,13.5,6.5,6.8,5.5,20.3,19.8,-16.0,1610612762
