Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Kelly Oubre Jr.,SG,3.9,9.8,40.3,1.6,4.6,34.1,2.4,2.9,82.0,2.4,5.2,45.6,1.206,0.48,81,11.0,27.5,11.8,0.7,3.8,4.5,1.2,1.0,0.4,1.1,2.9,1.1,11.99,WSH
Markieff Morris,PF,4.5,9.4,48.0,1.0,2.8,36.7,1.4,1.8,82.0,3.5,6.6,52.9,1.224,0.54,73,73.0,27.0,11.5,1.0,4.6,5.6,1.9,0.8,0.5,1.7,3.0,1.1,13.3,WSH
Mike Scott,PF,3.6,6.9,52.7,0.9,2.1,40.5,0.7,1.0,65.8,2.8,4.8,58.2,1.275,0.59,76,1.0,18.5,8.8,0.7,2.6,3.3,1.1,0.3,0.1,1.0,1.9,1.0,13.72,WSH
Marcin Gortat,C,3.5,6.8,51.8,0.0,0.0,0.0,1.3,2.0,67.5,3.5,6.8,51.8,1.232,0.52,82,82.0,25.3,8.4,2.2,5.4,7.6,1.8,0.5,0.7,1.2,2.1,1.5,14.7,WSH
Tomas Satoransky,SG,2.8,5.3,52.3,0.6,1.4,46.5,1.0,1.3,78.1,2.1,3.9,54.4,1.365,0.58,73,30.0,22.5,7.2,1.0,2.2,3.2,3.9,0.7,0.2,1.1,1.8,3.4,15.35,WSH
Jodie Meeks,G,2.0,5.1,39.9,0.9,2.7,34.3,1.3,1.5,86.3,1.1,2.4,46.4,1.239,0.49,77,0.0,14.5,6.3,0.2,1.4,1.6,0.9,0.4,0.1,0.5,0.7,1.9,12.44,WSH
Ramon Sessions,G,1.7,4.3,39.1,0.4,1.0,40.0,2.1,2.8,76.2,1.3,3.3,38.8,1.375,0.44,15,0.0,15.0,5.9,0.3,1.0,1.3,3.3,0.5,0.1,1.0,1.0,3.3,14.97,WSH
Ian Mahinmi,C,1.8,3.2,55.6,0.0,0.0,0.0,1.2,1.7,70.3,1.8,3.2,56.1,1.476,0.56,77,0.0,14.9,4.8,1.8,2.3,4.1,0.7,0.5,0.5,1.3,3.0,0.5,12.25,WSH
Jason Smith,F,1.4,3.5,39.1,0.1,1.0,12.5,0.6,0.6,90.5,1.2,2.5,49.4,0.983,0.41,33,2.0,8.6,3.4,0.5,1.1,1.6,0.4,0.1,0.4,0.5,1.3,0.9,8.88,WSH
Tim Frazier,PG,1.2,2.9,39.5,0.3,0.9,30.4,0.4,0.5,76.7,0.9,2.0,44.0,1.023,0.44,59,11.0,14.2,3.0,0.3,1.6,1.9,3.3,0.8,0.1,1.0,1.6,3.4,11.32,WSH
Chris McCullough,F,0.9,2.2,42.9,0.1,0.4,12.5,0.5,0.7,64.3,0.9,1.8,50.0,1.095,0.44,19,0.0,4.7,2.4,0.4,0.9,1.3,0.2,0.0,0.3,0.1,0.4,2.0,15.87,WSH
Devin Robinson,F,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.667,0.33,1,0.0,13.0,2.0,2.0,3.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,10.54,WSH
Nikola Jokic,C,6.7,13.5,49.9,1.5,3.7,39.6,3.5,4.2,85.0,5.2,9.7,53.8,1.371,0.55,75,73.0,32.5,18.5,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,2.2,24.52,DEN
Gary Harris,SG,6.6,13.6,48.5,2.3,5.9,39.6,2.0,2.4,82.7,4.2,7.7,55.3,1.2890000000000001,0.57,67,65.0,34.4,17.5,0.6,2.1,2.6,2.9,1.8,0.2,1.8,1.8,1.6,16.6,DEN
Jamal Murray,PG,5.9,13.1,45.1,2.0,5.4,37.8,2.8,3.1,90.5,3.9,7.7,50.2,1.273,0.53,81,80.0,31.7,16.7,1.0,2.7,3.7,3.4,1.0,0.3,2.1,2.1,1.6,16.17,DEN
Will Barton,SF,5.7,12.7,45.2,1.9,5.2,37.0,2.2,2.8,80.5,3.8,7.5,51.0,1.2329999999999999,0.53,81,40.0,33.1,15.7,0.9,4.2,5.0,4.1,1.0,0.6,1.8,2.1,2.2,16.21,DEN
Paul Millsap,PF,5.3,11.4,46.4,1.0,3.0,34.5,2.9,4.2,69.6,4.3,8.5,50.6,1.276,0.51,38,37.0,30.1,14.6,1.7,4.7,6.4,2.8,1.0,1.2,1.9,2.6,1.4,17.06,DEN
Wilson Chandler,F,3.8,8.5,44.5,1.2,3.3,35.8,1.2,1.5,77.2,2.6,5.2,50.1,1.17,0.52,74,71.0,31.6,10.0,1.4,4.0,5.4,2.1,0.6,0.5,1.2,2.1,1.7,10.99,DEN
Trey Lyles,PF,3.7,7.5,49.1,1.1,3.0,38.1,1.4,2.0,70.6,2.6,4.5,56.3,1.3159999999999998,0.57,73,2.0,19.1,9.9,0.8,4.0,4.8,1.2,0.4,0.5,0.8,1.5,1.5,17.95,DEN
Emmanuel Mudiay,G,3.1,7.7,40.1,0.9,2.4,37.3,1.5,1.9,80.8,2.2,5.2,41.4,1.115,0.46,42,0.0,17.9,8.5,0.4,1.9,2.2,2.9,0.5,0.1,1.7,1.1,1.7,12.37,DEN
Devin Harris,G,2.6,6.3,40.6,1.3,3.8,34.3,1.8,2.1,84.5,1.3,2.5,50.0,1.306,0.51,27,0.0,19.7,8.2,0.1,1.4,1.6,2.5,0.5,0.1,1.0,2.0,2.5,12.41,DEN
Mason Plumlee,C,3.0,5.0,60.1,0.0,0.0,0.0,1.1,2.4,45.8,3.0,5.0,60.2,1.4240000000000002,0.6,74,26.0,19.5,7.1,1.8,3.6,5.4,1.9,0.7,1.1,1.4,2.5,1.4,17.0,DEN
Kenneth Faried,F,2.4,4.6,51.4,0.0,0.0,0.0,1.1,1.6,70.6,2.4,4.6,51.7,1.27,0.51,32,7.0,14.4,5.9,2.1,2.7,4.8,0.6,0.4,0.4,0.7,1.6,0.8,17.48,DEN
Torrey Craig,SF,1.6,3.5,45.3,0.4,1.5,29.3,0.6,0.9,62.9,1.2,2.0,57.0,1.19,0.51,39,5.0,16.1,4.2,1.0,2.2,3.3,0.6,0.3,0.4,0.5,1.6,1.3,9.86,DEN
Monte Morris,PG,1.3,2.0,66.7,0.0,0.3,0.0,0.7,0.7,100.0,1.3,1.7,80.0,1.6669999999999998,0.67,3,0.0,8.3,3.3,0.0,0.7,0.7,2.3,1.0,0.0,0.3,0.3,7.0,27.14,DEN
Juancho Hernangomez,F,1.2,3.0,38.7,0.6,2.0,28.0,0.4,0.5,83.3,0.6,1.0,60.0,1.093,0.48,25,3.0,11.1,3.3,0.7,1.4,2.2,0.5,0.2,0.1,0.4,1.0,1.3,9.74,DEN
Malik Beasley,SG,1.2,2.9,41.0,0.5,1.3,34.1,0.4,0.5,66.7,0.7,1.5,46.9,1.101,0.49,62,0.0,9.5,3.2,0.2,0.9,1.1,0.5,0.2,0.1,0.4,0.6,1.3,9.03,DEN
Darrell Arthur,F,1.2,2.5,46.8,0.4,1.2,34.8,0.1,0.2,66.7,0.7,1.3,58.3,1.149,0.55,19,1.0,7.4,2.8,0.2,0.6,0.8,0.5,0.4,0.2,0.8,1.2,0.6,8.46,DEN
Richard Jefferson,F,0.6,1.4,44.4,0.1,0.4,28.6,0.2,0.4,57.1,0.5,1.0,50.0,1.111,0.48,20,0.0,8.2,1.5,0.1,0.8,0.9,0.8,0.1,0.1,0.3,0.6,3.0,6.38,DEN
Tyler Lydon,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN
Jimmy Butler,SF,7.4,15.6,47.4,1.2,3.4,35.0,6.2,7.2,85.4,6.2,12.2,50.9,1.419,0.51,59,59.0,36.7,22.2,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,2.7,23.7,MIN
