,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,Boston Celtics,82,66,16,0.805,48.2,100.5,36.4,76.7,47.5,7.3,19.1,38.1,20.5,26.5,77.1,10.1,31.9,42.0,22.4,15.2,8.5,4.6,4.7,22.7,22.2,10.3,1610612738
1,2,Detroit Pistons,82,59,23,0.72,48.1,97.5,36.6,79.9,45.8,5.9,16.2,36.6,18.4,24.0,76.7,11.9,29.5,41.4,22.3,11.7,7.1,5.8,3.9,20.6,19.7,7.4,1610612765
2,3,Los Angeles Lakers,82,57,25,0.695,48.2,108.6,39.6,83.1,47.6,8.1,21.4,37.8,21.3,27.7,76.9,11.0,33.2,44.1,24.4,14.1,8.0,5.3,4.5,20.6,22.6,7.3,1610612747
3,4,New Orleans Hornets,82,56,26,0.6829999999999999,48.3,100.9,38.6,82.9,46.6,7.7,19.8,38.9,16.0,20.8,76.9,11.4,30.4,41.8,21.8,11.9,7.8,3.9,4.0,18.7,19.2,5.3,1610612740
4,4,San Antonio Spurs,82,56,26,0.6829999999999999,48.1,95.4,35.8,78.3,45.7,7.2,19.6,36.9,16.5,21.6,76.1,9.4,31.9,41.3,21.0,12.6,6.4,4.1,4.4,18.7,19.8,4.8,1610612759
5,6,Houston Rockets,82,55,27,0.6709999999999999,48.1,96.7,36.6,81.7,44.8,7.1,20.8,34.2,16.4,22.5,72.6,12.2,32.4,44.6,21.4,13.7,7.3,5.1,4.6,19.6,19.7,4.7,1610612745
6,6,Phoenix Suns,82,55,27,0.6709999999999999,48.2,110.1,41.4,82.7,50.0,8.5,21.5,39.3,18.9,24.1,78.3,8.8,32.7,41.5,26.7,14.4,6.5,6.3,3.8,19.9,21.1,5.0,1610612756
7,8,Utah Jazz,82,54,28,0.659,48.1,106.2,40.0,80.4,49.7,5.0,13.4,37.2,21.3,28.0,75.9,11.5,29.4,40.9,26.4,14.6,8.7,4.3,5.1,24.0,23.1,6.9,1610612762
8,9,Orlando Magic,82,52,30,0.634,48.2,104.5,37.3,78.6,47.4,9.8,25.3,38.6,20.1,27.9,72.1,9.4,32.6,42.0,20.8,14.3,6.3,4.1,4.2,20.6,23.1,5.5,1610612753
9,10,Dallas Mavericks,82,51,31,0.622,48.1,100.4,36.9,79.5,46.4,6.0,17.1,35.2,20.6,25.3,81.4,10.8,32.2,43.0,21.0,12.6,6.0,4.9,4.4,21.8,21.2,4.5,1610612742
