,Name,PTS,FGM,FGA,PM3,PA3,AST,Team,Division,Conference,eFG,PM2
0,Onyeka Okongwu,9,3,6,0,0,1,ATL,southeast,east,50.0,3
1,Kevin Huerter,26,9,12,5,6,2,ATL,southeast,east,95.83333333333333,4
2,Lou Williams,7,3,5,1,1,6,ATL,southeast,east,70.0,2
3,Danilo Gallinari,7,1,5,1,4,2,ATL,southeast,east,30.0,0
4,Bogdan Bogdanovic,18,7,16,4,11,4,ATL,southeast,east,56.25,3
5,De'Andre Hunter,17,7,15,1,3,1,ATL,southeast,east,50.0,6
6,John Collins,6,3,11,0,4,4,ATL,southeast,east,27.272727272727273,3
7,Delon Wright,4,1,7,0,3,7,ATL,southeast,east,14.285714285714286,1
8,Clint Capela,6,3,4,0,0,1,ATL,southeast,east,75.0,3
9,Onyeka Okongwu,16,8,9,0,0,0,ATL,southeast,east,88.88888888888889,8
10,Lou Williams,9,2,5,1,3,4,ATL,southeast,east,50.0,1
11,Danilo Gallinari,4,1,5,1,4,1,ATL,southeast,east,30.0,0
12,Delon Wright,5,2,3,1,1,1,ATL,southeast,east,83.33333333333333,1
13,Bogdan Bogdanovic,10,3,9,2,8,3,ATL,southeast,east,44.44444444444444,1
14,Clint Capela,15,6,8,0,0,3,ATL,southeast,east,75.0,6
15,John Collins,20,10,13,0,1,2,ATL,southeast,east,76.92307692307692,10
16,Kevin Huerter,5,2,5,1,4,3,ATL,southeast,east,50.0,1
17,Trae Young,36,12,22,4,10,12,ATL,southeast,east,63.63636363636363,8
18,De'Andre Hunter,9,3,5,0,0,2,ATL,southeast,east,60.0,3
19,Delon Wright,0,0,2,0,1,2,ATL,southeast,east,0.0,0
20,Kevin Huerter,5,2,5,1,3,3,ATL,southeast,east,50.0,1
21,Onyeka Okongwu,2,1,2,0,0,0,ATL,southeast,east,50.0,1
22,Trae Young,21,8,25,2,9,5,ATL,southeast,east,36.0,6
23,Bogdan Bogdanovic,19,7,14,3,7,3,ATL,southeast,east,60.714285714285715,4
24,Danilo Gallinari,14,5,5,1,1,0,ATL,southeast,east,110.0,4
25,John Collins,21,8,13,0,2,0,ATL,southeast,east,61.53846153846154,8
26,Jalen Johnson,0,0,0,0,0,0,ATL,southeast,east,,0
27,Skylar Mays,0,0,0,0,0,1,ATL,southeast,east,,0
28,Lou Williams,8,3,6,2,3,3,ATL,southeast,east,66.66666666666667,1
29,Gorgui Dieng,0,0,1,0,1,0,ATL,southeast,east,0.0,0
30,Clint Capela,6,3,5,0,0,0,ATL,southeast,east,60.0,3
31,De'Andre Hunter,9,3,10,2,3,2,ATL,southeast,east,40.0,1
32,Timothe Luwawu-Cabarrot,3,1,1,1,1,0,ATL,southeast,east,150.0,0
33,Kevin Knox II,0,0,0,0,0,0,ATL,southeast,east,,0
34,Skylar Mays,1,0,0,0,0,1,ATL,southeast,east,,0
35,Jalen Johnson,3,1,2,1,1,0,ATL,southeast,east,75.0,0
36,John Collins,9,4,8,0,4,0,ATL,southeast,east,50.0,4
37,Lou Williams,15,5,7,3,3,5,ATL,southeast,east,92.85714285714286,2
38,Danilo Gallinari,7,3,9,1,5,0,ATL,southeast,east,38.888888888888886,2
39,Bogdan Bogdanovic,18,6,11,3,8,7,ATL,southeast,east,68.18181818181819,3
40,Delon Wright,6,3,5,0,1,1,ATL,southeast,east,60.0,3
41,Onyeka Okongwu,18,6,9,0,0,2,ATL,southeast,east,66.66666666666667,6
42,Clint Capela,8,4,4,0,0,1,ATL,southeast,east,100.0,4
43,Trae Young,17,7,18,3,8,10,ATL,southeast,east,47.22222222222222,4
44,Gorgui Dieng,2,1,2,0,1,0,ATL,southeast,east,50.0,1
45,De'Andre Hunter,9,4,5,1,1,0,ATL,southeast,east,90.0,3
46,Kevin Knox II,0,0,2,0,2,1,ATL,southeast,east,0.0,0
47,Kevin Huerter,8,4,8,0,2,1,ATL,southeast,east,50.0,4
48,Timothe Luwawu-Cabarrot,0,0,0,0,0,0,ATL,southeast,east,,0
49,Skylar Mays,0,0,1,0,0,0,ATL,southeast,east,0.0,0
50,Trae Young,30,9,20,8,15,4,ATL,southeast,east,65.0,1
51,De'Andre Hunter,20,6,11,1,4,1,ATL,southeast,east,59.09090909090909,5
52,Kevin Knox II,4,2,6,0,4,1,ATL,southeast,east,33.333333333333336,2
53,Kevin Huerter,11,4,8,2,4,2,ATL,southeast,east,62.5,2
54,Timothe Luwawu-Cabarrot,3,1,1,1,1,0,ATL,southeast,east,150.0,0
55,John Collins,8,3,5,0,1,5,ATL,southeast,east,60.0,3
56,Onyeka Okongwu,5,2,4,0,0,1,ATL,southeast,east,50.0,2
57,Danilo Gallinari,10,4,12,2,6,3,ATL,southeast,east,41.666666666666664,2
58,Lou Williams,9,4,7,0,0,4,ATL,southeast,east,57.142857142857146,4
59,Clint Capela,7,3,7,0,0,0,ATL,southeast,east,42.857142857142854,3
60,Delon Wright,6,2,6,1,4,4,ATL,southeast,east,41.666666666666664,1
61,Lou Williams,9,4,9,1,3,2,ATL,southeast,east,50.0,3
62,Clint Capela,6,3,3,0,0,2,ATL,southeast,east,100.0,3
63,Delon Wright,9,3,4,1,1,5,ATL,southeast,east,87.5,2
64,Kevin Huerter,21,8,13,5,9,4,ATL,southeast,east,80.76923076923077,3
65,Kevin Knox II,3,1,2,1,2,0,ATL,southeast,east,75.0,0
66,Trae Young,28,6,15,4,11,7,ATL,southeast,east,53.333333333333336,2
67,De'Andre Hunter,13,5,11,1,5,3,ATL,southeast,east,50.0,4
68,Onyeka Okongwu,6,2,3,0,0,1,ATL,southeast,east,66.66666666666667,2
69,John Collins,15,6,8,1,2,2,ATL,southeast,east,81.25,5
70,Onyeka Okongwu,17,5,8,0,0,1,ATL,southeast,east,62.5,5
71,Lou Williams,7,1,5,0,4,4,ATL,southeast,east,20.0,1
72,Kevin Huerter,12,5,9,2,5,6,ATL,southeast,east,66.66666666666667,3
73,Kevin Knox II,2,1,2,0,1,0,ATL,southeast,east,50.0,1
74,John Collins,17,7,16,0,2,3,ATL,southeast,east,43.75,7
75,Gorgui Dieng,0,0,0,0,0,1,ATL,southeast,east,,0
76,Danilo Gallinari,15,5,10,3,7,1,ATL,southeast,east,65.0,2
77,Delon Wright,5,2,3,1,2,3,ATL,southeast,east,83.33333333333333,1
78,Trae Young,37,10,17,6,10,14,ATL,southeast,east,76.47058823529412,4
79,De'Andre Hunter,22,9,16,3,7,1,ATL,southeast,east,65.625,6
80,Kevin Huerter,13,5,15,3,7,3,ATL,southeast,east,43.333333333333336,2
81,John Collins,16,5,15,3,9,2,ATL,southeast,east,43.333333333333336,2
82,Delon Wright,6,2,2,2,2,0,ATL,southeast,east,150.0,0
83,De'Andre Hunter,20,6,17,2,6,2,ATL,southeast,east,41.1764705882353,4
84,Trae Young,30,7,17,2,6,11,ATL,southeast,east,47.05882352941177,5
85,Timothe Luwawu-Cabarrot,0,0,1,0,1,0,ATL,southeast,east,0.0,0
86,Onyeka Okongwu,12,6,9,0,0,3,ATL,southeast,east,66.66666666666667,6
87,Lou Williams,8,3,5,2,3,1,ATL,southeast,east,80.0,1
88,Danilo Gallinari,16,4,5,1,2,3,ATL,southeast,east,90.0,3
89,De'Andre Hunter,8,3,9,1,6,2,ATL,southeast,east,38.888888888888886,2
90,Kevin Huerter,6,2,8,0,4,6,ATL,southeast,east,25.0,2
91,Onyeka Okongwu,12,6,6,0,0,0,ATL,southeast,east,100.0,6
92,Timothe Luwawu-Cabarrot,5,2,3,1,2,0,ATL,southeast,east,83.33333333333333,1
93,Delon Wright,4,1,2,1,1,2,ATL,southeast,east,75.0,0
94,Danilo Gallinari,17,6,14,4,9,2,ATL,southeast,east,57.142857142857146,2
95,Lou Williams,7,2,3,1,2,4,ATL,southeast,east,83.33333333333333,1
96,Trae Young,29,11,23,4,12,5,ATL,southeast,east,56.52173913043478,7
97,John Collins,13,5,8,2,5,1,ATL,southeast,east,75.0,3
98,Gorgui Dieng,7,2,4,2,3,1,ATL,southeast,east,75.0,0
99,Bogdan Bogdanovic,7,1,7,1,6,5,ATL,southeast,east,21.428571428571427,0
100,Trae Young,24,7,13,3,7,9,ATL,southeast,east,65.38461538461539,4
101,John Collins,16,6,13,2,3,1,ATL,southeast,east,53.84615384615385,4
102,De'Andre Hunter,20,7,10,3,4,2,ATL,southeast,east,85.0,4
103,Gorgui Dieng,2,1,2,0,1,0,ATL,southeast,east,50.0,1
104,Danilo Gallinari,18,5,12,3,6,1,ATL,southeast,east,54.166666666666664,2
105,Delon Wright,8,2,3,1,2,4,ATL,southeast,east,83.33333333333333,1
106,Timothe Luwawu-Cabarrot,3,1,3,1,3,1,ATL,southeast,east,50.0,0
107,Kevin Huerter,15,6,14,2,6,2,ATL,southeast,east,50.0,4
108,Onyeka Okongwu,5,2,2,0,0,1,ATL,southeast,east,100.0,2
109,Onyeka Okongwu,6,3,3,0,0,1,ATL,southeast,east,100.0,3
110,Kevin Huerter,7,2,9,0,5,4,ATL,southeast,east,22.22222222222222,2
111,Gorgui Dieng,3,1,2,1,2,0,ATL,southeast,east,75.0,0
112,Timothe Luwawu-Cabarrot,4,1,4,0,2,3,ATL,southeast,east,25.0,1
113,John Collins,16,6,9,3,4,2,ATL,southeast,east,83.33333333333333,3
114,Trae Young,15,4,15,1,6,5,ATL,southeast,east,30.0,3
115,De'Andre Hunter,15,4,11,3,4,0,ATL,southeast,east,50.0,1
116,Skylar Mays,0,0,2,0,2,1,ATL,southeast,east,0.0,0
117,Sharife Cooper,0,0,1,0,1,0,ATL,southeast,east,0.0,0
118,Danilo Gallinari,7,3,7,1,4,0,ATL,southeast,east,50.0,2
119,Bogdan Bogdanovic,15,6,14,3,11,2,ATL,southeast,east,53.57142857142857,3
120,Delon Wright,3,1,5,1,4,2,ATL,southeast,east,30.0,0
121,Onyeka Okongwu,9,3,4,0,0,2,ATL,southeast,east,75.0,3
122,Trae Young,19,8,21,1,6,7,ATL,southeast,east,40.476190476190474,7
123,John Collins,9,3,9,0,0,0,ATL,southeast,east,33.333333333333336,3
124,Bogdan Bogdanovic,19,8,16,3,8,3,ATL,southeast,east,59.375,5
125,Danilo Gallinari,8,2,5,0,1,1,ATL,southeast,east,40.0,2
126,Delon Wright,4,2,3,0,0,4,ATL,southeast,east,66.66666666666667,2
127,Timothe Luwawu-Cabarrot,14,5,8,2,5,0,ATL,southeast,east,75.0,3
128,Kevin Huerter,11,4,12,1,6,2,ATL,southeast,east,37.5,3
129,Cam Reddish,0,0,0,0,0,0,ATL,southeast,east,,0
130,Skylar Mays,0,0,0,0,0,0,ATL,southeast,east,,0
131,Jalen Johnson,0,0,0,0,0,0,ATL,southeast,east,,0
132,Timothe Luwawu-Cabarrot,0,0,5,0,5,3,ATL,southeast,east,0.0,0
133,Clint Capela,9,4,10,0,0,0,ATL,southeast,east,40.0,4
134,Kevin Huerter,16,6,10,4,6,2,ATL,southeast,east,80.0,2
135,Bogdan Bogdanovic,15,5,12,4,9,2,ATL,southeast,east,58.333333333333336,1
136,John Collins,21,8,17,0,0,0,ATL,southeast,east,47.05882352941177,8
137,Trae Young,25,8,21,1,7,14,ATL,southeast,east,40.476190476190474,7
138,Cam Reddish,0,0,4,0,1,1,ATL,southeast,east,0.0,0
139,Onyeka Okongwu,12,5,5,0,0,0,ATL,southeast,east,100.0,5
140,Skylar Mays,2,1,1,0,0,0,ATL,southeast,east,100.0,1
141,Sharife Cooper,3,1,1,1,1,0,ATL,southeast,east,150.0,0
142,Danilo Gallinari,13,4,6,3,5,2,ATL,southeast,east,91.66666666666667,1
143,Delon Wright,2,1,4,0,2,5,ATL,southeast,east,25.0,1
144,Cam Reddish,18,7,19,2,7,3,ATL,southeast,east,42.10526315789474,5
145,Kevin Huerter,25,10,18,1,5,5,ATL,southeast,east,58.333333333333336,9
146,Delon Wright,15,5,9,0,2,4,ATL,southeast,east,55.55555555555556,5
147,Clint Capela,11,5,9,0,0,2,ATL,southeast,east,55.55555555555556,5
148,Lou Williams,3,1,7,1,4,2,ATL,southeast,east,21.428571428571427,0
149,Onyeka Okongwu,6,3,6,0,0,2,ATL,southeast,east,50.0,3
150,Timothe Luwawu-Cabarrot,14,4,9,3,7,2,ATL,southeast,east,61.111111111111114,1
151,Danilo Gallinari,16,4,9,1,5,0,ATL,southeast,east,50.0,3
152,Trae Young,56,17,26,7,12,14,ATL,southeast,east,78.84615384615384,10
153,Kevin Huerter,18,8,16,2,8,2,ATL,southeast,east,56.25,6
154,Clint Capela,22,10,10,0,0,1,ATL,southeast,east,100.0,10
155,Delon Wright,8,2,5,2,5,3,ATL,southeast,east,60.0,0
156,Danilo Gallinari,7,3,14,1,7,4,ATL,southeast,east,25.0,2
157,Lou Williams,0,0,3,0,2,3,ATL,southeast,east,0.0,0
158,Skylar Mays,4,2,6,0,3,2,ATL,southeast,east,33.333333333333336,2
159,Onyeka Okongwu,8,3,3,0,0,0,ATL,southeast,east,100.0,3
160,Timothe Luwawu-Cabarrot,8,3,5,2,4,2,ATL,southeast,east,80.0,1
161,Clint Capela,18,9,17,0,0,2,ATL,southeast,east,52.94117647058823,9
162,Lance Stephenson,2,1,1,0,0,2,ATL,southeast,east,100.0,1
163,Lou Williams,14,3,12,1,6,5,ATL,southeast,east,29.166666666666668,2
164,Wes Iwundu,12,5,10,2,4,0,ATL,southeast,east,60.0,3
165,Cam Reddish,2,0,3,0,2,0,ATL,southeast,east,0.0,0
166,Trae Young,35,11,28,5,12,11,ATL,southeast,east,48.214285714285715,6
167,Cameron Oliver,10,4,9,1,3,2,ATL,southeast,east,50.0,3
168,Chaundee Brown Jr.,9,3,6,3,6,1,ATL,southeast,east,75.0,0
169,Skylar Mays,19,7,11,4,5,0,ATL,southeast,east,81.81818181818181,3
170,Malcolm Hill,13,5,8,3,5,1,ATL,southeast,east,81.25,2
171,Skylar Mays,7,3,8,1,4,3,ATL,southeast,east,43.75,2
172,Lance Stephenson,2,1,2,0,0,1,ATL,southeast,east,50.0,1
173,Wes Iwundu,8,2,3,1,1,0,ATL,southeast,east,83.33333333333333,1
174,Cameron Oliver,13,6,6,0,0,1,ATL,southeast,east,100.0,6
175,Cam Reddish,14,5,14,1,3,2,ATL,southeast,east,39.285714285714285,4
176,Chaundee Brown Jr.,16,5,12,3,6,3,ATL,southeast,east,54.166666666666664,2
177,Trae Young,26,10,23,2,7,11,ATL,southeast,east,47.82608695652174,8
178,Clint Capela,18,7,14,0,0,3,ATL,southeast,east,50.0,7
179,Cat Barber,0,0,2,0,0,1,ATL,southeast,east,0.0,0
180,Lance Stephenson,2,1,1,0,0,1,ATL,southeast,east,100.0,1
181,Clint Capela,8,4,8,0,0,3,ATL,southeast,east,50.0,4
182,Cat Barber,0,0,2,0,0,1,ATL,southeast,east,0.0,0
183,Trae Young,29,8,23,1,6,9,ATL,southeast,east,36.95652173913044,7
184,Chaundee Brown Jr.,4,1,7,0,3,0,ATL,southeast,east,14.285714285714286,1
185,Gorgui Dieng,12,5,7,2,3,3,ATL,southeast,east,85.71428571428571,3
186,Cam Reddish,33,11,23,8,13,0,ATL,southeast,east,65.21739130434783,3
187,Bogdan Bogdanovic,20,7,15,4,9,3,ATL,southeast,east,60.0,3
188,Skylar Mays,6,3,3,0,0,2,ATL,southeast,east,100.0,3
189,Malcolm Hill,4,0,0,0,0,0,ATL,southeast,east,,0
190,Jalen Johnson,4,2,3,0,1,0,ATL,southeast,east,66.66666666666667,2
191,Malcolm Hill,0,0,0,0,0,0,ATL,southeast,east,,0
192,Cat Barber,0,0,0,0,0,1,ATL,southeast,east,,0
193,Clint Capela,6,2,7,0,0,1,ATL,southeast,east,28.571428571428573,2
194,Cam Reddish,10,4,15,1,8,3,ATL,southeast,east,30.0,3
195,John Collins,20,7,18,3,5,3,ATL,southeast,east,47.22222222222222,4
196,Skylar Mays,11,5,11,1,6,2,ATL,southeast,east,50.0,4
197,Lance Stephenson,2,1,2,0,1,2,ATL,southeast,east,50.0,1
198,Gorgui Dieng,6,2,6,2,4,5,ATL,southeast,east,50.0,0
199,Delon Wright,20,8,13,4,5,2,ATL,southeast,east,76.92307692307692,4
200,Bogdan Bogdanovic,8,2,12,2,8,4,ATL,southeast,east,25.0,0
201,Jalen Johnson,0,0,1,0,0,0,ATL,southeast,east,0.0,0
202,Onyeka Okongwu,13,6,10,0,0,3,ATL,southeast,east,60.0,6
203,Cam Reddish,18,7,13,0,3,3,ATL,southeast,east,53.84615384615385,7
204,Delon Wright,5,2,5,1,2,6,ATL,southeast,east,50.0,1
205,Bogdan Bogdanovic,15,4,17,1,9,2,ATL,southeast,east,26.470588235294116,3
206,Lance Stephenson,2,1,3,0,1,0,ATL,southeast,east,33.333333333333336,1
207,Gorgui Dieng,12,3,6,2,5,2,ATL,southeast,east,66.66666666666667,1
208,John Collins,17,7,11,2,2,1,ATL,southeast,east,72.72727272727273,5
209,Wes Iwundu,2,1,5,0,0,0,ATL,southeast,east,20.0,1
210,Skylar Mays,14,6,11,1,2,3,ATL,southeast,east,59.09090909090909,5
211,Delon Wright,9,4,8,1,2,4,ATL,southeast,east,56.25,3
212,John Collins,28,9,17,3,5,2,ATL,southeast,east,61.76470588235294,6
213,Cam Reddish,34,11,23,6,10,4,ATL,southeast,east,60.869565217391305,5
214,Jalen Johnson,4,1,3,0,1,1,ATL,southeast,east,33.333333333333336,1
215,Sharife Cooper,0,0,4,0,2,1,ATL,southeast,east,0.0,0
216,Gorgui Dieng,8,3,8,1,4,1,ATL,southeast,east,43.75,2
217,Lance Stephenson,1,0,4,0,1,5,ATL,southeast,east,0.0,0
218,Skylar Mays,0,0,1,0,1,0,ATL,southeast,east,0.0,0
219,Onyeka Okongwu,8,2,3,0,0,1,ATL,southeast,east,66.66666666666667,2
220,Bogdan Bogdanovic,6,2,9,1,5,2,ATL,southeast,east,27.77777777777778,1
221,Timothe Luwawu-Cabarrot,5,1,5,1,4,2,ATL,southeast,east,30.0,0
222,Onyeka Okongwu,10,4,4,0,0,0,ATL,southeast,east,100.0,4
223,Cam Reddish,7,2,5,1,2,0,ATL,southeast,east,50.0,1
224,Kevin Huerter,7,3,9,1,4,4,ATL,southeast,east,38.888888888888886,2
225,Danilo Gallinari,8,1,7,1,3,1,ATL,southeast,east,21.428571428571427,0
226,Lou Williams,2,1,3,0,0,2,ATL,southeast,east,33.333333333333336,1
227,Sharife Cooper,0,0,2,0,0,0,ATL,southeast,east,0.0,0
228,Trae Young,34,12,27,1,6,10,ATL,southeast,east,46.2962962962963,11
229,John Collins,20,7,13,1,4,2,ATL,southeast,east,57.69230769230769,6
230,Delon Wright,5,2,2,1,1,0,ATL,southeast,east,125.0,1
231,Clint Capela,15,7,10,0,0,1,ATL,southeast,east,70.0,7
232,Gorgui Dieng,2,1,1,0,0,0,ATL,southeast,east,100.0,1
233,John Collins,21,8,14,2,4,2,ATL,southeast,east,64.28571428571429,6
234,Kevin Huerter,7,3,9,0,4,5,ATL,southeast,east,33.333333333333336,3
235,Sharife Cooper,2,1,2,0,0,0,ATL,southeast,east,50.0,1
236,Lou Williams,14,5,11,2,2,0,ATL,southeast,east,54.54545454545455,3
237,Trae Young,28,11,22,1,8,4,ATL,southeast,east,52.27272727272727,10
238,Danilo Gallinari,10,3,6,2,4,3,ATL,southeast,east,66.66666666666667,1
239,Clint Capela,7,3,7,0,0,4,ATL,southeast,east,42.857142857142854,3
240,Cam Reddish,13,5,9,3,6,1,ATL,southeast,east,72.22222222222223,2
241,Gorgui Dieng,0,0,0,0,0,0,ATL,southeast,east,,0
242,Delon Wright,2,0,1,0,1,5,ATL,southeast,east,0.0,0
243,Timothe Luwawu-Cabarrot,7,3,4,1,2,1,ATL,southeast,east,87.5,2
244,Gorgui Dieng,8,2,3,2,3,0,ATL,southeast,east,100.0,0
245,Delon Wright,2,1,2,0,0,2,ATL,southeast,east,50.0,1
246,Cam Reddish,12,3,8,2,6,0,ATL,southeast,east,50.0,1
247,John Collins,14,4,9,1,3,0,ATL,southeast,east,50.0,3
248,Clint Capela,12,5,8,0,0,1,ATL,southeast,east,62.5,5
249,Timothe Luwawu-Cabarrot,8,2,5,1,3,1,ATL,southeast,east,50.0,1
250,Kevin Huerter,5,2,10,1,7,5,ATL,southeast,east,25.0,1
251,Danilo Gallinari,12,4,9,3,5,0,ATL,southeast,east,61.111111111111114,1
252,Lou Williams,12,5,9,0,3,2,ATL,southeast,east,55.55555555555556,5
253,Trae Young,41,14,22,5,9,9,ATL,southeast,east,75.0,9
254,Clint Capela,14,7,11,0,0,1,ATL,southeast,east,63.63636363636363,7
255,Trae Young,31,10,27,2,8,10,ATL,southeast,east,40.74074074074074,8
256,Delon Wright,0,0,3,0,1,1,ATL,southeast,east,0.0,0
257,John Collins,20,6,12,1,5,3,ATL,southeast,east,54.166666666666664,5
258,Lou Williams,4,2,6,0,3,0,ATL,southeast,east,33.333333333333336,2
259,Cam Reddish,4,0,6,0,3,2,ATL,southeast,east,0.0,0
260,Timothe Luwawu-Cabarrot,0,0,8,0,3,1,ATL,southeast,east,0.0,0
261,Kevin Huerter,19,7,11,5,7,3,ATL,southeast,east,86.36363636363636,2
262,Danilo Gallinari,13,5,10,3,4,0,ATL,southeast,east,65.0,2
263,Kevin Huerter,10,4,13,2,6,4,ATL,southeast,east,38.46153846153846,2
264,John Collins,13,5,13,3,6,1,ATL,southeast,east,50.0,2
265,Clint Capela,9,3,7,0,0,4,ATL,southeast,east,42.857142857142854,3
266,Lou Williams,5,2,5,1,2,0,ATL,southeast,east,50.0,1
267,Danilo Gallinari,20,7,10,4,6,2,ATL,southeast,east,90.0,3
268,Delon Wright,3,1,2,1,2,6,ATL,southeast,east,75.0,0
269,Timothe Luwawu-Cabarrot,23,8,18,7,14,2,ATL,southeast,east,63.888888888888886,1
270,Gorgui Dieng,9,3,4,3,4,1,ATL,southeast,east,112.5,0
271,Trae Young,29,7,18,4,9,11,ATL,southeast,east,50.0,3
272,Delon Wright,3,1,1,1,1,0,ATL,southeast,east,150.0,0
273,Timothe Luwawu-Cabarrot,12,5,10,2,5,2,ATL,southeast,east,60.0,3
274,John Collins,31,12,22,2,4,4,ATL,southeast,east,59.09090909090909,10
275,Danilo Gallinari,17,7,12,1,4,3,ATL,southeast,east,62.5,6
276,Clint Capela,8,4,7,0,0,0,ATL,southeast,east,57.142857142857146,4
277,Trae Young,25,9,22,4,10,15,ATL,southeast,east,50.0,5
278,Lou Williams,3,1,5,0,2,1,ATL,southeast,east,20.0,1
279,Solomon Hill,0,0,0,0,0,1,ATL,southeast,east,,0
280,Kevin Huerter,28,9,14,7,11,3,ATL,southeast,east,89.28571428571429,2
281,Lou Williams,11,3,8,2,4,0,ATL,southeast,east,50.0,1
282,John Collins,18,6,10,2,5,0,ATL,southeast,east,70.0,4
283,Trae Young,25,8,22,2,5,10,ATL,southeast,east,40.90909090909091,6
284,Clint Capela,6,2,8,0,0,0,ATL,southeast,east,25.0,2
285,Kevin Huerter,12,4,9,2,6,2,ATL,southeast,east,55.55555555555556,2
286,Delon Wright,2,1,2,0,0,4,ATL,southeast,east,50.0,1
287,Danilo Gallinari,18,5,12,2,5,3,ATL,southeast,east,50.0,3
288,Gorgui Dieng,2,1,1,0,0,1,ATL,southeast,east,100.0,1
289,Timothe Luwawu-Cabarrot,0,0,2,0,2,0,ATL,southeast,east,0.0,0
290,Solomon Hill,2,1,2,0,1,0,ATL,southeast,east,50.0,1
291,Clint Capela,8,4,9,0,0,4,ATL,southeast,east,44.44444444444444,4
292,John Collins,14,5,8,3,3,2,ATL,southeast,east,81.25,2
293,Delon Wright,11,4,6,1,1,2,ATL,southeast,east,75.0,3
294,Solomon Hill,0,0,2,0,2,1,ATL,southeast,east,0.0,0
295,Danilo Gallinari,9,3,9,3,6,3,ATL,southeast,east,50.0,0
296,Lou Williams,12,4,8,1,2,0,ATL,southeast,east,56.25,3
297,Trae Young,33,13,27,3,10,10,ATL,southeast,east,53.7037037037037,10
298,Kevin Huerter,19,8,11,3,4,1,ATL,southeast,east,86.36363636363636,5
299,Timothe Luwawu-Cabarrot,8,3,6,2,5,1,ATL,southeast,east,66.66666666666667,1
300,Timothe Luwawu-Cabarrot,3,1,4,1,4,0,ATL,southeast,east,37.5,0
301,Bogdan Bogdanovic,2,1,4,0,2,1,ATL,southeast,east,25.0,1
302,Kevin Huerter,8,4,13,0,6,2,ATL,southeast,east,30.76923076923077,4
303,Trae Young,33,10,22,5,10,7,ATL,southeast,east,56.81818181818182,5
304,Cam Reddish,3,1,3,1,2,0,ATL,southeast,east,50.0,0
305,Lou Williams,5,1,6,0,2,4,ATL,southeast,east,16.666666666666668,1
306,Danilo Gallinari,5,2,11,1,6,0,ATL,southeast,east,22.727272727272727,1
307,Delon Wright,3,1,4,0,0,0,ATL,southeast,east,25.0,1
308,John Collins,12,4,10,1,5,3,ATL,southeast,east,45.0,3
309,Solomon Hill,0,0,2,0,0,0,ATL,southeast,east,0.0,0
310,Clint Capela,16,8,14,0,0,1,ATL,southeast,east,57.142857142857146,8
311,John Collins,21,8,11,2,2,2,ATL,southeast,east,81.81818181818181,6
312,Solomon Hill,0,0,2,0,2,1,ATL,southeast,east,0.0,0
313,Clint Capela,23,11,14,0,0,2,ATL,southeast,east,78.57142857142857,11
314,Bogdan Bogdanovic,8,3,4,1,2,4,ATL,southeast,east,87.5,2
315,Timothe Luwawu-Cabarrot,5,2,2,1,1,0,ATL,southeast,east,125.0,1
316,Kevin Huerter,7,3,7,1,3,4,ATL,southeast,east,50.0,2
317,Trae Young,31,12,16,3,4,10,ATL,southeast,east,84.375,9
318,Lou Williams,5,2,7,1,2,0,ATL,southeast,east,35.714285714285715,1
319,Gorgui Dieng,7,3,6,0,2,1,ATL,southeast,east,50.0,3
320,Delon Wright,2,1,4,0,1,3,ATL,southeast,east,25.0,1
321,Cam Reddish,14,4,10,2,5,2,ATL,southeast,east,50.0,2
322,Danilo Gallinari,9,3,6,2,3,4,ATL,southeast,east,66.66666666666667,1
323,Gorgui Dieng,2,1,2,0,0,0,ATL,southeast,east,50.0,1
324,Clint Capela,11,5,10,0,0,1,ATL,southeast,east,50.0,5
325,Bogdan Bogdanovic,18,7,12,4,6,3,ATL,southeast,east,75.0,3
326,Kevin Huerter,10,3,7,2,5,3,ATL,southeast,east,57.142857142857146,1
327,Trae Young,31,14,22,2,6,11,ATL,southeast,east,68.18181818181819,12
328,Danilo Gallinari,10,1,4,0,2,3,ATL,southeast,east,25.0,1
329,Delon Wright,2,1,5,0,1,1,ATL,southeast,east,20.0,1
330,John Collins,15,5,11,0,1,0,ATL,southeast,east,45.45454545454545,5
331,Cam Reddish,12,4,7,2,2,1,ATL,southeast,east,71.42857142857143,2
332,Solomon Hill,0,0,1,0,0,0,ATL,southeast,east,0.0,0
333,Lou Williams,12,4,7,2,3,1,ATL,southeast,east,71.42857142857143,2
334,Timothe Luwawu-Cabarrot,1,0,0,0,0,2,ATL,southeast,east,,0
335,Gorgui Dieng,0,0,0,0,0,0,ATL,southeast,east,,0
336,Timothe Luwawu-Cabarrot,0,0,2,0,1,0,ATL,southeast,east,0.0,0
337,Skylar Mays,0,0,0,0,0,0,ATL,southeast,east,,0
338,Sharife Cooper,0,0,0,0,0,0,ATL,southeast,east,,0
339,Jalen Johnson,0,0,0,0,0,0,ATL,southeast,east,,0
340,Lou Williams,8,3,6,1,2,3,ATL,southeast,east,58.333333333333336,2
341,Clint Capela,10,5,9,0,0,0,ATL,southeast,east,55.55555555555556,5
342,Delon Wright,8,2,3,1,2,2,ATL,southeast,east,83.33333333333333,1
343,Cam Reddish,9,4,11,1,4,1,ATL,southeast,east,40.90909090909091,3
344,Danilo Gallinari,11,4,5,1,2,3,ATL,southeast,east,90.0,3
345,John Collins,11,4,8,1,3,5,ATL,southeast,east,56.25,3
