,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,Dallas Mavericks,82,60,22,0.732,48.2,103.0,38.5,85.1,45.3,7.8,20.3,38.1,18.1,21.9,82.9,11.1,31.0,42.1,22.4,11.6,8.1,5.5,3.9,21.1,0.1,7.8,1610612742
1,1,San Antonio Spurs,82,60,22,0.732,48.4,95.8,35.5,76.8,46.2,5.5,15.5,35.4,19.4,26.8,72.5,11.5,31.2,42.6,20.0,15.8,7.7,6.5,5.1,20.4,0.0,5.4,1610612759
2,3,Sacramento Kings,82,59,23,0.72,48.4,101.7,39.5,85.2,46.4,6.0,15.7,38.1,16.7,22.3,74.6,11.0,33.5,44.5,24.8,14.5,9.0,5.6,4.3,20.3,0.0,6.5,1610612758
3,4,Minnesota Timberwolves,82,51,31,0.622,48.3,98.1,38.7,83.0,46.6,3.6,9.8,36.8,17.1,22.3,77.0,11.7,31.9,43.6,25.2,13.7,6.7,5.3,4.9,20.8,0.0,2.1,1610612750
4,5,Detroit Pistons,82,50,32,0.61,48.5,91.4,32.9,76.5,43.0,6.5,18.1,35.8,19.0,24.6,77.1,10.8,29.8,40.6,19.8,13.5,6.8,5.7,4.3,21.3,0.2,3.7,1610612765
5,5,Los Angeles Lakers,82,50,32,0.61,48.6,100.4,37.7,83.6,45.1,5.9,16.7,35.6,19.0,26.0,73.4,13.1,31.1,44.3,23.3,14.5,7.8,5.7,3.8,22.9,0.1,2.3,1610612747
6,5,Portland Trail Blazers,82,50,32,0.61,48.4,95.2,36.4,79.2,46.0,4.6,14.0,33.0,17.7,23.7,74.5,12.1,29.0,41.1,22.7,15.2,8.8,3.9,4.8,19.9,0.1,2.6,1610612757
7,8,New Jersey Nets,82,49,33,0.598,48.2,95.4,35.4,80.3,44.1,4.2,12.7,33.2,20.3,26.8,75.7,12.1,30.8,42.9,23.0,14.8,8.7,4.6,5.2,21.6,0.1,5.2,1610612751
8,9,Indiana Pacers,82,48,34,0.585,48.5,96.8,35.5,80.6,44.1,4.6,13.6,33.9,21.2,27.7,76.6,12.2,32.0,44.2,23.3,14.8,8.5,5.4,6.3,22.1,0.1,3.5,1610612754
9,9,Philadelphia 76ers,82,48,34,0.585,48.4,96.8,36.3,81.0,44.8,3.0,9.6,31.1,21.3,27.5,77.5,12.7,29.5,42.2,21.6,14.8,10.3,3.5,6.4,22.0,0.1,2.3,1610612755
10,11,New Orleans Hornets,82,47,35,0.573,48.5,93.9,35.5,81.6,43.5,4.9,13.1,37.6,17.9,23.3,76.8,13.4,30.2,43.6,22.0,14.8,8.0,4.8,5.2,21.6,0.1,2.1,1610612740
