,Unnamed: 0,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM_ID
0,1,New Jersey Nets,20,14,6,0.7,48.8,93.7,34.2,80.6,42.5,4.7,13.3,35.0,20.6,27.1,76.2,13.6,31.5,45.1,21.3,15.2,7.5,4.3,6.4,25.1,0.1,3.4,1610612751
1,2,San Antonio Spurs,24,16,8,0.667,48.2,94.8,33.8,76.8,44.1,5.3,15.2,35.1,21.8,30.6,71.2,12.1,33.4,45.5,20.7,15.2,7.8,6.9,5.7,21.4,0.0,5.5,1610612759
2,3,Sacramento Kings,12,7,5,0.583,48.8,107.9,39.3,85.5,45.9,6.8,18.4,36.7,22.7,29.2,77.7,12.8,31.5,44.3,22.6,13.4,7.5,4.8,5.6,23.0,0.1,2.3,1610612758
3,4,Dallas Mavericks,20,10,10,0.5,48.5,104.1,38.7,86.1,45.0,9.2,23.2,39.7,17.5,21.1,82.9,11.2,30.9,42.1,20.4,12.5,6.1,5.2,4.5,24.3,0.1,-0.6,1610612742
4,4,Los Angeles Lakers,12,6,6,0.5,48.4,100.3,37.3,83.3,44.8,7.1,20.0,35.4,18.5,26.1,70.9,12.3,30.9,43.3,20.9,13.8,7.0,5.3,3.8,24.0,0.1,0.3,1610612747
5,4,Philadelphia 76ers,12,6,6,0.5,48.8,92.1,33.7,75.9,44.3,3.8,10.7,35.2,21.0,26.2,80.3,12.1,29.8,41.8,18.9,14.8,7.2,2.5,5.4,23.9,0.1,0.8,1610612755
6,7,Detroit Pistons,17,8,9,0.47100000000000003,48.6,89.9,30.2,73.8,41.0,6.7,19.1,35.2,22.8,30.7,74.1,10.8,28.3,39.1,17.8,13.4,8.0,5.9,3.8,23.5,0.0,0.9,1610612765
7,8,Orlando Magic,7,3,4,0.429,48.0,87.6,31.0,73.1,42.4,5.1,16.3,31.6,20.4,26.1,78.1,9.9,28.3,38.1,16.0,15.3,5.3,4.0,5.4,29.9,0.0,-7.3,1610612753
8,8,Portland Trail Blazers,7,3,4,0.429,48.0,101.3,36.4,79.0,46.1,6.3,17.0,37.0,22.1,29.4,75.2,15.0,29.7,44.7,23.3,13.7,6.3,3.0,4.3,22.6,0.1,1.0,1610612757
9,10,Boston Celtics,10,4,6,0.4,49.5,94.6,33.4,79.1,42.2,8.6,24.3,35.4,19.2,24.0,80.0,8.8,31.9,40.7,20.7,14.8,8.6,4.3,4.3,25.9,0.1,-0.6,1610612738
10,11,Indiana Pacers,6,2,4,0.33299999999999996,48.8,91.2,30.2,77.7,38.8,5.2,17.7,29.2,25.7,32.5,79.0,13.2,33.7,46.8,19.8,14.2,7.0,5.8,4.0,23.5,0.0,-5.7,1610612754
11,11,Milwaukee Bucks,6,2,4,0.33299999999999996,48.8,97.8,36.5,79.5,45.9,6.3,17.0,37.3,18.5,24.8,74.5,8.3,27.0,35.3,20.2,13.3,7.2,3.8,3.2,27.3,0.0,-4.3,1610612749
12,11,Minnesota Timberwolves,6,2,4,0.33299999999999996,48.8,100.5,37.5,81.0,46.3,4.7,14.0,33.3,20.8,25.8,80.6,8.8,33.3,42.2,22.0,15.8,6.8,3.5,5.7,24.2,0.0,-6.3,1610612750
13,11,New Orleans Hornets,6,2,4,0.33299999999999996,48.0,92.8,33.8,77.2,43.8,6.3,17.2,36.9,18.8,25.3,74.3,12.3,26.8,39.2,20.0,14.7,7.3,5.0,2.3,25.5,0.3,-1.7,1610612740
14,11,Phoenix Suns,6,2,4,0.33299999999999996,48.8,85.2,32.3,83.7,38.6,4.7,15.7,29.8,15.8,22.2,71.4,13.3,29.7,43.0,16.2,16.2,9.5,5.8,6.8,29.2,0.0,-5.3,1610612756
15,16,Utah Jazz,5,1,4,0.2,48.0,93.0,33.8,77.8,43.4,1.8,6.8,26.5,23.6,30.0,78.7,14.0,25.2,39.2,21.0,16.4,7.2,5.6,5.8,24.8,0.2,-10.6,1610612762
