,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Tracy McGrady,ORL,25,67,19,48,40.1,28.0,9.7,23.4,41.7,2.6,7.7,33.9,5.9,7.5,79.6,1.4,4.6,6.0,5.5,2.7,1.4,0.6,1.9,46.9,12,0,-4.7
1,2,Allen Iverson,PHI,29,48,19,29,42.6,26.4,9.1,23.4,38.7,1.2,4.1,28.6,7.1,9.5,74.5,0.7,3.0,3.7,6.8,4.4,2.4,0.1,1.8,44.1,8,0,-1.9
2,3,Peja Stojakovic,SAC,27,81,55,26,40.4,24.2,8.2,17.1,48.0,3.0,6.8,43.3,4.9,5.2,92.7,1.1,5.1,6.3,2.1,1.9,1.3,0.2,2.0,37.6,9,0,5.3
3,4,Kevin Garnett,MIN,28,82,58,24,39.5,24.2,9.8,19.6,49.9,0.1,0.5,25.6,4.5,5.7,79.1,3.0,10.9,13.9,5.0,2.6,1.5,2.2,2.5,56.7,71,2,7.5
4,5,Kobe Bryant,LAL,25,65,48,17,37.7,24.0,7.9,18.1,43.8,1.1,3.3,32.7,7.0,8.2,85.2,1.6,3.9,5.5,5.1,2.6,1.7,0.4,2.7,42.0,10,1,4.8
5,6,Ray Allen,SEA,28,56,25,31,38.5,23.0,8.0,18.2,44.0,2.6,6.8,39.2,4.4,4.8,90.4,1.2,3.9,5.1,4.8,2.8,1.3,0.2,2.4,37.9,6,1,1.6
6,7,Paul Pierce,BOS,26,80,35,45,38.7,23.0,7.5,18.7,40.2,1.4,4.8,29.9,6.5,7.9,81.9,0.9,5.7,6.5,5.1,3.8,1.6,0.7,2.9,41.5,19,1,-0.9
7,8,Baron Davis,NOH,25,67,36,31,40.1,22.9,8.3,20.9,39.5,2.8,8.7,32.1,3.5,5.3,67.3,1.0,3.3,4.3,7.5,3.2,2.4,0.4,2.7,44.3,22,0,2.6
8,9,Vince Carter,TOR,27,73,33,40,38.2,22.5,8.3,20.0,41.7,1.3,3.3,38.3,4.6,5.7,80.6,1.3,3.5,4.8,4.8,3.1,1.2,0.9,2.9,38.6,7,0,-0.1
9,10,Tim Duncan,SAS,28,69,51,18,36.6,22.3,8.6,17.1,50.1,0.0,0.2,16.7,5.1,8.5,59.9,3.3,9.2,12.4,3.1,2.7,0.9,2.7,2.4,49.9,56,0,7.9
