Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
CJ McCollum,SG,8.8,19.8,44.4,2.6,7.0,37.1,3.0,4.4,68.2,6.2,12.8,48.4,1.172,0.51,5,5.0,39.2,23.2,1.0,4.8,5.8,3.2,1.2,0.4,3.0,2.0,1.1,15.0,POR
Carmelo Anthony,PF,5.6,13.6,41.2,1.6,3.8,42.1,2.4,2.8,85.7,4.0,9.8,40.8,1.1179999999999999,0.47,5,5.0,35.2,15.2,0.2,4.8,5.0,2.0,1.0,0.4,2.6,4.0,0.8,8.48,POR
Jusuf Nurkic,C,5.0,11.4,43.9,0.6,2.2,27.3,3.6,4.6,78.3,4.4,9.2,47.8,1.246,0.46,5,5.0,32.2,14.2,2.8,7.6,10.4,3.6,1.4,0.2,2.6,4.2,1.4,15.77,POR
Gary Trent Jr.,SG,3.2,9.0,35.6,2.0,4.8,41.7,1.2,1.4,85.7,1.2,4.2,28.6,1.067,0.47,5,1.0,30.6,9.6,1.0,1.0,2.0,0.6,0.8,0.0,1.0,3.2,0.6,5.83,POR
Hassan Whiteside,C,2.6,4.8,54.2,0.2,0.2,100.0,1.4,2.8,50.0,2.4,4.6,52.2,1.4169999999999998,0.56,5,3.0,21.2,6.8,1.4,5.6,7.0,0.4,0.2,2.0,1.2,3.4,0.3,12.94,POR
Anfernee Simons,SG,2.0,6.5,30.8,1.5,3.5,42.9,1.3,1.5,83.3,0.5,3.0,16.7,1.038,0.42,4,0.0,20.5,6.8,0.3,2.5,2.8,2.5,1.5,0.0,1.0,1.8,2.5,10.55,POR
Wenyen Gabriel,F,2.3,3.8,60.0,0.5,1.3,40.0,0.3,0.5,50.0,1.8,2.5,70.0,1.4,0.67,4,2.0,13.3,5.3,1.8,0.8,2.5,1.0,0.5,0.5,1.3,4.0,0.8,13.88,POR
Jaylen Hoard,F,2.3,4.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,2.3,4.0,58.3,1.167,0.58,3,0.0,13.7,4.7,1.7,1.3,3.0,0.3,0.0,0.0,0.7,1.7,0.5,11.47,POR
Mario Hezonja,F,1.8,4.4,40.9,0.4,1.4,28.6,0.6,0.8,75.0,1.4,3.0,46.7,1.045,0.45,5,0.0,13.6,4.6,0.4,2.8,3.2,1.2,0.6,0.0,0.6,1.6,2.0,10.44,POR
Jaylen Adams,G,1.0,3.0,33.3,0.0,1.3,0.0,0.0,0.0,0.0,1.0,1.7,60.0,0.667,0.33,3,0.0,7.0,2.0,0.3,0.7,1.0,0.7,0.3,0.0,0.0,0.3,inf,7.73,POR
