Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Jayson Tatum,SF,8.4,18.6,45.0,2.9,7.1,40.3,3.8,4.7,81.2,5.5,11.5,48.0,1.262,0.53,66,66.0,34.3,23.4,1.0,6.0,7.0,3.0,1.4,0.9,2.3,2.1,1.3,20.45,BOS
Kemba Walker,PG,6.8,15.9,42.5,3.2,8.4,38.1,3.7,4.3,86.4,3.5,7.4,47.6,1.288,0.53,56,56.0,31.1,20.4,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,2.3,20.0,BOS
Jaylen Brown,SG,7.5,15.6,48.1,2.3,5.9,38.2,3.1,4.3,72.4,5.2,9.6,54.3,1.307,0.55,57,57.0,33.9,20.3,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,0.9,17.0,BOS
Gordon Hayward,SF,6.7,13.5,50.0,1.6,4.3,38.3,2.4,2.8,85.5,5.1,9.2,55.4,1.2990000000000002,0.56,52,52.0,33.5,17.5,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,2.2,18.16,BOS
Marcus Smart,PG,4.3,11.4,37.5,2.3,6.6,34.7,2.1,2.5,83.6,2.0,4.8,41.5,1.138,0.48,60,40.0,32.0,12.9,0.7,3.1,3.8,4.9,1.7,0.5,1.7,2.7,2.8,13.78,BOS
Daniel Theis,C,3.7,6.6,56.6,0.5,1.5,33.3,1.3,1.8,76.3,3.2,5.1,63.3,1.411,0.6,65,64.0,24.1,9.2,2.2,4.4,6.6,1.7,0.6,1.3,0.8,3.4,2.1,17.89,BOS
Enes Freedom,C,3.4,6.0,57.2,0.0,0.1,14.3,1.2,1.7,70.7,3.4,5.9,58.1,1.348,0.57,58,7.0,16.9,8.1,2.8,4.6,7.4,1.0,0.4,0.7,1.0,1.7,1.0,22.48,BOS
Brad Wanamaker,PG,2.3,5.1,44.8,0.5,1.4,36.3,1.8,1.9,92.6,1.8,3.7,48.1,1.345,0.5,71,1.0,19.3,6.9,0.3,1.7,2.0,2.5,0.9,0.2,1.1,1.9,2.4,12.85,BOS
Robert Williams III,C,2.2,3.0,72.7,0.0,0.0,0.0,0.8,1.2,64.7,2.2,3.0,72.7,1.705,0.73,29,1.0,13.4,5.2,1.4,3.0,4.4,0.9,0.8,1.2,0.7,1.8,1.3,23.12,BOS
Tremont Waters,G,1.3,4.5,28.6,0.4,2.2,16.7,0.7,0.7,100.0,0.9,2.3,40.0,0.816,0.33,11,1.0,10.8,3.6,0.0,1.1,1.1,1.5,0.9,0.2,1.4,1.2,1.1,4.37,BOS
