Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Paul Pierce,SF,8.4,18.5,45.4,1.8,4.7,38.3,6.7,9.0,74.5,6.6,13.8,47.8,1.369,0.5,82,82.0,38.0,25.3,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,1.0,0.0,BOS
Antoine Walker,PF,8.8,21.2,41.3,2.7,7.4,36.7,3.1,4.3,71.6,6.0,13.8,43.9,1.1,0.48,81,81.0,41.9,23.4,1.9,7.0,8.9,5.5,1.7,0.6,3.7,3.1,1.5,0.0,BOS
Bryant Stith,G,3.1,7.8,40.1,1.2,3.1,37.6,2.2,2.7,84.5,2.0,4.7,41.7,1.237,0.48,78,74.0,32.1,9.7,0.8,2.8,3.6,2.2,1.2,0.2,1.2,2.3,1.9,0.0,BOS
Kenny Anderson,PG,2.7,6.9,38.8,0.3,1.0,33.3,1.8,2.2,83.1,2.3,5.9,39.7,1.084,0.41,33,28.0,25.7,7.5,0.5,1.7,2.2,4.1,1.3,0.1,1.6,1.9,2.6,0.0,BOS
Vitaly Potapenko,C,3.0,6.4,47.6,0.0,0.0,0.0,1.4,1.9,72.8,3.0,6.4,47.6,1.173,0.48,82,7.0,23.2,7.5,2.5,3.5,6.0,0.8,0.6,0.3,1.3,2.8,0.6,0.0,BOS
Eric Williams,PF,2.0,5.5,36.2,0.6,1.7,33.1,2.0,2.9,71.4,1.4,3.8,37.5,1.194,0.41,81,11.0,21.5,6.6,0.8,1.8,2.6,1.4,0.8,0.2,0.9,2.2,1.5,0.0,BOS
Tony Battie,C,2.7,5.0,53.7,0.0,0.1,0.0,1.1,1.7,63.8,2.7,5.0,54.5,1.294,0.54,40,25.0,21.1,6.5,1.8,4.0,5.8,0.4,0.7,1.5,0.9,3.2,0.4,0.0,BOS
Milt Palacio,PG,2.2,4.6,47.2,0.2,0.6,33.3,1.3,1.6,84.8,2.0,4.0,49.4,1.281,0.49,58,6.0,19.7,5.9,0.4,1.3,1.8,2.6,0.8,0.0,1.4,1.4,1.9,0.0,BOS
Doug Overton,PG,2.1,6.3,34.1,0.1,0.6,25.0,1.0,1.6,63.6,2.0,5.7,35.0,0.8640000000000001,0.35,7,1.0,20.6,5.4,0.4,1.7,2.1,2.7,0.6,0.0,1.9,2.1,1.5,0.0,BOS
Chris Carr,G,1.5,3.2,47.3,0.5,1.1,45.9,1.3,1.7,76.7,1.0,2.1,48.0,1.5090000000000001,0.55,35,0.0,8.8,4.8,0.3,0.9,1.3,0.3,0.1,0.1,0.5,1.3,0.6,0.0,BOS
Randy Brown,G,1.9,4.4,42.2,0.0,0.1,0.0,0.4,0.7,57.5,1.9,4.3,42.7,0.941,0.42,54,35.0,22.9,4.1,0.4,1.4,1.8,2.9,1.1,0.2,1.0,2.4,2.8,0.0,BOS
Mark Blount,C,1.6,3.1,50.5,0.0,0.0,0.0,0.7,1.0,69.7,1.6,3.1,50.5,1.24,0.51,64,50.0,17.2,3.9,1.5,2.1,3.6,0.5,0.6,1.2,1.0,2.9,0.5,0.0,BOS
Rick Brunson,PG,1.4,5.0,28.6,0.3,1.6,18.2,0.6,1.3,44.4,1.1,3.4,33.3,0.743,0.31,7,0.0,20.3,3.7,0.3,1.0,1.3,3.4,1.0,0.1,1.3,2.3,2.7,0.0,BOS
Chris Herren,G,1.2,3.8,30.2,0.6,2.2,29.1,0.4,0.5,75.0,0.5,1.6,31.7,0.865,0.39,25,7.0,16.3,3.3,0.2,0.7,0.8,2.2,0.6,0.0,0.8,1.7,2.8,0.0,BOS
Walter McCarty,PF,0.8,2.1,35.7,0.3,0.9,33.9,0.4,0.5,78.6,0.4,1.2,37.1,1.04,0.43,60,3.0,8.0,2.2,0.4,1.0,1.4,0.7,0.2,0.1,0.3,1.4,2.0,0.0,BOS
Adrian Griffin,SG,0.8,2.2,34.0,0.2,0.6,34.6,0.4,0.5,75.0,0.5,1.6,33.8,0.9590000000000001,0.39,44,0.0,8.6,2.1,0.6,1.4,2.0,0.6,0.4,0.1,0.4,1.0,1.5,0.0,BOS
Jerome Moiso,C,0.5,1.3,40.0,0.0,0.0,0.0,0.5,1.1,42.3,0.5,1.2,41.4,1.167,0.4,24,0.0,5.6,1.5,0.5,1.3,1.8,0.1,0.1,0.2,0.8,1.2,0.2,0.0,BOS
Allan Houston,SG,7.6,12.8,59.4,1.2,2.2,54.5,4.4,4.4,100.0,6.4,10.6,60.4,1.625,0.64,5,5.0,37.8,20.8,0.0,1.8,1.8,1.4,1.0,0.2,2.0,3.4,0.7,0.0,NY
Latrell Sprewell,SG,7.0,17.2,40.7,0.6,2.8,21.4,3.8,5.0,76.0,6.4,14.4,44.4,1.07,0.42,5,5.0,42.4,18.4,0.6,2.4,3.0,3.4,1.0,0.2,4.0,3.4,0.9,0.0,NY
Kurt Thomas,PF,5.0,9.4,53.2,0.0,0.0,0.0,4.4,6.2,71.0,5.0,9.4,53.2,1.5319999999999998,0.53,5,5.0,37.2,14.4,3.4,7.8,11.2,1.8,0.4,1.0,1.8,5.2,1.0,0.0,NY
Glen Rice,SF,4.8,10.4,46.2,1.2,2.8,42.9,1.4,1.6,87.5,3.6,7.6,47.4,1.173,0.52,5,0.0,28.8,12.2,0.6,3.8,4.4,0.6,0.6,0.2,1.4,2.0,0.4,0.0,NY
Mark Jackson,PG,4.0,8.0,50.0,0.4,1.6,25.0,0.6,0.6,100.0,3.6,6.4,56.3,1.125,0.53,5,5.0,31.2,9.0,0.6,4.6,5.2,5.2,1.6,0.0,2.0,1.2,2.6,0.0,NY
Marcus Camby,C,2.5,6.5,38.5,0.0,0.0,0.0,1.3,3.3,38.5,2.5,6.5,38.5,0.9620000000000001,0.38,4,4.0,35.3,6.3,1.0,7.0,8.0,1.8,0.5,2.3,0.5,4.5,3.5,0.0,NY
Charlie Ward,PG,1.6,5.4,29.6,0.6,2.4,25.0,1.2,1.2,100.0,1.0,3.0,33.3,0.9259999999999999,0.35,5,0.0,17.2,5.0,0.4,1.0,1.4,1.4,0.4,0.0,1.6,1.6,0.9,0.0,NY
Othella Harrington,PF,1.4,2.8,50.0,0.0,0.0,0.0,0.8,1.0,80.0,1.4,2.8,50.0,1.286,0.5,5,1.0,15.4,3.6,1.4,1.6,3.0,0.4,0.8,0.4,0.6,3.2,0.7,0.0,NY
Rick Brunson,PG,0.0,0.5,0.0,0.0,0.0,0.0,1.5,2.0,75.0,0.0,0.5,0.0,3.0,0.0,2,0.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,NY
Travis Knight,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,NY
Felton Spencer,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,NY
Allen Iverson,SG,11.7,30.0,38.9,2.2,6.5,33.8,7.3,9.5,77.4,9.5,23.6,40.3,1.094,0.43,22,22.0,46.2,32.9,0.7,4.0,4.7,6.1,2.4,0.3,2.9,2.5,2.1,0.0,PHI
Aaron McKie,SG,5.4,13.1,41.5,1.2,2.8,42.2,2.6,3.3,78.7,4.3,10.3,41.4,1.1159999999999999,0.46,23,16.0,38.8,14.6,1.0,4.1,5.2,5.3,1.5,0.1,2.0,2.9,2.6,0.0,PHI
Dikembe Mutombo,C,4.4,9.0,49.0,0.0,0.0,0.0,5.0,6.4,77.7,4.4,9.0,49.3,1.534,0.49,23,23.0,42.7,13.9,4.9,8.8,13.7,0.7,0.7,3.1,1.6,2.4,0.5,0.0,PHI
Eric Snow,PG,3.8,9.1,41.4,0.0,0.3,0.0,1.7,2.4,72.7,3.8,8.8,42.9,1.0190000000000001,0.41,23,9.0,31.2,9.3,1.1,2.6,3.7,4.5,1.2,0.1,2.0,2.7,2.3,0.0,PHI
Tyrone Hill,PF,2.8,6.9,40.9,0.0,0.0,0.0,1.6,2.3,67.9,2.8,6.9,41.1,1.044,0.41,23,23.0,32.3,7.2,2.3,5.0,7.3,0.4,0.6,0.5,1.1,3.5,0.4,0.0,PHI
George Lynch,SF,2.4,5.0,48.0,0.0,0.1,0.0,0.9,1.4,64.3,2.4,4.9,49.0,1.14,0.48,10,8.0,22.2,5.7,2.0,3.1,5.1,1.2,1.3,0.2,1.3,3.0,0.9,0.0,PHI
Jumaine Jones,SF,2.3,5.4,41.6,0.3,1.4,25.0,0.7,0.9,71.4,1.9,4.0,47.3,1.016,0.45,23,14.0,19.4,5.5,1.5,2.1,3.7,0.7,0.4,0.5,0.6,1.4,1.2,0.0,PHI
Matt Geiger,C,1.4,2.4,58.6,0.0,0.0,0.0,0.3,0.3,100.0,1.4,2.4,58.6,1.31,0.59,12,0.0,8.3,3.2,0.8,0.7,1.5,0.6,0.2,0.0,0.4,2.5,1.4,0.0,PHI
Todd MacCulloch,C,1.3,2.1,63.2,0.0,0.0,0.0,0.4,0.6,80.0,1.3,2.1,63.2,1.474,0.63,18,0.0,6.1,3.1,0.9,0.7,1.6,0.2,0.0,0.2,0.2,0.8,1.0,0.0,PHI
Raja Bell,SG,0.8,1.8,44.4,0.1,0.5,25.0,0.5,0.9,57.1,0.7,1.3,52.6,1.2590000000000001,0.48,15,0.0,8.3,2.3,0.3,0.6,0.9,0.5,1.0,0.0,0.3,1.3,1.4,0.0,PHI
Kevin Ollie,PG,0.4,1.2,37.0,0.0,0.0,0.0,0.6,0.6,92.9,0.4,1.2,37.0,1.222,0.37,23,0.0,5.3,1.4,0.1,0.3,0.4,1.0,0.0,0.0,0.3,0.5,2.9,0.0,PHI
Rodney Buford,SF,0.5,1.6,33.3,0.2,0.4,50.0,0.1,0.1,100.0,0.3,1.2,27.8,0.875,0.4,15,0.0,4.8,1.4,0.3,0.5,0.8,0.2,0.3,0.1,0.3,1.0,0.8,0.0,PHI
Vince Carter,G,10.2,23.3,43.6,2.1,5.1,41.0,4.8,6.2,78.4,8.1,18.3,44.3,1.168,0.48,12,12.0,44.9,27.3,3.1,3.4,6.5,4.7,1.7,1.7,2.3,3.8,2.1,0.0,TOR
Antonio Davis,PF,6.4,12.8,50.0,0.0,0.0,0.0,3.6,4.4,81.1,6.4,12.8,50.0,1.2790000000000001,0.5,12,12.0,40.4,16.4,3.4,7.7,11.1,1.9,0.8,1.8,1.8,2.9,1.1,0.0,TOR
Alvin Williams,PG,5.8,13.3,43.1,0.8,2.3,35.7,1.4,2.1,68.0,4.9,11.0,44.7,1.031,0.46,12,12.0,40.5,13.8,0.5,2.4,2.9,4.2,1.3,0.7,1.3,2.8,3.1,0.0,TOR
Charles Oakley,PF,3.9,9.0,43.5,0.3,0.7,37.5,1.2,1.4,82.4,3.7,8.3,44.0,1.028,0.45,12,12.0,32.6,9.3,1.7,4.7,6.3,1.8,1.0,0.6,1.8,2.4,1.0,0.0,TOR
Chris Childs,G,3.1,7.5,41.1,1.3,3.0,41.7,1.7,1.9,87.0,1.8,4.5,40.7,1.2109999999999999,0.49,12,9.0,31.7,9.1,0.2,3.0,3.2,6.5,1.0,0.3,2.9,4.0,2.2,0.0,TOR
Dell Curry,G,2.3,5.3,42.2,1.2,3.1,37.8,0.8,1.0,83.3,1.1,2.3,48.1,1.219,0.53,12,0.0,15.2,6.5,0.2,1.0,1.2,0.8,0.5,0.1,0.9,0.8,0.9,0.0,TOR
Morris Peterson,SG,2.3,4.4,51.4,0.5,1.1,44.4,0.4,0.5,75.0,1.8,3.3,53.8,1.229,0.57,8,3.0,13.8,5.4,0.3,1.3,1.5,1.9,0.8,0.0,0.8,1.3,2.5,0.0,TOR
Keon Clark,PF,1.0,2.7,36.7,0.0,0.0,0.0,1.2,1.8,65.0,1.0,2.7,36.7,1.167,0.37,11,0.0,9.4,3.2,0.6,1.5,2.1,0.5,0.2,0.3,0.4,1.5,1.5,0.0,TOR
Jerome Williams,PF,1.1,2.2,50.0,0.0,0.0,0.0,1.0,2.0,50.0,1.1,2.2,50.0,1.4580000000000002,0.5,11,0.0,14.9,3.2,1.8,2.3,4.1,0.8,0.9,0.5,0.5,2.1,1.5,0.0,TOR
Tracy Murray,SF,0.5,1.5,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0,0.667,0.33,2,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.0,TOR
Eric Montross,C,0.4,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,40.0,0.8,0.4,5,0.0,6.2,0.8,1.0,1.0,2.0,0.2,0.0,0.6,0.4,1.2,0.5,0.0,TOR
Michael Stewart,PF,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2,0.0,2.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOR
Antawn Jamison,PF,9.8,22.1,44.2,0.8,2.5,30.2,4.7,6.5,71.5,9.0,19.6,45.9,1.128,0.46,82,82.0,41.4,24.9,3.4,5.3,8.7,2.0,1.4,0.3,2.4,2.7,0.8,0.0,GS
