,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
137,137,Marcus Camby,POR,37,6,2,4,27.8,3.5,1.7,3.7,45.5,0.2,0.2,100.0,0.0,0.3,0.0,3.0,6.7,9.7,1.3,0.8,0.7,1.5,3.0,22.8,0,0,-2.7,948,1610612757
138,137,T.J. Ford,IND,28,2,0,2,6.8,3.5,1.5,1.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,4.6,0,0,3.5,2551,1610612754
139,140,Jeff Foster,IND,34,5,1,4,18.6,3.4,1.4,2.4,58.3,0.0,0.0,0.0,0.6,1.6,37.5,2.0,2.8,4.8,0.8,1.0,0.4,0.8,2.8,13.0,0,0,2.6,1902,1610612754
140,141,Brandon Rush,IND,25,5,1,4,11.0,3.2,1.2,2.6,46.2,0.6,0.8,75.0,0.2,0.4,50.0,0.0,1.4,1.4,0.6,0.2,0.2,0.2,1.0,6.8,0,0,-1.4,201575,1610612754
141,142,C.J. Watson,CHI,27,16,9,7,8.5,3.2,1.2,3.5,33.9,0.2,0.9,20.0,0.6,0.7,90.9,0.1,0.8,0.9,1.9,1.1,0.5,0.0,0.9,7.6,0,0,-1.6,201228,1610612741
142,143,Brendan Haywood,DAL,31,18,14,4,15.3,3.1,1.0,1.7,58.1,0.0,0.0,0.0,1.1,2.4,46.5,1.9,2.2,4.1,0.2,0.7,0.1,1.0,2.7,10.9,0,0,1.9,2217,1610612742
143,144,Royal Ivey,OKC,29,2,2,0,3.1,3.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,4.4,0,0,-2.0,2767,1610612760
144,145,Kurt Thomas,CHI,38,7,4,3,10.6,2.9,1.4,2.6,55.6,0.0,0.3,0.0,0.0,0.0,0.0,1.3,1.4,2.7,0.4,0.4,0.1,0.4,1.7,8.0,0,0,-1.9,703,1610612741
145,146,Rudy Fernandez,POR,26,6,2,4,13.5,2.8,0.7,3.0,22.2,0.5,1.7,30.0,1.0,1.5,66.7,0.3,1.7,2.0,0.8,0.3,0.3,0.2,1.2,7.7,0,0,0.2,201164,1610612757
146,147,Joel Anthony,MIA,28,21,14,7,27.4,2.8,0.9,2.3,36.7,0.0,0.0,0.0,1.0,1.5,71.0,1.7,3.0,4.6,0.5,0.6,0.4,1.8,2.6,15.0,1,0,3.2,201202,1610612748
147,148,Nate Robinson,OKC,27,3,2,1,3.9,2.7,0.7,2.3,28.6,0.7,2.0,33.3,0.7,0.7,100.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,3.2,0,0,-1.3,101126,1610612760
148,149,Mike Miller,MIA,31,18,12,6,11.9,2.6,1.0,2.9,34.0,0.6,2.1,29.7,0.0,0.0,0.0,0.5,2.2,2.7,0.7,0.4,0.4,0.1,1.4,7.9,0,0,2.2,2034,1610612748
149,150,Jason Smith,NOH,25,6,2,4,9.6,2.3,1.2,2.5,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.2,0.2,0.0,0.3,0.0,1.8,5.0,0,0,-1.5,201160,1610612740
150,151,Nazr Mohammed,OKC,33,14,9,5,10.6,2.3,1.0,2.4,41.2,0.0,0.0,0.0,0.3,0.7,40.0,0.6,1.6,2.3,0.0,0.4,0.3,0.4,1.9,6.7,0,0,1.9,1737,1610612760
151,152,Steve Blake,LAL,31,9,4,5,16.2,2.2,0.8,2.6,30.4,0.7,2.0,33.3,0.0,0.0,0.0,0.1,1.4,1.6,2.2,0.6,0.6,0.0,0.9,8.5,0,0,-0.2,2581,1610612747
152,153,Earl Clark,ORL,23,1,1,0,6.0,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,14.3,0,0,-6.0,201947,1610612753
153,153,Kosta Koufos,DEN,22,1,0,1,2.2,2.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2.0,201585,1610612743
154,153,Marreese Speights,PHI,23,2,0,2,10.4,2.0,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.5,3.0,0.5,0.0,0.0,0.5,2.0,7.9,0,0,0.0,201578,1610612755
