,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PLAYER_ID,TEAM_ID
0,1,Kevin Durant,GSW,30,12,8,4,36.8,32.3,10.4,20.3,51.4,2.9,6.7,43.8,8.5,9.4,90.3,0.1,4.8,4.9,4.5,3.6,1.1,1.0,3.2,47.6,0,0,7.1,201142,1610612744
1,2,James Harden,HOU,29,11,6,5,38.6,31.6,9.9,24.0,41.3,4.4,12.5,35.0,7.5,8.9,83.7,0.8,6.0,6.8,6.6,4.6,2.2,0.9,3.7,54.4,4,1,3.6,201935,1610612745
2,3,Kawhi Leonard,TOR,28,24,16,8,39.1,30.5,10.1,20.7,49.0,2.3,6.0,37.9,8.0,9.0,88.4,2.3,6.8,9.1,3.9,3.1,1.7,0.7,2.3,51.3,9,0,6.5,202695,1610612761
3,4,Paul George,OKC,29,5,1,4,40.8,28.6,8.8,20.2,43.6,3.0,9.4,31.9,8.0,9.8,81.6,1.2,7.4,8.6,3.6,4.2,1.4,0.2,4.2,44.9,2,0,0.6,202331,1610612760
4,5,Stephen Curry,GSW,31,22,14,8,38.4,28.2,8.6,19.6,44.1,4.2,11.1,37.7,6.7,7.1,94.3,0.8,5.2,6.0,5.7,3.0,1.1,0.2,3.1,44.8,3,1,5.5,201939,1610612744
5,6,Damian Lillard,POR,28,16,8,8,40.6,26.9,8.6,20.6,41.8,3.7,9.9,37.3,5.9,7.1,83.3,0.5,4.3,4.8,6.6,3.8,1.7,0.3,2.5,44.8,3,0,-0.8,203081,1610612757
6,7,Giannis Antetokounmpo,MIL,24,15,10,5,34.3,25.5,8.6,17.4,49.4,1.2,3.7,32.7,7.1,11.2,63.7,2.4,9.8,12.2,4.9,3.3,1.2,2.0,3.2,53.7,10,0,7.5,203507,1610612749
7,8,Nikola Jokic,DEN,24,14,7,7,39.7,25.1,9.4,18.6,50.6,1.6,4.0,39.3,4.7,5.6,84.6,3.9,9.1,13.0,8.4,2.6,1.1,0.9,3.9,57.0,12,4,6.0,203999,1610612743
8,9,CJ McCollum,POR,27,16,8,8,39.7,24.7,9.6,21.9,44.0,2.9,7.3,39.3,2.6,3.5,73.2,0.9,4.1,5.0,3.7,1.9,0.8,0.6,2.1,38.7,0,0,-0.9,203468,1610612757
9,10,Blake Griffin,DET,30,2,0,2,29.0,24.5,9.0,19.5,46.2,3.0,6.5,46.2,3.5,3.5,100.0,2.0,4.0,6.0,6.0,3.0,1.0,0.0,4.5,40.7,0,0,-5.5,201933,1610612765
10,11,Russell Westbrook,OKC,30,5,1,4,39.4,22.8,8.0,22.2,36.0,2.2,6.8,32.4,4.6,5.2,88.5,1.4,7.6,9.0,10.6,4.6,1.0,0.6,3.8,49.7,4,2,-8.6,201566,1610612760
11,12,DeMar DeRozan,SAS,29,7,3,4,35.8,22.0,8.3,17.0,48.7,0.0,0.1,0.0,5.4,6.3,86.4,1.4,5.3,6.7,4.6,1.7,1.1,0.1,2.3,39.1,1,0,-4.7,201942,1610612759
12,13,Lou Williams,LAC,32,6,2,4,29.4,21.7,7.5,17.3,43.3,1.0,3.0,33.3,5.7,6.8,82.9,1.0,1.8,2.8,7.7,3.0,0.8,0.2,2.3,36.6,2,0,-11.5,101150,1610612746
13,14,Donovan Mitchell,UTA,22,5,1,4,38.6,21.4,7.2,22.4,32.1,2.2,8.6,25.6,4.8,6.6,72.7,1.4,3.6,5.0,3.2,4.2,1.6,0.2,3.0,33.4,0,0,-7.6,1628378,1610612762
14,15,Kyrie Irving,BOS,27,9,5,4,36.7,21.3,7.7,19.9,38.5,2.0,6.4,31.0,4.0,4.4,90.0,0.6,3.8,4.3,7.0,3.1,1.4,0.4,2.9,39.6,3,0,-1.6,202681,1610612738
15,16,Jamal Murray,DEN,22,14,7,7,36.3,21.3,7.6,18.0,42.5,2.0,5.9,33.7,4.0,4.4,90.3,1.4,3.0,4.4,4.7,1.6,1.0,0.1,1.7,35.4,1,0,4.8,1627750,1610612743
16,17,Caris LeVert,BKN,24,5,1,4,28.9,21.0,7.2,14.6,49.3,2.4,5.2,46.2,4.2,5.8,72.4,1.2,3.4,4.6,3.0,2.0,1.0,0.4,1.6,33.2,0,0,-5.4,1627747,1610612751
17,18,Klay Thompson,GSW,29,21,14,7,39.0,20.7,7.8,17.1,45.6,3.3,7.5,44.3,1.8,2.0,90.2,0.6,3.5,4.1,2.1,1.8,1.3,0.7,2.8,33.1,0,0,1.0,202691,1610612744
18,19,Joel Embiid,PHI,25,11,6,5,30.4,20.2,6.2,14.5,42.8,1.1,3.5,30.8,6.7,8.2,82.2,1.9,8.5,10.5,3.4,3.6,0.7,2.3,3.1,43.1,7,0,13.0,203954,1610612755
19,20,LaMarcus Aldridge,SAS,33,7,3,4,34.9,20.0,7.9,17.3,45.5,0.4,1.6,27.3,3.9,4.7,81.8,2.7,6.9,9.6,2.7,1.0,0.7,1.0,3.0,39.7,4,0,-2.6,200746,1610612759
20,21,Danilo Gallinari,LAC,30,6,2,4,33.6,19.8,6.5,18.5,35.1,2.2,7.2,30.2,4.7,5.5,84.8,1.5,4.7,6.2,2.7,1.8,1.3,0.2,2.3,33.9,0,0,-7.2,201568,1610612746
21,22,Jimmy Butler,PHI,29,12,7,5,35.1,19.4,6.6,14.6,45.1,1.0,3.8,26.7,5.3,6.0,87.5,1.8,4.2,6.0,5.2,1.8,1.5,0.6,1.7,38.8,2,0,8.2,202710,1610612755
22,23,D'Angelo Russell,BKN,23,5,1,4,29.6,19.4,7.4,20.6,35.9,2.4,7.4,32.4,2.2,2.6,84.6,0.4,3.2,3.6,3.6,2.8,1.4,0.2,2.4,31.1,0,0,-17.8,1626156,1610612751
23,24,Pascal Siakam,TOR,25,24,16,8,37.1,19.0,7.5,16.0,47.0,1.2,4.3,27.9,2.8,3.6,75.9,1.7,5.5,7.1,2.8,1.4,1.0,0.7,2.8,35.4,6,0,4.0,1627783,1610612761
24,25,Montrezl Harrell,LAC,25,6,2,4,26.3,18.3,7.7,10.5,73.0,0.0,0.2,0.0,3.0,4.3,69.2,2.0,3.5,5.5,2.2,1.3,0.5,0.7,3.2,30.4,1,0,-13.0,1626149,1610612746
25,26,Bojan Bogdanovic,IND,30,4,0,4,36.9,18.0,6.3,15.8,39.7,1.8,5.5,31.8,3.8,4.3,88.2,0.8,5.0,5.8,2.8,1.5,2.0,0.0,1.8,33.5,0,0,-7.8,202711,1610612754
26,27,Eric Gordon,HOU,30,11,6,5,37.2,17.8,6.1,13.6,44.7,3.5,8.6,40.0,2.2,2.5,85.7,0.5,2.1,2.5,1.3,2.5,0.6,1.0,2.0,25.2,0,0,0.7,201569,1610612745
27,28,Reggie Jackson,DET,29,4,0,4,26.9,17.8,7.0,16.3,43.1,2.3,5.3,42.9,1.5,1.8,85.7,1.3,2.0,3.3,7.0,1.3,0.8,0.0,3.0,33.2,0,0,-14.5,202704,1610612765
28,29,Chris Paul,HOU,34,11,6,5,36.1,17.0,6.0,13.5,44.6,1.5,5.7,27.0,3.5,4.1,84.4,1.3,5.1,6.4,5.5,3.4,2.2,0.6,3.3,37.9,1,0,1.6,101108,1610612745
29,30,Khris Middleton,MIL,27,15,10,5,34.3,16.9,5.6,13.4,41.8,2.7,6.1,43.5,3.1,3.5,88.5,0.6,5.7,6.3,4.4,1.9,0.6,0.0,2.9,31.0,3,0,7.0,203114,1610612749
30,31,Tobias Harris,PHI,26,12,7,5,36.9,15.5,5.9,13.9,42.5,1.8,5.3,34.9,1.8,2.2,84.6,1.0,8.2,9.2,4.0,1.7,1.1,0.5,2.5,35.6,3,0,4.9,202699,1610612755
31,32,Ricky Rubio,UTA,28,5,1,4,33.5,15.4,5.6,13.2,42.4,0.8,4.0,20.0,3.4,4.0,85.0,0.6,2.6,3.2,8.6,3.0,2.4,0.2,2.8,36.9,2,0,-2.6,201937,1610612762
32,33,Tyreke Evans,IND,29,4,0,4,21.0,15.3,5.3,12.0,43.8,2.8,5.0,55.0,2.0,3.5,57.1,0.0,4.3,4.3,0.8,1.5,0.8,0.3,2.0,23.0,0,0,-5.5,201936,1610612754
33,34,Jayson Tatum,BOS,21,9,5,4,32.8,15.2,5.4,12.4,43.8,1.1,3.4,32.3,3.2,4.3,74.4,0.8,5.9,6.7,1.9,2.0,1.1,0.8,2.3,29.7,2,0,-0.8,1628369,1610612738
34,35,Aaron Gordon,ORL,23,5,1,4,32.8,15.2,5.8,12.4,46.8,1.6,4.0,40.0,2.0,3.8,52.6,2.2,5.0,7.2,3.6,2.6,1.2,0.2,3.2,30.8,1,0,-15.8,203932,1610612753
35,36,Derrick White,SAS,24,7,3,4,27.2,15.1,5.9,10.7,54.7,0.7,2.4,29.4,2.7,3.7,73.1,0.1,2.9,3.0,3.0,2.1,0.7,0.7,2.4,25.4,0,0,-1.1,1628401,1610612759
36,37,Kyle Lowry,TOR,33,24,16,8,37.5,15.0,5.1,11.5,44.0,2.2,6.0,35.9,2.7,3.4,80.2,0.9,4.0,4.9,6.6,2.3,1.3,0.3,4.0,33.3,2,0,6.7,200768,1610612761
37,38,Luke Kennard,DET,23,4,0,4,33.2,15.0,5.8,11.8,48.9,2.3,3.8,60.0,1.3,1.5,83.3,0.0,4.0,4.0,1.8,0.8,0.8,0.3,1.5,24.7,0,0,-16.0,1628379,1610612765
38,39,Paul Millsap,DEN,34,14,7,7,33.5,14.6,5.2,11.1,46.8,0.9,2.7,31.6,3.4,4.4,77.0,1.7,5.0,6.7,0.8,1.3,0.9,1.1,3.4,28.4,3,0,3.6,200794,1610612743
39,40,Spencer Dinwiddie,BKN,26,5,1,4,26.3,14.6,5.4,12.4,43.5,1.8,4.8,37.5,2.0,2.8,71.4,0.8,1.8,2.6,1.6,1.6,0.4,0.0,2.0,19.7,0,0,-6.8,203915,1610612751
40,41,Andre Drummond,DET,25,4,0,4,31.8,14.3,6.0,13.5,44.4,0.0,0.3,0.0,2.3,5.3,42.9,5.0,8.0,13.0,2.3,2.8,1.5,1.3,4.3,38.7,4,0,-24.0,203083,1610612765
41,42,Gary Harris,DEN,24,14,7,7,37.0,14.2,5.2,11.3,46.2,1.4,4.1,35.1,2.4,2.7,86.8,0.6,3.5,4.1,2.3,0.8,0.9,0.6,2.7,26.1,0,0,3.7,203914,1610612743
42,43,Ben Simmons,PHI,22,12,7,5,35.1,13.9,6.0,9.7,62.1,0.0,0.0,0.0,1.9,3.3,57.5,1.9,5.1,7.0,6.0,2.7,1.3,1.0,3.8,35.4,1,1,3.3,1627732,1610612755
43,44,Al Horford,BOS,33,9,5,4,34.5,13.9,5.1,12.2,41.8,2.0,4.9,40.9,1.7,2.0,83.3,1.4,7.6,9.0,4.4,2.1,0.4,0.8,2.3,32.9,3,0,3.1,201143,1610612738
44,44,Jaylen Brown,BOS,22,9,5,4,30.4,13.9,4.9,9.7,50.6,1.6,4.4,35.0,2.6,3.3,76.7,0.7,5.1,5.8,1.1,1.8,0.7,0.2,3.3,23.4,0,0,-4.9,1627759,1610612738
45,46,Dennis Schroder,OKC,25,5,1,4,30.1,13.8,5.0,11.0,45.5,1.2,4.0,30.0,2.6,3.6,72.2,0.4,2.8,3.2,3.4,1.2,0.8,0.0,2.2,23.9,0,0,-4.2,203471,1610612760
46,47,Eric Bledsoe,MIL,29,15,10,5,28.2,13.7,5.1,12.3,41.1,1.1,4.8,23.6,2.4,3.4,70.6,1.3,2.4,3.7,4.3,2.1,1.1,0.4,1.9,26.8,0,0,5.7,202339,1610612749
47,47,Marcus Morris Sr.,BOS,29,9,5,4,28.3,13.7,4.6,8.8,51.9,2.0,4.4,45.0,2.6,3.4,74.2,1.3,6.8,8.1,1.2,0.8,0.1,0.6,2.4,26.5,2,0,4.0,202694,1610612738
48,47,Shai Gilgeous-Alexander,LAC,20,6,2,4,28.8,13.7,4.7,10.0,46.7,1.5,3.0,50.0,2.8,3.3,85.0,0.7,2.0,2.7,3.2,0.8,1.0,0.8,2.8,26.3,0,0,-8.8,1628983,1610612746
49,50,JJ Redick,PHI,35,12,7,5,31.3,13.4,4.5,10.3,43.5,3.0,7.3,41.4,1.4,1.7,85.0,0.2,1.3,1.5,1.6,1.8,0.1,0.3,2.7,16.8,0,0,3.3,200755,1610612755
50,51,Draymond Green,GSW,29,22,14,8,38.7,13.3,5.2,10.4,49.8,0.6,2.6,22.8,2.3,3.2,71.8,1.9,8.3,10.1,8.5,3.8,1.5,1.5,3.9,43.3,14,6,5.8,203110,1610612744
51,52,Rondae Hollis-Jefferson,BKN,24,4,0,4,15.6,13.3,4.0,8.3,48.5,0.3,0.3,100.0,5.0,6.3,80.0,0.8,2.3,3.0,1.5,0.8,0.3,1.3,1.8,22.9,0,0,-2.3,1626178,1610612751
52,53,Terrence Ross,ORL,28,5,1,4,29.2,13.2,4.0,10.8,37.0,2.4,7.0,34.3,2.8,3.4,82.4,0.2,3.4,3.6,1.4,2.0,1.2,0.4,2.0,22.4,0,0,-6.4,203082,1610612753
53,54,Malcolm Brogdon,MIL,26,7,3,4,28.3,13.0,5.0,11.1,44.9,2.0,5.3,37.8,1.0,1.6,63.6,0.9,4.0,4.9,3.4,1.4,0.7,0.1,2.3,25.1,1,0,7.6,1627763,1610612749
54,55,D.J. Augustin,ORL,31,5,1,4,28.2,12.8,4.0,8.2,48.8,2.0,4.2,47.6,2.8,3.2,87.5,0.2,1.4,1.6,3.8,1.4,0.4,0.2,1.4,20.8,0,0,-13.6,201571,1610612753
55,56,Evan Fournier,ORL,26,5,1,4,35.0,12.4,4.8,13.8,34.8,1.6,6.8,23.5,1.2,1.6,75.0,0.6,2.6,3.2,2.0,2.4,1.4,0.0,2.8,21.0,0,0,-19.0,203095,1610612753
56,57,Darren Collison,IND,31,4,0,4,29.2,12.0,4.8,11.3,42.2,1.0,2.8,36.4,1.5,1.5,100.0,1.0,2.0,3.0,4.0,2.5,0.5,0.0,2.8,20.6,0,0,-1.8,201954,1610612754
57,58,Derrick Favors,UTA,27,5,1,4,20.6,11.8,4.6,7.2,63.9,0.0,0.6,0.0,2.6,3.8,68.4,3.0,4.4,7.4,0.8,1.0,0.8,1.8,2.4,28.7,2,0,0.8,202324,1610612762
58,58,Steven Adams,OKC,25,5,1,4,31.8,11.8,5.6,8.4,66.7,0.0,0.2,0.0,0.6,1.6,37.5,2.4,4.8,7.2,1.4,1.8,1.0,1.0,2.6,26.7,0,0,-7.8,203500,1610612760
59,60,Jerami Grant,OKC,25,5,1,4,35.2,11.6,4.0,8.0,50.0,1.8,4.0,45.0,1.8,2.6,69.2,1.2,4.2,5.4,0.8,0.8,0.6,2.0,2.6,26.3,0,0,-7.2,203924,1610612760
60,61,George Hill,MIL,33,15,10,5,26.3,11.5,4.2,7.9,53.4,1.3,3.2,41.7,1.8,2.2,81.8,1.0,2.5,3.5,2.8,0.4,0.8,0.3,2.3,22.8,0,0,4.8,201588,1610612749
61,62,Jae Crowder,UTA,28,5,1,4,26.0,11.4,3.4,9.2,37.0,1.8,6.0,30.0,2.8,3.8,73.7,0.8,5.0,5.8,0.8,0.2,1.0,0.0,1.4,22.4,1,0,-6.6,203109,1610612762
