Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Paul Pierce,SF,6.5,19.0,34.2,1.3,4.3,29.4,6.5,7.8,83.9,5.3,14.8,35.6,1.092,0.38,4,4.0,40.5,20.8,1.5,7.3,8.8,2.5,1.3,1.0,6.3,3.0,0.4,0.0,BOS
Chucky Atkins,PG,4.3,9.8,43.6,0.8,2.5,30.0,4.3,4.8,89.5,3.5,7.3,48.3,1.385,0.47,4,4.0,33.3,13.5,0.8,2.8,3.5,3.8,0.8,0.0,2.5,0.5,1.5,0.0,BOS
Mark Blount,C,4.3,8.8,48.6,0.0,0.0,0.0,3.5,4.8,73.7,4.3,8.8,48.6,1.371,0.49,4,4.0,36.3,12.0,2.5,6.8,9.3,1.0,1.5,2.0,2.3,4.3,0.4,0.0,BOS
Ricky Davis,SG,4.0,10.0,40.0,1.0,2.5,40.0,2.8,4.0,68.8,3.0,7.5,40.0,1.175,0.45,4,0.0,30.8,11.8,0.8,2.3,3.0,3.5,0.5,0.0,3.0,1.8,1.2,0.0,BOS
Jiri Welsch,GF,2.8,5.8,47.8,0.3,1.0,25.0,2.3,2.3,100.0,2.5,4.8,52.6,1.391,0.5,4,4.0,26.0,8.0,0.0,3.0,3.0,2.3,0.5,0.0,2.0,1.8,1.1,0.0,BOS
Walter McCarty,PF,2.8,5.8,47.8,1.5,3.8,40.0,0.0,0.0,0.0,1.3,2.0,62.5,1.217,0.61,4,4.0,31.8,7.0,0.8,4.5,5.3,2.0,0.5,0.5,1.0,1.8,2.0,0.0,BOS
Chris Mihm,C,1.8,5.5,31.8,0.0,0.0,0.0,1.5,2.5,60.0,1.8,5.5,31.8,0.909,0.32,4,0.0,16.3,5.0,2.0,2.5,4.5,0.0,1.0,1.0,0.8,3.0,0.0,0.0,BOS
Marcus Banks,PG,1.8,4.0,43.8,0.5,1.3,40.0,1.0,1.0,100.0,1.3,2.8,45.5,1.25,0.5,4,0.0,15.0,5.0,0.3,1.5,1.8,1.8,0.5,0.3,0.8,2.3,2.3,0.0,BOS
Jumaine Jones,SF,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.667,0.33,2,0.0,14.0,2.0,0.5,2.0,2.5,1.0,0.0,0.0,0.0,2.0,inf,0.0,BOS
Brandon Hunter,PF,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,2.0,1.0,3,0.0,3.3,0.7,0.7,0.3,1.0,0.3,0.0,0.3,0.3,0.7,1.0,0.0,BOS
