Name,POS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,GP,GS,MIN,PTS,OR,DR,REB,AST,STL,BLK,TO,PF,AST/TO,PER,Team
Isaiah Thomas,G,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,5.8,10.9,52.8,1.493,0.55,76,76.0,33.8,28.9,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,2.1,26.59,BOS
Avery Bradley,PG,6.5,14.1,46.3,2.0,5.0,39.0,1.2,1.7,73.1,4.6,9.1,50.4,1.1540000000000001,0.53,55,55.0,33.4,16.3,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,1.4,14.52,BOS
Al Horford,C,5.6,11.8,47.3,1.3,3.6,35.5,1.6,2.0,80.0,4.3,8.2,52.4,1.189,0.53,68,68.0,32.3,14.0,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,2.9,17.77,BOS
Jae Crowder,PF,4.6,10.0,46.3,2.2,5.5,39.8,2.4,3.0,81.1,2.4,4.5,54.0,1.3880000000000001,0.57,72,72.0,32.4,13.9,0.7,5.1,5.8,2.2,1.0,0.3,1.1,2.2,1.9,14.99,BOS
Marcus Smart,PG,3.4,9.5,35.9,1.2,4.2,28.3,2.6,3.2,81.2,2.2,5.3,42.0,1.115,0.42,79,24.0,30.4,10.6,1.0,2.9,3.9,4.6,1.6,0.4,2.0,2.4,2.3,12.07,BOS
Kelly Olynyk,PF,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,2.6,4.2,60.8,1.335,0.58,75,6.0,20.5,9.0,1.0,3.8,4.8,2.0,0.6,0.4,1.3,2.8,1.5,15.32,BOS
Jaylen Brown,SG,2.5,5.4,45.4,0.6,1.7,34.1,1.1,1.6,68.5,1.9,3.7,50.7,1.217,0.51,78,20.0,17.2,6.6,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,0.9,10.33,BOS
Amir Johnson,F,2.7,4.6,57.6,0.3,0.8,40.9,0.8,1.3,67.0,2.3,3.8,61.2,1.405,0.61,80,77.0,20.1,6.5,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,1.8,15.03,BOS
Gerald Green,G,2.0,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,1.2,2.6,46.3,1.129,0.49,47,0.0,11.4,5.6,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,1.3,12.02,BOS
Terry Rozier,SG,2.0,5.6,36.7,0.8,2.4,31.8,0.7,0.9,77.3,1.3,3.1,40.5,0.998,0.44,74,0.0,17.1,5.5,0.5,2.5,3.1,1.8,0.6,0.1,0.6,0.9,2.8,10.9,BOS
Jonas Jerebko,F,1.5,3.4,43.5,0.6,1.7,34.6,0.3,0.5,70.3,0.9,1.7,52.3,1.141,0.52,78,6.0,15.8,3.8,0.8,2.7,3.5,0.9,0.3,0.2,0.5,1.6,1.8,9.29,BOS
Tyler Zeller,C,1.5,3.1,49.4,0.0,0.0,0.0,0.4,0.8,56.4,1.5,3.1,49.7,1.127,0.49,51,5.0,10.3,3.5,0.8,1.6,2.4,0.8,0.1,0.4,0.4,1.2,2.1,13.04,BOS
James Young,G,0.9,2.0,43.1,0.4,1.2,34.3,0.2,0.3,66.7,0.4,0.8,56.5,1.172,0.53,29,0.0,7.6,2.3,0.2,0.7,0.9,0.1,0.3,0.1,0.1,0.5,1.0,10.08,BOS
Demetrius Jackson,G,0.6,0.8,75.0,0.2,0.2,100.0,0.6,1.2,50.0,0.4,0.6,66.7,2.5,0.88,5,0.0,3.4,2.0,0.4,0.4,0.8,0.6,0.0,0.0,0.0,0.0,inf,30.87,BOS
Jordan Mickey,F,0.6,1.4,44.1,0.0,0.0,0.0,0.3,0.6,57.1,0.6,1.3,45.5,1.1179999999999999,0.44,25,1.0,5.6,1.5,0.5,0.8,1.4,0.3,0.1,0.2,0.4,0.5,0.8,9.89,BOS
Brook Lopez,C,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81.0,5.6,10.5,53.6,1.3130000000000002,0.53,75,75.0,29.6,20.5,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,1.0,20.48,BKN
Jeremy Lin,G,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,3.3,6.8,48.0,1.308,0.51,36,33.0,24.5,14.5,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,2.1,19.33,BKN
