,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
0,1,Kobe Bryant,LAL,28,77,39,38,40.8,31.6,10.6,22.8,46.3,1.8,5.2,34.4,8.7,10.0,86.8,1.0,4.7,5.7,5.4,3.3,1.4,0.5,2.7,48.9,10,0,1.3
1,2,Carmelo Anthony,DEN,23,65,37,28,38.2,28.9,10.6,22.4,47.6,0.6,2.3,26.8,7.1,8.7,80.8,2.2,3.8,6.0,3.8,3.6,1.2,0.4,3.1,42.9,4,1,1.4
2,3,Gilbert Arenas,WAS,25,74,39,35,39.8,28.4,8.7,20.9,41.8,2.8,7.9,35.1,8.2,9.7,84.4,0.8,3.7,4.6,6.0,3.2,1.9,0.2,3.4,45.9,10,0,2.6
3,4,Dwyane Wade,MIA,25,51,27,24,37.9,27.4,9.3,18.9,49.1,0.4,1.5,26.6,8.5,10.5,80.7,1.0,3.7,4.7,7.5,4.2,2.1,1.2,2.3,50.0,15,0,1.9
4,5,LeBron James,CLE,22,78,47,31,40.9,27.3,9.9,20.8,47.6,1.3,4.0,31.9,6.3,9.0,69.8,1.1,5.7,6.7,6.0,3.2,1.6,0.7,2.2,48.2,16,1,4.8
5,6,Michael Redd,MIL,27,53,22,31,38.4,26.7,9.0,19.3,46.5,2.2,5.8,38.2,6.5,7.8,82.9,0.8,2.9,3.7,2.3,2.3,1.2,0.2,1.5,36.4,0,0,0.0
6,7,Ray Allen,SEA,31,55,22,33,40.3,26.4,9.2,21.0,43.8,3.0,8.1,37.2,5.1,5.6,90.3,1.0,3.5,4.5,4.1,2.8,1.5,0.2,2.1,40.3,4,0,-0.9
7,8,Allen Iverson,DEN,32,65,31,34,42.5,26.3,8.9,20.2,44.2,1.0,3.0,31.5,7.5,9.4,79.5,0.4,2.6,3.0,7.2,4.1,1.9,0.2,1.5,42.8,17,0,-0.2
8,9,Vince Carter,NJN,30,82,41,41,38.1,25.2,8.9,19.5,45.4,1.9,5.3,35.7,5.6,7.0,80.2,1.4,4.6,6.0,4.8,2.6,1.0,0.4,3.2,41.1,13,2,0.7
9,10,Yao Ming,HOU,26,48,32,16,33.8,25.0,8.8,17.1,51.6,0.0,0.0,0.0,7.4,8.6,86.2,2.1,7.3,9.4,2.0,3.5,0.4,2.0,3.3,42.7,20,0,6.2
10,11,Joe Johnson,ATL,26,57,21,36,41.4,25.0,9.4,20.0,47.1,2.1,5.5,38.1,4.1,5.5,74.8,0.9,3.3,4.2,4.4,3.1,1.1,0.2,2.0,37.3,2,0,-3.1
11,12,Paul Pierce,BOS,29,47,20,27,37.0,25.0,7.9,18.1,43.9,2.3,5.9,38.9,6.8,8.6,79.6,0.8,5.1,5.9,4.1,3.2,1.0,0.3,2.6,38.9,5,0,0.0
12,13,Tracy McGrady,HOU,28,71,50,21,35.8,24.6,9.0,20.8,43.1,1.8,5.4,33.1,4.9,6.9,70.7,0.8,4.5,5.3,6.5,3.0,1.3,0.5,1.9,43.1,15,0,5.7
13,14,Dirk Nowitzki,DAL,29,78,64,14,36.2,24.6,8.6,17.2,50.2,0.9,2.2,41.6,6.4,7.1,90.4,1.6,7.3,8.9,3.4,2.1,0.7,0.8,2.2,42.5,41,0,8.0
14,15,Zach Randolph,POR,25,68,25,43,35.7,23.6,8.8,18.9,46.7,0.2,0.7,29.2,5.8,7.1,81.9,2.9,7.2,10.1,2.2,3.2,0.8,0.2,2.7,38.9,36,0,-1.9
